date_obj,Mystic%20mud%20staff price
2015-03-26,478616
2015-03-27,478616
2015-03-28,478616
2015-03-29,478616
2015-03-30,478616
2015-03-31,454685
2015-04-01,454685
2015-04-02,454685
2015-04-03,454685
2015-04-04,454685
2015-04-05,432549
2015-04-06,432549
2015-04-07,432549
2015-04-08,432549
2015-04-09,432549
2015-04-10,411262
2015-04-11,411262
2015-04-12,411262
2015-04-13,411262
2015-04-14,411262
2015-04-15,390698
2015-04-16,390698
2015-04-17,390698
2015-04-18,390698
2015-04-19,373410
2015-04-20,373410
2015-04-21,373410
2015-04-22,373410
2015-04-23,355937
2015-04-24,355937
2015-04-25,355937
2015-04-26,355937
2015-04-27,338541
2015-04-28,338541
2015-04-29,338541
2015-04-30,338541
2015-05-01,338541
2015-05-02,323593
2015-05-03,323593
2015-05-04,323593
2015-05-05,323593
2015-05-06,323593
2015-05-07,310242
2015-05-08,310242
2015-05-09,310242
2015-05-10,310242
2015-05-11,310242
2015-05-12,296324
2015-05-13,296324
2015-05-14,296324
2015-05-15,296324
2015-05-16,296324
2015-05-17,282568
2015-05-18,282568
2015-05-19,282568
2015-05-20,282568
2015-05-21,282568
2015-05-22,273535
2015-05-23,273535
2015-05-24,273535
2015-05-25,282862
2015-05-26,282862
2015-05-27,282862
2015-05-28,276791
2015-05-29,276791
2015-05-30,276791
2015-05-31,265824
2015-06-01,265824
2015-06-02,265824
2015-06-03,261535
2015-06-04,261535
2015-06-05,261535
2015-06-06,251470
2015-06-07,251470
2015-06-08,251470
2015-06-09,248449
2015-06-10,248449
2015-06-11,248449
2015-06-12,240454
2015-06-13,240454
2015-06-14,240454
2015-06-15,229055
2015-06-16,229055
2015-06-17,229055
2015-06-18,225485
2015-06-19,225485
2015-06-20,225485
2015-06-21,216224
2015-06-22,216224
2015-06-23,216224
2015-06-24,205434
2015-06-25,205434
2015-06-26,198211
2015-06-27,198211
2015-06-28,190707
2015-06-29,190707
2015-06-30,190707
2015-07-01,185854
2015-07-02,185854
2015-07-03,185854
2015-07-04,181986
2015-07-05,181986
2015-07-06,181986
2015-07-07,178755
2015-07-08,178755
2015-07-09,178755
2015-07-10,180301
2015-07-11,180301
2015-07-12,180301
2015-07-13,181814
2015-07-14,181814
2015-07-15,181814
2015-07-16,177808
2015-07-17,177808
2015-07-18,177808
2015-07-19,176946
2015-07-20,176946
2015-07-21,176946
2015-07-22,172306
2015-07-23,172306
2015-07-24,167272
2015-07-25,167272
2015-07-26,166379
2015-07-27,166379
2015-07-28,165779
2015-07-29,165779
2015-07-30,162202
2015-07-31,162202
2015-08-01,162202
2015-08-02,163294
2015-08-03,163294
2015-08-04,163294
2015-08-05,161821
2015-08-06,161821
2015-08-07,166838
2015-08-08,166838
2015-08-09,169609
2015-08-10,169609
2015-08-11,175153
2015-08-12,175153
2015-08-13,175153
2015-08-14,179700
2015-08-15,179700
2015-08-16,179700
2015-08-17,184939
2015-08-18,184939
2015-08-19,191120
2015-08-20,191120
2015-08-21,198883
2015-08-22,198883
2015-08-23,198883
2015-08-24,204520
2015-08-25,204520
2015-08-26,204520
2015-08-27,196672
2015-08-28,196672
2015-08-29,196672
2015-08-30,189032
2015-08-31,189032
2015-09-01,185539
2015-09-02,185539
2015-09-03,191220
2015-09-04,191220
2015-09-05,196849
2015-09-06,196849
2015-09-07,204211
2015-09-08,204211
2015-09-09,211120
2015-09-10,211120
2015-09-11,217211
2015-09-12,217211
2015-09-13,218395
2015-09-14,218395
2015-09-15,218709
2015-09-16,218709
2015-09-17,219360
2015-09-18,219360
2015-09-19,219360
2015-09-20,223840
2015-09-21,223840
2015-09-22,223840
2015-09-23,226094
2015-09-24,226094
2015-09-25,226094
2015-09-27,230455
2015-09-28,231576
2015-09-29,231576
2015-09-30,228608
2015-10-05,219630
2015-10-06,219929
2015-10-07,219929
2015-10-08,219929
2015-10-09,212277
2015-10-10,212277
2015-10-11,204907
2015-10-12,204907
2015-10-13,204907
2015-10-14,196937
2015-10-15,196937
2015-10-16,195441
2015-10-17,195441
2015-10-18,195441
2015-10-19,191953
2015-10-20,191953
2015-10-22,188337
2015-10-23,188208
2015-10-24,188208
