date_obj,Spiked%20manacles price
2019-04-11,100000
2019-04-11,105000
2019-04-12,110250
2019-04-13,115763
2019-04-14,121552
2019-04-15,127630
2019-04-16,134012
2019-04-17,140713
2019-04-18,147749
2019-04-19,155137
2019-04-20,162894
2019-04-21,171039
2019-04-22,179591
2019-04-23,188571
2019-04-24,198000
2019-04-25,207900
2019-04-26,218295
2019-04-27,229210
2019-04-28,240671
2019-04-29,252705
2019-04-30,265341
2019-05-01,278609
2019-05-02,292540
2019-05-03,307167
2019-05-04,322526
2019-05-05,338653
2019-05-06,355586
2019-05-07,373366
2019-05-08,392035
2019-05-09,411637
2019-05-10,432219
2019-05-11,453830
2019-05-12,476522
2019-05-13,500349
2019-05-14,525367
2019-05-15,551636
2019-05-16,579218
2019-05-17,608179
2019-05-18,638588
2019-05-19,670518
2019-05-20,704044
2019-05-21,739247
2019-05-22,776210
2019-05-23,815021
2019-05-24,855773
2019-05-25,898562
2019-05-26,943491
2019-05-27,990666
2019-05-28,1040200
2019-05-29,1092210
2019-05-30,1146821
2019-05-31,1204163
2019-06-01,1264372
2019-06-02,1327591
2019-06-03,1393971
2019-06-04,1463670
2019-06-05,1536854
2019-06-06,1613697
2019-06-07,1694382
2019-06-08,1779102
2019-06-09,1868058
2019-06-10,1961461
2019-06-11,2059535
2019-06-12,2162148
2019-06-13,2220053
2019-06-14,2221238
2019-06-15,2245884
2019-06-16,2255850
2019-06-17,2245782
2019-06-18,2241008
2019-06-19,2224634
2019-06-20,2152097
2019-06-21,2044492
2019-06-22,1942301
2019-06-23,1848850
2019-06-24,1798545
2019-06-25,1727573
2019-06-26,1644980
2019-06-27,1565029
2019-06-28,1494387
2019-06-29,1442139
2019-06-30,1429925
2019-07-01,1433857
2019-07-02,1394348
2019-07-03,1338227
2019-07-04,1339430
2019-07-05,1354810
2019-07-06,1351895
2019-07-07,1351304
2019-07-08,1351203
2019-07-09,1346199
2019-07-10,1351411
2019-07-11,1363382
2019-07-12,1431327
2019-07-13,1491368
2019-07-14,1515953
2019-07-15,1555656
2019-07-16,1563893
2019-07-17,1569606
2019-07-18,1539713
2019-07-19,1520492
2019-07-20,1492416
2019-07-21,1452368
2019-07-22,1411006
2019-07-23,1397487
2019-07-24,1453028
2019-07-25,1522443
2019-07-26,1593450
2019-07-27,1654164
2019-07-28,1733179
2019-07-29,1819838
2019-07-30,1910830
2019-07-31,2006372
2019-08-01,2106691
2019-08-02,2212026
2019-08-03,2322628
2019-08-04,2366085
2019-08-05,2398637
2019-08-06,2516254
2019-08-07,2629712
2019-08-08,2586128
2019-08-09,2522817
2019-08-10,2545196
2019-08-11,2531357
2019-08-12,2539051
2019-08-13,2512395
2019-08-14,2422338
2019-08-15,2333716
2019-08-16,2241764
2019-08-17,2187235
2019-08-18,2132374
2019-08-19,2032937
2019-08-20,1964396
2019-08-21,1898599
2019-08-22,1840359
2019-08-23,1809800
2019-08-24,1770115
2019-08-24,1770115
2019-08-25,1736012
2019-08-25,1736012
2019-08-26,1675933
2019-08-26,1675933
2019-08-27,1620597
2019-08-27,1620597
2019-08-28,1571567
2019-08-29,1548384
2019-08-30,1488598
2019-08-31,1457406
2019-09-01,1411009
2019-09-02,1371553
2019-09-03,1342919
2019-09-04,1367702
2019-09-05,1373618
2019-09-06,1368438
2019-09-07,1411351
2019-09-08,1460195
2019-09-09,1533205
2019-09-10,1601282
2019-09-11,1543344
2019-09-12,1517199
2019-09-13,1507111
2019-09-14,1544942
2019-09-15,1616482
2019-09-16,1681685
2019-09-17,1668125
2019-09-18,1641852
2019-09-19,1640220
2019-09-20,1651399
2019-09-21,1684347
2019-09-22,1749002
2019-09-23,1724013
2019-09-24,1697389
2019-09-25,1659400
2019-09-26,1626418
2019-09-27,1554694
2019-09-28,1505666
2019-09-29,1469114
2019-09-30,1444628
2019-10-01,1397920
2019-10-02,1359345
2019-10-03,1335250
2019-10-04,1314533
2019-10-05,1326006
2019-10-06,1354531
2019-10-07,1351706
2019-10-08,1347306
2019-10-09,1369933
2019-10-10,1370593
2019-10-11,1339971
2019-10-12,1319958
2019-10-13,1254755
2019-10-14,1192017
2019-10-15,1132416
2019-10-16,1075795
2019-10-17,1022005
2019-10-18,971519
2019-10-19,928146
2019-10-20,881738
2019-10-21,837651
2019-10-22,806643
2019-10-23,786982
2019-10-24,772412
2019-10-25,778009
2019-10-26,793200
2019-10-27,806779
2019-10-28,801479
2019-10-29,780388
2019-10-30,775305
2019-10-31,761213
2019-11-01,763530
