date_obj,Black%20headband price
2015-03-26,171820
2015-03-27,171820
2015-03-28,163557
2015-03-29,163557
2015-03-30,163557
2015-03-31,163557
2015-04-01,163557
2015-04-02,155750
2015-04-03,155750
2015-04-04,155750
2015-04-05,155750
2015-04-06,155750
2015-04-07,148196
2015-04-08,148196
2015-04-09,148196
2015-04-10,148196
2015-04-11,148196
2015-04-12,140996
2015-04-13,140996
2015-04-14,140996
2015-04-15,140996
2015-04-16,140996
2015-04-17,134185
2015-04-18,134185
2015-04-19,134185
2015-04-20,134185
2015-04-21,134185
2015-04-22,127722
2015-04-23,127722
2015-04-24,127722
2015-04-25,127722
2015-04-26,127722
2015-04-27,121577
2015-04-28,121577
2015-04-29,121577
2015-04-30,121577
2015-05-01,121577
2015-05-02,115672
2015-05-03,115672
2015-05-04,115672
2015-05-05,115672
2015-05-06,115672
2015-05-07,110087
2015-05-08,110087
2015-05-09,110087
2015-05-10,110087
2015-05-11,104856
2015-05-12,104856
2015-05-13,104856
2015-05-14,104856
2015-05-15,99613
2015-05-16,99613
2015-05-17,99613
2015-05-18,95703
2015-05-19,95703
2015-05-20,95703
2015-05-21,95703
2015-05-22,95703
2015-05-23,92432
2015-05-24,92432
2015-05-25,92432
2015-05-26,92432
2015-05-27,92432
2015-05-28,87868
2015-05-29,87868
2015-05-30,83687
2015-05-31,83687
2015-06-01,83687
2015-06-02,83687
2015-06-03,79682
2015-06-04,79682
2015-06-05,79682
2015-06-06,75921
2015-06-07,75921
2015-06-08,75921
2015-06-09,75921
2015-06-10,72332
2015-06-11,72332
2015-06-12,72332
2015-06-13,72332
2015-06-14,68834
2015-06-15,68834
2015-06-16,68834
2015-06-17,68834
2015-06-18,65392
2015-06-19,65392
2015-06-20,65392
2015-06-21,65392
2015-06-22,62122
2015-06-23,62122
2015-06-24,62122
2015-06-25,59188
2015-06-26,59188
2015-06-27,59188
2015-06-28,57377
2015-06-29,57377
2015-06-30,57377
2015-07-01,57377
2015-07-02,55017
2015-07-03,55017
2015-07-04,55017
2015-07-05,53341
2015-07-06,53341
2015-07-07,53341
2015-07-08,52007
2015-07-09,52007
2015-07-10,52007
2015-07-11,52007
2015-07-12,52007
2015-07-13,50816
2015-07-14,50816
2015-07-15,50816
2015-07-16,50816
2015-07-17,49697
2015-07-18,49697
2015-07-19,49697
2015-07-20,49697
2015-07-21,50103
2015-07-22,50103
2015-07-23,50103
2015-07-24,50103
2015-07-25,49505
2015-07-26,49505
2015-07-27,49505
2015-07-28,49505
2015-07-29,48503
2015-07-30,48503
2015-07-31,48503
2015-08-01,48503
2015-08-02,47331
2015-08-03,47331
2015-08-04,47331
2015-08-05,47331
2015-08-06,45707
2015-08-07,45707
2015-08-08,45707
2015-08-09,44939
2015-08-10,44939
2015-08-11,44939
2015-08-12,44939
2015-08-13,43242
2015-08-14,43242
2015-08-15,43242
2015-08-16,43242
2015-08-17,41852
2015-08-18,41852
2015-08-19,41852
2015-08-20,41852
2015-08-21,40525
2015-08-22,40525
2015-08-23,40525
2015-08-24,38721
2015-08-25,38721
2015-08-26,38721
2015-08-27,38721
2015-08-28,38721
2015-08-29,37477
2015-08-30,37477
2015-08-31,37477
2015-09-01,37477
2015-09-02,37477
2015-09-03,35854
2015-09-04,35854
2015-09-05,35854
2015-09-06,35854
2015-09-07,34964
2015-09-08,34964
2015-09-09,34964
2015-09-10,34964
2015-09-11,34045
2015-09-12,34045
2015-09-13,34045
2015-09-14,34045
2015-09-15,33543
2015-09-16,33543
2015-09-17,33543
2015-09-18,34204
2015-09-19,34204
2015-09-20,34204
2015-09-21,34909
2015-09-22,34909
2015-09-23,34909
2015-09-24,35146
2015-09-25,35146
2015-09-27,35927
2015-09-28,35927
2015-09-29,35927
2015-09-30,36366
2015-10-05,36691
2015-10-06,36691
2015-10-07,37265
2015-10-08,37265
2015-10-09,37265
2015-10-10,37265
2015-10-11,37613
2015-10-12,37613
2015-10-13,37613
2015-10-14,37613
2015-10-15,38247
2015-10-16,38247
2015-10-17,38247
2015-10-18,38247
2015-10-19,38725
2015-10-20,38725
2015-10-22,38725
2015-10-23,39278
2015-10-24,39278
2015-10-25,39278
2015-10-26,39659
2015-10-27,39659
2015-10-29,39659
2015-10-30,39711
2015-10-31,39711
2015-11-01,39711
2015-11-02,40283
2015-11-03,40283
2015-11-04,40283
2015-11-05,40283
2015-11-06,40650
2015-11-07,40650
2015-11-08,40650
2015-11-09,40650
2015-11-10,41149
2015-11-11,41149
2015-11-12,41149
2015-11-13,41149
2015-11-14,41149
2015-11-15,41521
2015-11-16,41521
2015-11-17,41521
2015-11-18,41521
2015-11-19,41746
2015-11-20,41746
2015-11-21,41746
2015-11-22,42282
2015-11-23,42282
2015-11-24,42282
2015-11-25,42282
2015-11-26,42282
2015-11-27,41684
2015-11-28,41684
2015-11-29,41684
2015-11-30,42206
2015-12-01,42206
2015-12-02,42206
2015-12-03,42206
2015-12-04,42669
2015-12-05,42669
2015-12-06,42669
2015-12-07,42669
2015-12-08,42324
2015-12-09,42324
2015-12-10,42324
2015-12-11,43022
2015-12-12,43022
2015-12-13,43022
2015-12-14,43022
2015-12-15,42348
2015-12-16,42348
2015-12-17,42348
