date_obj,Blue%20wizard%20robe%20(t) price
2015-03-26,78204
2015-03-27,78204
2015-03-28,78125
2015-03-29,76759
2015-03-30,74409
2015-03-31,73188
2015-04-01,72790
2015-04-02,72123
2015-04-03,71197
2015-04-04,70902
2015-04-05,71186
2015-04-06,70218
2015-04-07,68705
2015-04-08,67709
2015-04-09,67196
2015-04-10,65619
2015-04-11,64698
2015-04-12,64617
2015-04-13,64505
2015-04-14,65511
2015-04-15,68787
2015-04-16,71288
2015-04-17,73473
2015-04-18,73353
2015-04-19,73152
2015-04-20,72789
2015-04-21,72308
2015-04-22,72741
2015-04-23,71199
2015-04-24,69038
2015-04-25,68691
2015-04-26,67050
2015-04-27,66112
2015-04-28,64733
2015-04-29,64733
2015-04-30,62941
2015-05-01,61699
2015-05-02,60598
2015-05-03,60598
2015-05-04,59590
2015-05-05,57981
2015-05-06,57243
2015-05-07,56340
2015-05-08,55273
2015-05-09,53981
2015-05-10,53244
2015-05-11,53244
2015-05-12,53004
2015-05-13,52894
2015-05-14,53176
2015-05-15,52657
2015-05-16,51502
2015-05-17,51402
2015-05-18,51315
2015-05-19,51574
2015-05-20,51574
2015-05-21,51490
2015-05-22,51341
2015-05-23,51020
2015-05-24,51194
2015-05-25,50487
2015-05-26,50324
2015-05-27,50073
2015-05-28,49930
2015-05-29,49657
2015-05-30,49324
2015-05-31,49264
2015-06-01,48772
2015-06-02,48772
2015-06-03,48962
2015-06-04,49568
2015-06-05,49485
2015-06-06,49882
2015-06-07,50152
2015-06-08,50239
2015-06-09,50959
2015-06-10,51791
2015-06-11,52390
2015-06-12,52482
2015-06-13,52366
2015-06-14,52912
2015-06-15,52428
2015-06-16,52400
2015-06-17,52369
2015-06-18,52249
2015-06-19,52731
2015-06-20,52793
2015-06-21,53314
2015-06-22,53803
2015-06-23,55279
2015-06-24,56184
2015-06-25,56184
2015-06-26,56929
2015-06-27,56929
2015-06-28,57638
2015-06-29,59265
2015-06-30,60096
2015-07-01,61901
2015-07-02,61901
2015-07-03,63701
2015-07-04,65019
2015-07-05,66471
2015-07-06,67140
2015-07-07,68684
2015-07-08,68845
2015-07-09,68845
2015-07-10,69938
2015-07-11,70456
2015-07-12,70151
2015-07-13,70108
2015-07-14,70011
2015-07-15,69221
2015-07-16,69582
2015-07-17,70791
2015-07-18,70178
2015-07-19,70541
2015-07-20,71778
2015-07-21,72877
2015-07-22,72329
2015-07-23,72329
2015-07-24,72738
2015-07-25,73319
2015-07-26,74057
2015-07-27,73322
2015-07-28,74053
2015-07-29,74240
2015-07-30,74202
2015-07-31,74568
2015-08-01,74930
2015-08-02,75723
2015-08-03,75614
2015-08-04,75406
2015-08-05,75257
2015-08-06,74923
2015-08-07,76481
2015-08-08,75662
2015-08-09,74583
2015-08-10,73820
2015-08-11,72822
2015-08-12,72822
2015-08-13,72186
2015-08-14,71682
2015-08-15,71136
2015-08-16,72632
2015-08-17,72601
2015-08-18,73770
2015-08-19,74862
2015-08-20,76167
2015-08-21,76129
2015-08-22,77077
2015-08-23,76845
2015-08-24,76656
2015-08-25,76656
2015-08-26,76506
2015-08-27,76199
2015-08-28,76270
2015-08-29,76185
2015-08-30,76291
2015-08-31,76373
2015-09-01,75727
2015-09-02,75727
2015-09-03,75197
2015-09-04,75536
2015-09-05,76236
2015-09-06,75884
2015-09-07,75841
2015-09-08,76558
2015-09-09,78010
2015-09-10,79388
2015-09-11,80227
2015-09-12,79717
2015-09-13,80563
2015-09-14,81626
2015-09-15,82639
2015-09-16,82639
2015-09-17,84231
2015-09-18,84231
2015-09-19,84824
2015-09-20,85917
2015-09-21,87015
2015-09-22,87760
2015-09-23,86995
2015-09-24,86995
2015-09-25,86529
2015-09-27,87341
2015-09-28,87619
2015-09-29,87888
2015-09-30,88430
2015-10-05,85424
2015-10-06,86204
2015-10-07,86017
2015-10-08,86315
2015-10-09,85798
2015-10-10,85798
2015-10-11,85998
2015-10-12,86646
2015-10-13,86646
2015-10-14,87391
2015-10-15,86856
2015-10-16,87464
2015-10-17,87464
2015-10-18,89054
2015-10-19,89980
2015-10-20,88130
2015-10-22,86869
2015-10-23,86496
2015-10-24,85757
2015-10-25,87268
2015-10-26,88292
2015-10-27,88292
2015-10-29,88017
2015-10-30,88877
2015-10-31,88203
2015-11-01,88203
2015-11-02,86216
2015-11-03,86749
2015-11-04,86749
2015-11-05,87392
2015-11-06,87392
2015-11-07,88802
2015-11-08,88802
2015-11-09,90359
2015-11-10,92389
2015-11-11,92980
2015-11-12,94642
2015-11-13,95882
2015-11-14,96430
2015-11-15,97009
2015-11-16,97921
2015-11-17,99480
2015-11-18,98845
2015-11-19,97514
2015-11-20,97213
2015-11-21,97213
2015-11-22,97091
2015-11-23,97091
2015-11-24,96748
2015-11-25,96214
2015-11-26,96214
2015-11-27,95181
2015-11-28,94986
2015-11-29,93380
2015-11-30,92178
2015-12-01,92602
2015-12-02,91148
2015-12-03,90264
2015-12-04,89708
2015-12-05,87907
2015-12-06,85676
2015-12-07,83177
2015-12-08,81317
2015-12-09,80224
2015-12-10,80333
2015-12-11,81990
2015-12-12,82912
2015-12-13,83482
2015-12-14,83482
2015-12-15,83455
2015-12-16,82330
2015-12-17,82935
2015-12-18,84335
2015-12-19,84927
2015-12-20,84397
2015-12-21,84234
2015-12-22,84573
2015-12-23,83617
2015-12-24,82558
2015-12-25,79558
2015-12-26,80188
2015-12-27,79952
2015-12-28,79763
2015-12-29,79893
2015-12-30,80695
2015-12-31,81696
2016-01-01,82531
2016-01-02,82770
2016-01-03,82425
2016-01-04,82577
2016-01-05,83624
2016-01-06,83650
2016-01-07,84034
2016-01-08,85027
2016-01-09,86729
2016-01-10,86521
2016-01-11,86528
2016-01-12,85938
2016-01-13,85598
2016-01-14,86960
2016-01-15,88795
2016-01-16,89562
2016-01-17,88608
2016-01-18,88787
2016-01-19,88436
2016-01-20,88053
2016-01-21,88053
2016-01-22,89388
2016-01-23,90273
2016-01-24,90119
2016-01-25,90935
2016-01-26,90935
2016-01-27,92418
2016-01-28,92418
2016-01-29,94292
2016-01-30,94292
2016-01-31,91977
2016-02-01,89531
2016-02-02,88108
2016-02-03,86549
2016-02-04,85473
2016-02-05,84638
2016-02-06,83408
2016-02-07,82371
2016-02-08,81603
2016-02-09,82204
2016-02-10,81572
2016-02-11,81075
2016-02-12,80397
2016-02-13,78901
2016-02-14,79203
2016-02-15,78933
2016-02-16,79017
2016-02-17,78923
2016-02-18,79412
2016-02-19,78901
2016-02-20,79479
2016-02-21,79383
2016-02-22,79383
2016-02-23,79901
2016-02-24,81062
2016-02-25,82257
2016-02-26,82257
2016-02-27,82412
2016-02-28,83363
2016-02-29,83182
2016-03-01,84379
2016-03-02,85882
2016-03-03,86677
2016-03-04,88450
2016-03-05,89377
2016-03-06,90229
2016-03-07,92092
2016-03-08,94748
2016-03-09,95898
2016-03-10,96061
2016-03-11,97482
2016-03-12,97258
2016-03-13,97063
2016-03-14,96017
2016-03-15,96997
2016-03-16,97053
2016-03-17,97609
2016-03-18,97379
2016-03-19,97123
2016-03-20,97191
2016-03-21,96481
2016-03-22,96698
2016-03-23,96134
2016-03-24,95393
2016-03-25,95584
2016-03-26,93488
2016-03-27,92527
2016-03-28,92568
2016-03-29,91875
2016-03-30,91875
2016-03-31,91244
2016-04-01,89179
2016-04-02,87423
2016-04-03,87789
2016-04-04,88299
2016-04-05,89119
2016-04-06,88559
2016-04-07,88891
2016-04-08,88680
2016-04-09,88523
2016-04-10,88466
2016-04-11,88466
2016-04-12,87593
2016-04-13,87345
2016-04-14,87328
2016-04-15,86746
2016-04-16,86050
2016-04-17,85576
2016-04-18,85505
2016-04-19,85419
2016-04-20,85125
2016-04-21,85528
2016-04-22,85528
2016-04-23,86689
2016-04-24,85608
2016-04-25,85986
2016-04-26,86031
2016-04-27,86890
2016-04-28,86465
2016-04-29,84528
2016-04-30,83126
2016-05-01,83154
2016-05-02,81784
2016-05-03,81690
2016-05-04,81037
2016-05-05,81599
2016-05-06,81599
2016-05-07,81438
2016-05-08,81042
2016-05-09,81314
2016-05-10,79825
2016-05-11,80529
2016-05-12,79778
2016-05-13,78437
2016-05-14,78373
2016-05-15,77416
2016-05-16,77101
2016-05-17,78746
2016-05-18,79062
2016-05-19,78194
2016-05-22,78798
2016-05-23,78772
2016-05-24,79182
