date_obj,Pineapple%20seed price
2015-03-05,6280
2015-03-06,5966
2015-03-07,5695
2015-03-08,5809
2015-03-09,5809
2015-03-10,6015
2015-03-11,6015
2015-03-12,6041
2015-03-13,6041
2015-03-14,5811
2015-03-15,5811
2015-03-16,5598
2015-03-17,5598
2015-03-18,5346
2015-03-19,5346
2015-03-20,5248
2015-03-21,5248
2015-03-22,5185
2015-03-23,5185
2015-03-24,5198
2015-03-25,5198
2015-03-26,5115
2015-03-27,5115
2015-03-28,4992
2015-03-29,4863
2015-03-30,4863
2015-03-31,4653
2015-04-01,4653
2015-04-02,4454
2015-04-03,4454
2015-04-04,4231
2015-04-05,4231
2015-04-06,4019
2015-04-07,4019
2015-04-08,3859
2015-04-09,3859
2015-04-10,3754
2015-04-11,3754
2015-04-12,3860
2015-04-13,3860
2015-04-14,3984
2015-04-15,3984
2015-04-16,4113
2015-04-17,4113
2015-04-18,3940
2015-04-19,3940
2015-04-20,3755
2015-04-21,3755
2015-04-22,3574
2015-04-23,3404
2015-04-24,3404
2015-04-25,3238
2015-04-26,3238
2015-04-27,3076
2015-04-28,2932
2015-04-29,2932
2015-04-30,2794
2015-05-01,2670
2015-05-02,2670
2015-05-03,2551
2015-05-04,2551
2015-05-05,2488
2015-05-06,2488
2015-05-07,2598
2015-05-08,2598
2015-05-09,2712
2015-05-10,2712
2015-05-11,2802
2015-05-12,2802
2015-05-13,2926
2015-05-14,2926
2015-05-15,3047
2015-05-16,3047
2015-05-17,3045
2015-05-18,3045
2015-05-19,3116
2015-05-20,3116
2015-05-21,3116
2015-05-22,3152
2015-05-23,3152
2015-05-24,3209
2015-05-25,3209
2015-05-26,3148
2015-05-27,3148
2015-05-28,3202
2015-05-29,3202
2015-05-30,3242
2015-05-31,3242
2015-06-01,3387
2015-06-02,3387
2015-06-03,3541
2015-06-04,3541
2015-06-05,3631
2015-06-06,3679
2015-06-07,3679
2015-06-08,3824
2015-06-09,3983
2015-06-10,4183
2015-06-11,4183
2015-06-12,4369
2015-06-13,4389
2015-06-14,4389
2015-06-15,4176
2015-06-16,4016
2015-06-17,4016
2015-06-18,3899
2015-06-19,3899
2015-06-20,3744
2015-06-21,3744
2015-06-22,3817
2015-06-23,3817
2015-06-24,3800
2015-06-25,3800
2015-06-26,3845
2015-06-27,3845
2015-06-28,3797
2015-06-29,3797
2015-06-30,3793
2015-07-01,3793
2015-07-02,3852
2015-07-03,3769
2015-07-04,3769
2015-07-05,3710
2015-07-06,3710
2015-07-07,3725
2015-07-08,3700
2015-07-09,3700
2015-07-10,3656
2015-07-11,3656
2015-07-12,3719
2015-07-13,3757
2015-07-14,3757
2015-07-15,3798
2015-07-16,3798
2015-07-17,3889
2015-07-18,3889
2015-07-19,3986
2015-07-20,4138
2015-07-21,4138
2015-07-22,4051
2015-07-23,4051
2015-07-24,3939
2015-07-25,3939
2015-07-26,3982
2015-07-27,4021
2015-07-28,4021
2015-07-29,4172
2015-07-30,4172
2015-07-31,4175
2015-08-01,4175
2015-08-02,4151
2015-08-03,4151
2015-08-04,4099
2015-08-05,3997
2015-08-06,3997
2015-08-07,3966
2015-08-08,3803
2015-08-09,3612
2015-08-10,3457
2015-08-11,3380
2015-08-12,3380
2015-08-13,3496
