date_obj,Red%20robe%20top price
2015-03-04,6100
2015-03-05,5908
2015-03-06,5908
2015-03-07,5908
2015-03-08,5908
2015-03-09,5908
2015-03-10,5908
2015-03-11,5908
2015-03-12,5908
2015-03-13,5908
2015-03-14,5653
2015-03-15,5653
2015-03-16,5653
2015-03-17,5653
2015-03-18,5653
2015-03-19,5653
2015-03-20,5653
2015-03-21,5653
2015-03-22,5653
2015-03-23,5375
2015-03-24,5375
2015-03-25,5375
2015-03-26,5375
2015-03-27,5375
2015-03-28,5375
2015-03-29,5375
2015-03-30,5375
2015-03-31,5375
2015-04-01,5111
2015-04-02,5111
2015-04-03,5111
2015-04-04,5111
2015-04-05,5111
2015-04-06,5111
2015-04-07,5111
2015-04-08,5111
2015-04-09,4862
2015-04-10,4862
2015-04-11,4862
2015-04-12,4862
2015-04-13,4862
2015-04-14,4862
2015-04-15,4862
2015-04-16,4862
2015-04-17,4862
2015-04-18,4621
2015-04-19,4621
2015-04-20,4621
2015-04-21,4621
2015-04-22,4621
2015-04-23,4621
2015-04-24,4621
2015-04-25,4621
2015-04-26,4621
2015-04-27,4621
2015-04-28,4403
2015-04-29,4403
2015-04-30,4403
2015-05-01,4403
2015-05-02,4403
2015-05-03,4403
2015-05-04,4403
2015-05-05,4403
2015-05-06,4403
2015-05-07,4403
2015-05-08,4403
2015-05-09,4187
2015-05-10,4187
2015-05-11,4187
2015-05-12,4187
2015-05-13,4187
2015-05-14,4187
2015-05-15,4187
2015-05-16,4187
2015-05-17,4187
2015-05-18,4187
2015-05-19,4187
2015-05-20,4187
2015-05-21,3980
2015-05-22,3980
2015-05-23,3980
2015-05-24,3980
2015-05-25,3980
2015-05-26,3980
2015-05-27,3980
2015-05-28,3803
2015-05-29,3803
2015-05-30,3803
2015-05-31,3803
2015-06-01,3803
2015-06-02,3803
2015-06-03,3803
2015-06-04,3803
2015-06-05,3615
2015-06-06,3615
2015-06-07,3615
2015-06-08,3615
2015-06-09,3615
2015-06-10,3615
2015-06-11,3615
2015-06-12,3615
2015-06-13,3444
2015-06-14,3444
2015-06-15,3444
2015-06-16,3444
2015-06-17,3444
2015-06-18,3444
2015-06-19,3444
2015-06-20,3444
2015-06-21,3444
2015-06-22,3371
2015-06-23,3371
2015-06-24,3371
2015-06-25,3371
2015-06-26,3371
2015-06-27,3371
2015-06-28,3371
2015-06-29,3220
2015-06-30,3220
2015-07-01,3220
2015-07-02,3220
2015-07-03,3220
2015-07-04,3220
2015-07-05,3220
2015-07-06,3220
2015-07-07,3069
2015-07-08,3069
2015-07-09,3069
2015-07-10,3069
2015-07-11,3069
2015-07-12,3069
2015-07-13,3069
2015-07-14,3069
2015-07-15,2927
2015-07-16,2927
2015-07-17,2927
2015-07-18,2927
2015-07-19,2927
2015-07-20,2927
2015-07-21,2927
2015-07-22,2874
2015-07-23,2874
2015-07-24,2874
2015-07-25,2874
2015-07-26,2874
2015-07-27,2874
2015-07-28,2874
2015-07-29,2733
2015-07-30,2733
2015-07-31,2733
2015-08-01,2733
2015-08-02,2733
2015-08-03,2733
2015-08-04,2733
2015-08-05,2654
2015-08-06,2654
2015-08-07,2654
2015-08-08,2654
2015-08-09,2654
2015-08-10,2654
2015-08-11,2654
2015-08-12,2654
2015-08-13,2537
2015-08-14,2537
2015-08-15,2537
2015-08-16,2537
2015-08-17,2537
2015-08-18,2537
2015-08-19,2537
2015-08-20,2430
2015-08-21,2430
2015-08-22,2430
2015-08-23,2430
2015-08-24,2430
2015-08-25,2430
2015-08-26,2430
2015-08-27,2363
2015-08-28,2363
2015-08-29,2363
2015-08-30,2363
2015-08-31,2363
2015-09-02,2363
2015-09-07,2361
2015-09-08,2361
2015-09-10,2361
2015-09-14,2277
2015-09-16,2277
2015-09-22,2171
2015-09-23,2171
2015-09-24,2171
2015-09-25,2171
2015-09-27,2171
2015-09-28,2099
2015-09-29,2099
2015-09-30,2099
2015-10-05,2099
2015-10-06,2034
2015-10-07,2034
2015-10-08,2034
2015-10-09,2034
2015-10-10,2034
2015-10-11,2034
2015-10-12,2034
2015-10-13,2034
2015-10-14,1976
2015-10-15,1976
2015-10-16,1976
2015-10-17,1976
2015-10-18,1976
2015-10-19,1976
2015-10-20,1976
2015-10-22,1878
2015-10-23,1878
2015-10-24,1878
2015-10-25,1878
2015-10-26,1878
2015-10-27,1878
2015-10-29,1785
2015-10-30,1785
2015-10-31,1785
2015-11-01,1785
2015-11-02,1785
2015-11-03,1785
2015-11-04,1785
2015-11-05,1785
2015-11-06,1785
2015-11-07,1722
2015-11-08,1722
2015-11-09,1722
2015-11-10,1722
2015-11-11,1722
2015-11-12,1722
2015-11-13,1722
2015-11-14,1722
2015-11-15,1722
2015-11-16,1722
2015-11-17,1709
2015-11-18,1709
2015-11-19,1709
2015-11-20,1709
2015-11-21,1709
2015-11-22,1709
2015-11-23,1709
2015-11-24,1709
2015-11-25,1670
2015-11-26,1670
2015-11-27,1670
2015-11-28,1670
2015-11-29,1670
2015-11-30,1670
2015-12-01,1670
2015-12-02,1670
2015-12-03,1672
2015-12-04,1672
2015-12-05,1672
2015-12-06,1672
2015-12-07,1672
2015-12-08,1672
2015-12-09,1672
2015-12-10,1606
2015-12-11,1606
2015-12-12,1606
2015-12-13,1606
2015-12-14,1606
2015-12-15,1606
2015-12-16,1606
2015-12-17,1606
2015-12-18,1612
2015-12-19,1612
2015-12-20,1612
2015-12-21,1612
2015-12-22,1612
2015-12-23,1612
2015-12-24,1612
2015-12-25,1612
2015-12-26,1596
2015-12-27,1596
2015-12-28,1596
2015-12-29,1596
2015-12-30,1596
2015-12-31,1596
2016-01-01,1596
2016-01-02,1596
2016-01-03,1612
2016-01-04,1612
2016-01-05,1612
2016-01-06,1612
2016-01-07,1612
2016-01-08,1612
2016-01-09,1612
2016-01-10,1624
2016-01-11,1624
2016-01-12,1624
2016-01-13,1624
2016-01-14,1624
2016-01-15,1624
2016-01-16,1624
2016-01-17,1579
2016-01-18,1579
2016-01-19,1579
2016-01-20,1579
2016-01-21,1579
2016-01-22,1579
2016-01-23,1554
2016-01-24,1554
