date_obj,Ranger%20boots price
2015-03-26,15698207
2015-03-27,15698207
2015-03-28,15763871
2015-03-29,15895370
2015-03-30,15907831
2015-03-31,15958394
2015-04-01,15958394
2015-04-02,15949856
2015-04-03,15999987
2015-04-04,15968386
2015-04-05,15968386
2015-04-06,15930905
2015-04-07,15869820
2015-04-08,15869820
2015-04-09,15825415
2015-04-10,15921467
2015-04-11,15930430
2015-04-12,15935647
2015-04-13,15945234
2015-04-14,15945234
2015-04-15,15902820
2015-04-16,15902820
2015-04-17,15930912
2015-04-18,15954022
2015-04-19,15986345
2015-04-20,15986345
2015-04-21,15952699
2015-04-22,15952699
2015-04-23,16105459
2015-04-24,16326643
2015-04-25,16673213
2015-04-26,16700035
2015-04-27,16688198
2015-04-28,16507002
2015-04-29,16507002
2015-04-30,16288013
2015-05-01,15615387
2015-05-02,14932238
2015-05-03,14932238
2015-05-04,14250937
2015-05-05,14480737
2015-05-06,14729153
2015-05-07,14934903
2015-05-08,15007388
2015-05-09,15207312
2015-05-10,15459211
2015-05-11,15459211
2015-05-12,15731131
2015-05-13,15838088
2015-05-14,16098595
2015-05-15,16885132
2015-05-16,17518060
2015-05-17,17699313
2015-05-18,17769827
2015-05-19,17562406
2015-05-20,17562406
2015-05-21,16991115
2015-05-22,16232859
2015-05-23,16177472
2015-05-24,16306155
2015-05-25,16219083
2015-05-26,16255257
2015-05-27,16324079
2015-05-28,16302404
2015-05-29,16441636
2015-05-30,16598653
2015-05-31,16610670
2015-06-01,16869876
2015-06-02,17232023
2015-06-03,17872174
2015-06-04,18248965
2015-06-05,18094342
2015-06-06,17712842
2015-06-07,18050815
2015-06-08,18218638
2015-06-09,18250802
2015-06-10,17961661
2015-06-11,17641505
2015-06-12,17421672
2015-06-13,17548623
2015-06-14,17653202
2015-06-15,17742844
2015-06-16,17601144
2015-06-17,17681831
2015-06-18,17691275
2015-06-19,17818173
2015-06-20,17939349
2015-06-21,18216320
2015-06-22,17974186
2015-06-23,17844367
2015-06-24,17805166
2015-06-25,17709529
2015-06-26,17798243
2015-06-27,17970206
2015-06-28,17974955
2015-06-29,17902299
2015-06-30,17856522
2015-07-01,17909888
2015-07-02,18021145
2015-07-03,18154846
2015-07-04,18223691
2015-07-05,18361165
2015-07-06,18517321
2015-07-07,19292348
2015-07-08,19713762
2015-07-09,19984503
2015-07-10,20037167
2015-07-11,19514574
2015-07-12,18737967
2015-07-13,18517740
2015-07-14,18951703
2015-07-15,19092262
2015-07-16,19271393
2015-07-17,19388328
2015-07-18,19730628
2015-07-19,19842633
2015-07-20,19411603
2015-07-21,19300166
2015-07-22,19355352
2015-07-23,19487115
2015-07-24,19691426
2015-07-25,19655612
2015-07-26,19792407
2015-07-27,20169413
2015-07-28,20882009
2015-07-29,20849221
2015-07-30,20879028
2015-07-31,20943454
2015-08-01,21096714
2015-08-02,21109584
2015-08-03,21340324
2015-08-04,21446205
2015-08-05,22033488
2015-08-06,23110556
2015-08-07,24238932
2015-08-08,25176465
2015-08-09,24298860
2015-08-10,23219910
2015-08-11,22414031
