date_obj,Gilded%20chainbody price
2016-07-06,1343919
2016-07-07,1398706
2016-07-08,1454837
2016-07-09,1509338
2016-07-10,1563965
2016-07-11,1620668
2016-07-12,1620668
2016-07-13,1687480
2016-07-14,1687480
2016-07-15,1759231
2016-07-16,1759231
2016-07-17,1831744
2016-07-18,1831744
2016-07-23,1988437
2016-07-24,1988437
2016-07-25,1988437
2016-07-26,2071048
2016-07-27,2071048
2016-07-28,2071048
2016-07-29,2152963
2016-07-30,2152963
2016-07-31,2152963
2016-08-01,2152963
2016-08-02,2246598
2016-08-03,2246598
2016-08-04,2246598
2016-08-05,2246598
2016-08-06,2246598
2016-08-07,2345594
2016-08-08,2345594
2016-08-09,2345594
2016-08-10,2345594
2016-08-11,2345594
2016-08-12,2439216
2016-08-13,2439216
2016-08-14,2439216
2016-08-15,2439216
2016-08-16,2487596
2016-08-17,2487596
2016-08-18,2487596
2016-08-19,2487596
2016-08-20,2487596
2016-08-21,2552533
2016-08-22,2552533
2016-08-23,2552533
2016-08-24,2552533
2016-08-25,2655651
2016-08-26,2655651
2016-08-28,2655651
2016-08-31,2731000
2016-09-01,2731000
2016-09-02,2731000
2016-09-03,2731000
2016-09-04,2741426
2016-09-05,2741426
2016-09-06,2741426
2016-09-07,2741426
2016-09-08,2741426
2016-09-09,2741426
2016-09-10,2812592
2016-09-11,2812592
2016-09-12,2812592
2016-09-13,2812592
2016-09-14,2934340
2016-09-15,2934340
2016-09-16,2934340
2016-09-17,2934340
2016-09-18,2934340
2016-09-19,3061978
2016-09-20,3061978
2016-09-21,3061978
2016-09-22,3061978
2016-09-23,3061978
2016-09-24,3061978
2016-09-25,3145615
2016-09-26,3145615
2016-09-27,3145615
2016-09-28,3145615
2016-09-29,3145615
2016-09-30,3145615
2016-10-01,3245797
2016-10-02,3245797
2016-10-03,3245797
2016-10-04,3245797
2016-10-05,3245797
2016-10-06,3278595
2016-10-07,3278595
2016-10-08,3278595
2016-10-09,3278595
2016-10-10,3278595
2016-10-11,3293745
2016-10-12,3293745
2016-10-13,3293745
2016-10-14,3293745
2016-10-15,3293745
2016-10-16,3293745
2016-10-17,3187479
2016-10-18,3187479
2016-10-19,3187479
2016-10-20,3187479
2016-10-21,3187479
2016-10-22,3187479
2016-10-23,3114862
2016-10-24,3114862
2016-10-25,3114862
2016-10-26,3114862
2016-10-27,3114862
2016-10-28,3114862
2016-10-29,2976360
2016-10-30,2976360
2016-10-31,2976360
2016-11-01,2976360
2016-11-02,2864891
2016-11-03,2864891
2016-11-04,2864891
2016-11-05,2864891
2016-11-06,2864891
2016-11-07,2864891
2016-11-08,2779458
2016-11-09,2779458
2016-11-10,2779458
2016-11-11,2779458
2016-11-12,2779458
2016-11-13,2642702
2016-11-14,2642702
2016-11-15,2642702
2016-12-07,2074699
2016-12-08,1995584
2016-12-09,1995584
2016-12-10,1995584
2016-12-11,1995584
2016-12-12,1995584
2016-12-13,1932125
2016-12-14,1932125
2016-12-15,1932125
2016-12-16,1932125
2016-12-17,1902199
2016-12-18,1902199
