date_obj,Kraken%20tentacle price
2015-03-26,438773
2015-03-27,438773
2015-03-28,460712
2015-03-29,483748
2015-03-30,507936
2015-03-31,533333
2015-04-01,560000
2015-04-02,586507
2015-04-03,583330
2015-04-04,567513
2015-04-05,562940
2015-04-06,584072
2015-04-07,561313
2015-04-08,542512
2015-04-09,523933
2015-04-10,499432
2015-04-11,476324
2015-04-12,454432
2015-04-13,464308
2015-04-14,486467
2015-04-15,510791
2015-04-16,536331
2015-04-17,556332
2015-04-18,568671
2015-04-19,597105
2015-04-20,626961
2015-04-21,658117
2015-04-22,681617
2015-04-23,713769
2015-04-24,712431
2015-04-25,681218
2015-04-26,703254
2015-04-27,686321
2015-04-28,662974
2015-04-29,662974
2015-04-30,638762
2015-05-01,617380
2015-05-02,617788
2015-05-03,617788
2015-05-04,614414
2015-05-05,612627
2015-05-06,616971
2015-05-07,613263
2015-05-08,614128
2015-05-09,612086
2015-05-10,615692
2015-05-11,615692
2015-05-12,630511
2015-05-13,635862
2015-05-14,638020
2015-05-15,635818
2015-05-16,616096
2015-05-17,586220
2015-05-18,556909
2015-05-19,529186
2015-05-20,529186
2015-05-21,503112
2015-05-22,486594
2015-05-23,464473
2015-05-24,454416
2015-05-25,461025
2015-05-26,451582
2015-05-27,444162
2015-05-28,446982
2015-05-29,452241
2015-05-30,460567
2015-05-31,474172
2015-06-01,490683
2015-06-02,511575
2015-06-03,524301
2015-06-04,524952
2015-06-05,532765
2015-06-06,539266
2015-06-07,532272
2015-06-08,545568
2015-06-09,570802
2015-06-10,571843
2015-06-11,554346
2015-06-12,546285
2015-06-13,530376
2015-06-14,510885
2015-06-15,506901
2015-06-16,496056
2015-06-17,484759
2015-06-18,484441
2015-06-19,484862
2015-06-20,478423
2015-06-21,463660
2015-06-22,469928
2015-06-23,460888
2015-06-24,455723
2015-06-25,452657
2015-06-26,442606
2015-06-27,442744
2015-06-28,445874
2015-06-29,450916
2015-06-30,444526
2015-07-01,452767
2015-07-02,469753
2015-07-03,474965
2015-07-04,455464
2015-07-05,454365
2015-07-06,440287
2015-07-07,442619
2015-07-08,444179
2015-07-09,436500
2015-07-10,432786
2015-07-11,443120
2015-07-12,437106
2015-07-13,438343
2015-07-14,445284
2015-07-15,442652
2015-07-16,439339
2015-07-17,440062
2015-07-18,436899
2015-07-19,437930
2015-07-20,423790
2015-07-21,414315
2015-07-22,394156
2015-07-23,377694
2015-07-24,367898
2015-07-25,360764
2015-07-26,344261
2015-07-27,334962
