date_obj,Swamp%20toad%20(item) price
2015-03-26,380
2015-03-27,380
2015-03-28,380
2015-03-29,380
2015-03-30,380
2015-03-31,380
2015-04-01,380
2015-04-02,380
2015-04-03,363
2015-04-04,363
2015-04-05,363
2015-04-06,363
2015-04-07,363
2015-04-08,363
2015-04-09,363
2015-04-10,363
2015-04-11,363
2015-04-12,363
2015-04-13,363
2015-04-14,363
2015-04-15,363
2015-04-16,363
2015-04-17,363
2015-04-18,363
2015-04-19,363
2015-04-20,363
2015-04-21,363
2015-04-22,363
2015-04-23,363
2015-04-24,363
2015-04-25,344
2015-04-26,344
2015-04-27,344
2015-04-28,344
2015-04-29,344
2015-04-30,344
2015-05-01,344
2015-05-02,344
2015-05-03,344
2015-05-04,344
2015-05-05,344
2015-05-06,344
2015-05-07,344
2015-05-08,344
2015-05-09,344
2015-05-10,344
2015-05-11,344
2015-05-12,344
2015-05-13,344
2015-05-14,344
2015-05-15,344
2015-05-16,344
2015-05-17,344
2015-05-18,327
2015-05-19,327
2015-05-20,327
2015-05-21,327
2015-05-22,327
2015-05-23,327
2015-05-24,327
2015-05-25,327
2015-05-26,327
2015-05-27,327
2015-05-28,327
2015-05-29,327
2015-05-30,327
2015-05-31,327
2015-06-01,327
2015-06-02,327
2015-06-03,327
2015-06-04,327
2015-06-05,312
2015-06-06,312
2015-06-07,312
2015-06-08,312
2015-06-09,312
2015-06-10,312
2015-06-11,312
2015-06-12,312
2015-06-13,312
2015-06-14,312
2015-06-15,312
2015-06-16,312
2015-06-17,312
2015-06-18,312
2015-06-19,312
2015-06-20,312
2015-06-21,312
2015-06-22,312
2015-06-23,312
2015-06-24,297
2015-06-25,297
2015-06-26,297
2015-06-27,297
2015-06-28,297
2015-06-29,297
2015-06-30,297
2015-07-01,297
2015-07-02,297
2015-07-03,297
2015-07-04,297
2015-07-05,297
2015-07-06,297
2015-07-07,297
2015-07-08,297
2015-07-09,297
2015-07-10,297
2015-07-11,297
2015-07-12,297
2015-07-13,297
2015-07-14,297
2015-07-15,284
2015-07-16,284
2015-07-17,284
2015-07-18,284
2015-07-19,284
2015-07-20,284
2015-07-21,284
2015-07-22,284
2015-07-23,284
2015-07-24,284
2015-07-25,284
2015-07-26,284
2015-07-27,284
2015-07-28,284
2015-07-29,284
2015-07-30,284
2015-07-31,284
2015-08-01,284
2015-08-02,284
2015-08-03,284
2015-08-04,272
2015-08-05,272
2015-08-06,272
2015-08-07,272
2015-08-08,272
2015-08-09,272
2015-08-10,272
2015-08-11,272
2015-08-12,272
2015-08-13,272
2015-08-14,272
2015-08-15,272
2015-08-16,272
2015-08-17,272
2015-08-18,272
2015-08-19,272
2015-08-20,272
2015-08-21,272
2015-08-22,272
2015-08-23,272
2015-08-24,259
2015-08-25,259
2015-08-26,259
2015-08-27,259
2015-08-28,259
2015-08-29,259
2015-08-30,259
2015-08-31,259
2015-09-01,259
2015-09-02,259
2015-09-03,259
2015-09-04,259
2015-09-05,259
2015-09-06,259
2015-09-07,259
2015-09-08,259
2015-09-09,259
2015-09-10,259
2015-09-11,259
2015-09-12,259
2015-09-13,259
2015-09-14,259
2015-09-15,259
2015-09-16,259
2015-09-17,251
2015-09-18,251
2015-09-19,251
2015-09-20,251
2015-09-21,251
2015-09-22,251
2015-09-23,251
2015-09-24,251
2015-09-25,251
2015-09-27,251
2015-09-28,251
2015-09-29,251
2015-09-30,251
2015-10-05,251
2015-10-06,251
2015-10-07,251
2015-10-08,251
2015-10-09,251
2015-10-10,251
2015-10-11,251
2015-10-12,251
2015-10-13,251
2015-10-14,251
2015-10-15,238
2015-10-16,238
2015-10-17,238
2015-10-18,238
2015-10-19,238
2015-10-20,238
2015-10-22,238
2015-10-23,238
2015-10-24,238
2015-10-25,238
2015-10-26,238
2015-10-27,238
2015-10-29,238
2015-10-30,238
2015-10-31,238
2015-11-01,238
2015-11-02,238
2015-11-03,238
2015-11-04,238
2015-11-05,238
2015-11-06,238
2015-11-07,238
2015-11-08,238
2015-11-09,238
2015-11-10,238
2015-11-11,238
2015-11-12,238
2015-11-13,230
2015-11-14,230
2015-11-15,230
2015-11-16,230
2015-11-17,230
2015-11-18,230
2015-11-19,230
2015-11-20,230
2015-11-21,230
2015-11-22,230
2015-11-23,230
2015-11-24,230
2015-11-25,230
