date_obj,Limestone%20brick price
2015-03-26,633
2015-03-27,633
2015-03-28,602
2015-03-29,571
2015-03-30,542
2015-03-31,542
2015-04-01,514
2015-04-02,514
2015-04-03,488
2015-04-04,463
2015-04-05,463
2015-04-06,439
2015-04-07,439
2015-04-08,417
2015-04-09,417
2015-04-10,396
2015-04-11,396
2015-04-12,376
2015-04-13,376
2015-04-14,357
2015-04-15,341
2015-04-16,341
2015-04-17,323
2015-04-18,323
2015-04-19,306
2015-04-20,306
2015-04-21,291
2015-04-22,291
2015-04-23,276
2015-04-24,276
2015-04-25,262
2015-04-26,262
2015-04-27,248
2015-04-28,248
2015-04-29,236
2015-04-30,236
2015-05-01,224
2015-05-02,224
2015-05-03,212
2015-05-04,212
2015-05-05,201
2015-05-06,201
2015-05-07,200
2015-05-08,200
2015-05-09,196
2015-05-10,196
2015-05-11,186
2015-05-12,186
2015-05-13,185
2015-05-14,185
2015-05-15,189
2015-05-16,189
2015-05-17,194
2015-05-18,194
2015-05-19,199
2015-05-20,199
2015-05-21,199
2015-05-22,198
2015-05-23,198
2015-05-24,197
2015-05-25,197
2015-05-26,207
2015-05-27,207
2015-05-28,218
2015-05-29,218
2015-05-30,219
2015-05-31,219
2015-06-01,215
2015-06-02,215
2015-06-03,209
2015-06-04,209
2015-06-05,198
2015-06-06,188
2015-06-07,188
2015-06-08,178
2015-06-09,178
2015-06-10,169
2015-06-11,169
2015-06-12,166
2015-06-13,171
2015-06-14,171
2015-06-15,174
2015-06-16,174
2015-06-17,177
2015-06-18,177
2015-06-19,177
2015-06-20,177
2015-06-21,175
2015-06-22,175
2015-06-23,180
2015-06-24,180
2015-06-25,179
2015-06-26,179
2015-06-27,186
2015-06-28,191
2015-06-29,191
2015-06-30,185
2015-07-01,185
2015-07-02,185
2015-07-03,186
2015-07-04,186
2015-07-05,186
2015-07-06,186
2015-07-07,196
2015-07-08,196
2015-07-09,199
2015-07-10,199
2015-07-11,191
2015-07-12,191
2015-07-13,188
2015-07-14,188
2015-07-15,180
2015-07-16,180
2015-07-17,178
2015-07-18,178
2015-07-19,183
2015-07-20,183
2015-07-21,183
2015-07-22,192
2015-07-23,192
2015-07-24,193
2015-07-25,193
2015-07-26,198
2015-07-27,198
2015-07-28,204
2015-07-29,197
2015-07-30,197
2015-07-31,197
2015-08-01,197
2015-08-02,205
2015-08-03,205
2015-08-04,205
2015-08-05,206
2015-08-06,206
2015-08-07,212
2015-08-08,212
2015-08-09,210
2015-08-10,210
2015-08-11,211
2015-08-12,211
2015-08-13,213
2015-08-14,212
2015-08-15,212
2015-08-16,212
2015-08-17,212
2015-08-18,214
2015-08-19,214
2015-08-20,217
2015-08-21,221
2015-08-22,221
2015-08-23,225
2015-08-24,225
2015-08-25,234
2015-08-26,234
2015-08-27,229
2015-08-28,229
2015-08-29,222
2015-08-30,222
2015-08-31,218
2015-09-01,218
2015-09-02,216
2015-09-03,216
2015-09-04,215
2015-09-05,215
2015-09-06,218
2015-09-07,218
2015-09-08,221
2015-09-09,221
2015-09-10,216
2015-09-11,216
2015-09-12,209
2015-09-13,209
2015-09-14,200
2015-09-15,200
2015-09-16,194
2015-09-17,194
2015-09-18,194
2015-09-19,194
2015-09-20,193
2015-09-21,193
2015-09-22,183
2015-09-23,183
2015-09-24,173
2015-09-25,173
2015-09-27,164
2015-09-28,155
2015-09-29,155
2015-09-30,147
2015-10-05,132
2015-10-06,127
2015-10-07,127
2015-10-08,124
2015-10-09,124
2015-10-10,124
2015-10-11,123
2015-10-12,123
2015-10-13,123
2015-10-14,124
2015-10-15,124
2015-10-16,124
2015-10-17,124
2015-10-18,124
2015-10-19,125
2015-10-20,125
2015-10-22,128
2015-10-23,132
2015-10-24,132
2015-10-25,137
2015-10-26,137
2015-10-27,138
2015-10-29,144
2015-10-30,144
2015-10-31,148
2015-11-01,148
2015-11-02,148
2015-11-03,148
2015-11-04,148
2015-11-05,148
2015-11-06,148
2015-11-07,150
2015-11-08,150
2015-11-09,150
2015-11-10,158
2015-11-11,158
2015-11-12,166
2015-11-13,166
2015-11-14,166
2015-11-15,172
2015-11-16,172
