date_obj,Unfired%20bowl price
2015-03-04,2442
2015-03-05,2319
2015-03-06,2203
2015-03-07,2092
2015-03-08,1987
2015-03-09,1887
2015-03-10,1792
2015-03-11,1702
2015-03-12,1616
2015-03-13,1535
2015-03-14,1458
2015-03-15,1385
2015-03-16,1315
2015-03-17,1249
2015-03-18,1249
2015-03-19,1186
2015-03-20,1126
2015-03-21,1069
2015-03-22,1019
2015-03-23,996
2015-03-24,948
2015-03-25,900
2015-03-26,855
2015-03-27,855
2015-03-28,812
2015-03-29,771
2015-03-30,732
2015-03-31,695
2015-04-01,695
2015-04-02,660
2015-04-03,627
2015-04-04,602
2015-04-05,571
2015-04-06,546
2015-04-07,551
2015-04-08,551
2015-04-09,545
2015-04-10,532
2015-04-11,544
2015-04-12,525
2015-04-13,502
2015-04-14,502
2015-04-15,490
2015-04-16,490
2015-04-17,465
2015-04-18,465
2015-04-19,445
2015-04-20,445
2015-04-21,422
2015-04-22,422
2015-04-23,400
2015-04-24,400
2015-04-25,380
2015-04-26,361
2015-04-27,346
2015-04-28,344
2015-04-29,344
2015-04-30,332
2015-05-01,317
2015-05-02,314
2015-05-03,314
2015-05-04,302
2015-05-05,302
2015-05-06,294
2015-05-07,283
2015-05-08,283
2015-05-09,274
2015-05-10,260
2015-05-11,260
2015-05-12,249
2015-05-13,249
2015-05-14,238
2015-05-15,238
2015-05-16,226
2015-05-17,226
2015-05-18,227
2015-05-19,227
2015-05-20,236
2015-05-21,236
2015-05-22,234
2015-05-23,234
2015-05-24,234
2015-05-25,241
2015-05-26,241
2015-05-27,247
2015-05-28,254
2015-05-29,250
2015-05-30,252
2015-05-31,252
2015-06-01,249
2015-06-02,249
2015-06-03,248
2015-06-04,253
2015-06-05,248
2015-06-06,235
2015-06-07,229
2015-06-08,237
2015-06-09,241
2015-06-10,242
2015-06-11,242
2015-06-12,249
2015-06-13,255
2015-06-14,262
2015-06-15,271
2015-06-16,267
2015-06-17,277
2015-06-18,265
2015-06-19,264
2015-06-20,264
2015-06-21,264
2015-06-22,263
2015-06-23,261
2015-06-24,260
2015-06-25,260
2015-06-26,258
2015-06-27,258
2015-06-28,264
2015-06-29,276
2015-06-30,283
2015-07-01,274
2015-07-02,274
2015-07-03,265
2015-07-04,265
2015-07-05,272
2015-07-06,272
2015-07-07,277
2015-07-08,266
2015-07-09,266
2015-07-10,266
2015-07-11,266
2015-07-12,276
2015-07-13,287
2015-07-14,301
2015-07-15,315
2015-07-16,327
2015-07-17,329
2015-07-18,329
2015-07-19,322
2015-07-20,319
2015-07-21,319
2015-07-22,321
2015-07-23,321
2015-07-24,328
2015-07-25,320
2015-07-26,310
2015-07-27,309
2015-07-28,300
2015-07-29,303
2015-07-30,303
2015-07-31,300
2015-08-01,295
2015-08-02,282
2015-08-03,282
2015-08-04,267
2015-08-05,271
2015-08-06,264
2015-08-07,269
2015-08-08,268
2015-08-09,260
2015-08-10,257
2015-08-11,253
2015-08-12,253
2015-08-13,249
2015-08-14,241
2015-08-15,241
2015-08-16,250
2015-08-17,255
2015-08-18,254
2015-08-19,258
2015-08-20,258
2015-08-21,267
2015-08-22,277
2015-08-23,277
2015-08-24,289
2015-08-25,289
2015-08-26,288
2015-08-27,294
2015-08-28,294
2015-08-29,287
2015-08-30,287
2015-08-31,275
2015-09-02,280
2015-09-07,312
2015-09-08,299
2015-09-10,286
2015-09-14,257
2015-09-16,250
2015-09-22,249
2015-09-23,258
2015-09-24,258
2015-09-25,266
2015-09-27,273
2015-09-28,287
2015-09-29,287
2015-09-30,297
2015-10-05,290
2015-10-06,281
2015-10-07,281
2015-10-08,275
2015-10-09,262
2015-10-10,262
2015-10-11,259
2015-10-12,250
2015-10-13,250
2015-10-14,242
2015-10-15,240
2015-10-16,234
2015-10-17,234
2015-10-18,227
2015-10-19,223
2015-10-20,222
2015-10-22,223
2015-10-23,215
2015-10-24,215
2015-10-25,205
2015-10-26,202
2015-10-27,202
2015-10-29,209
2015-10-30,200
2015-10-31,190
2015-11-01,190
2015-11-02,188
2015-11-03,188
2015-11-04,195
2015-11-05,191
2015-11-06,191
2015-11-07,200
2015-11-08,200
2015-11-09,199
2015-11-10,199
2015-11-11,202
2015-11-12,202
2015-11-13,208
2015-11-14,208
2015-11-15,210
2015-11-16,210
2015-11-17,209
2015-11-18,209
2015-11-19,205
2015-11-20,200
2015-11-21,200
2015-11-22,202
2015-11-23,202
2015-11-24,201
2015-11-25,205
2015-11-26,205
2015-11-27,213
2015-11-28,215
2015-11-29,223
2015-11-30,233
2015-12-01,233
2015-12-02,240
2015-12-03,240
2015-12-04,240
2015-12-05,250
2015-12-06,263
2015-12-07,263
2015-12-08,275
2015-12-09,278
2015-12-10,278
2015-12-11,280
2015-12-13,309
2015-12-14,309
2015-12-15,304
2015-12-16,304
2015-12-17,304
2015-12-18,308
2015-12-19,320
2015-12-20,335
2015-12-21,348
2015-12-22,366
2015-12-23,367
2015-12-24,367
2015-12-25,378
2015-12-26,378
2015-12-27,379
2015-12-28,377
2015-12-29,379
2015-12-30,389
2015-12-31,405
2016-01-01,405
2016-01-02,399
2016-01-03,396
2016-01-04,394
2016-01-05,382
2016-01-06,380
2016-01-07,380
2016-01-08,377
2016-01-09,377
2016-01-10,383
2016-01-11,401
2016-01-12,412
2016-01-13,412
2016-01-14,433
2016-01-15,455
2016-01-16,467
2016-01-17,483
2016-01-18,480
2016-01-19,480
2016-01-20,488
2016-01-21,488
2016-01-22,487
2016-01-23,464
2016-01-24,440
2016-01-25,418
2016-01-26,418
2016-01-27,397
2016-01-28,397
2016-01-29,377
2016-01-30,377
2016-01-31,358
2016-02-01,340
2016-02-02,340
2016-02-03,323
2016-02-04,306
2016-02-05,306
2016-02-06,290
2016-02-07,290
2016-02-08,275
2016-02-09,261
2016-02-10,247
2016-02-11,247
2016-02-12,234
2016-02-13,223
2016-02-14,223
2016-02-15,219
2016-02-16,208
2016-02-17,202
2016-02-18,202
2016-02-19,200
2016-02-20,192
2016-02-21,195
2016-02-22,195
2016-02-23,204
2016-02-24,204
2016-02-25,203
2016-02-26,203
2016-02-27,201
2016-02-28,201
2016-02-29,190
2016-03-01,198
2016-03-02,198
2016-03-03,203
2016-03-04,213
2016-03-05,224
2016-03-06,236
2016-03-07,236
2016-03-08,248
2016-03-09,261
2016-03-10,275
2016-03-11,275
2016-03-12,289
2016-03-13,289
2016-03-14,304
2016-03-15,306
2016-03-16,307
2016-03-17,302
2016-03-18,288
2016-03-19,278
2016-03-20,277
2016-03-21,277
2016-03-22,268
2016-03-23,269
2016-03-24,269
2016-03-25,279
2016-03-26,281
2016-03-27,290
2016-03-28,295
2016-03-29,284
2016-03-30,284
2016-03-31,286
2016-04-01,271
2016-04-02,275
2016-04-03,281
2016-04-04,274
2016-04-05,270
2016-04-06,281
2016-04-07,289
2016-04-08,292
2016-04-09,300
2016-04-10,306
2016-04-11,306
2016-04-12,304
2016-04-13,320
2016-04-14,324
2016-04-15,333
2016-04-16,349
2016-04-17,349
2016-04-18,362
2016-04-19,353
2016-04-20,351
2016-04-21,345
2016-04-22,345
2016-04-23,339
2016-04-24,356
2016-04-25,369
2016-04-26,371
2016-04-27,366
2016-04-28,384
2016-04-29,384
2016-04-30,390
2016-05-01,375
2016-05-02,368
2016-05-03,358
2016-05-04,374
2016-05-05,372
2016-05-06,372
2016-05-07,375
2016-05-08,375
2016-05-09,362
2016-05-10,343
2016-05-11,343
2016-05-12,325
2016-05-13,308
2016-05-14,292
2016-05-15,277
2016-05-16,263
2016-05-17,258
2016-05-18,261
2016-05-19,263
2016-05-22,285
2016-05-23,283
2016-05-24,288
2016-05-25,293
2016-05-26,290
2016-05-27,300
2016-05-28,300
2016-05-29,306
2016-05-30,306
2016-05-31,297
2016-06-01,303
2016-06-02,319
2016-06-03,330
2016-06-04,335
2016-06-05,341
2016-06-06,356
2016-06-07,356
2016-06-08,346
2016-06-09,328
2016-06-10,313
2016-06-11,301
2016-06-12,296
2016-06-13,296
2016-06-14,299
2016-06-15,291
2016-06-16,286
2016-06-17,292
2016-06-18,292
2016-06-19,302
2016-06-20,313
2016-06-21,327
2016-06-22,333
2016-06-23,317
2016-06-24,308
2016-06-25,311
2016-06-26,316
2016-06-27,300
2016-06-28,292
2016-06-29,301
2016-06-30,304
2016-07-01,316
2016-07-02,325
2016-07-03,341
2016-07-04,356
2016-07-05,365
2016-07-06,375
2016-07-07,386
2016-07-08,373
2016-07-09,354
2016-07-10,353
2016-07-11,349
2016-07-12,343
2016-07-13,342
2016-07-14,334
2016-07-15,331
2016-07-16,314
2016-07-17,298
2016-07-18,283
2016-07-24,242
2016-07-25,229
2016-07-26,229
2016-07-27,225
2016-07-28,225
2016-07-29,227
2016-07-30,238
2016-07-31,238
2016-08-01,247
2016-08-02,256
2016-08-03,259
2016-08-04,259
2016-08-05,259
2016-08-06,261
2016-08-07,268
2016-08-08,268
2016-08-09,277
2016-08-10,265
2016-08-11,265
2016-08-12,260
2016-08-13,260
2016-08-14,259
2016-08-15,260
2016-08-16,259
2016-08-17,259
2016-08-18,257
2016-08-19,257
2016-08-20,253
2016-08-21,253
2016-08-22,242
2016-08-23,241
2016-08-24,241
2016-08-25,238
2016-08-26,238
2016-08-28,241
2016-08-31,254
2016-09-01,251
2016-09-02,251
2016-09-03,259
2016-09-04,248
2016-09-05,243
2016-09-06,243
2016-09-07,243
2016-09-08,243
2016-09-09,250
2016-09-10,261
2016-09-11,261
2016-09-12,266
2016-09-13,258
2016-09-14,258
2016-09-15,257
2016-09-16,257
2016-09-17,247
2016-09-18,247
2016-09-19,240
2016-09-20,240
2016-09-21,239
2016-09-22,237
2016-09-23,237
2016-09-24,233
2016-09-25,229
2016-09-26,229
2016-09-27,221
2016-09-28,221
2016-09-29,209
2016-09-30,206
2016-10-01,206
2016-10-02,206
