date_obj,Dragon%20javelin%20heads price
2016-05-05,24374
2016-05-06,23155
2016-05-07,21997
2016-05-08,20897
2016-05-09,19852
2016-05-10,18859
2016-05-11,17916
2016-05-12,17020
2016-05-13,16169
2016-05-14,15360
2016-05-15,14592
2016-05-16,13862
2016-05-17,13168
2016-05-18,1453
2016-05-19,1384
2016-05-22,1316
2016-05-23,1250
2016-05-24,1187
2016-05-25,1130
2016-05-26,1074
2016-05-27,1038
2016-05-28,1044
2016-05-29,1079
2016-05-30,1098
2016-05-31,1104
2016-06-01,1124
2016-06-02,1129
2016-06-03,1140
2016-06-04,1197
2016-06-05,1243
2016-06-06,1304
2016-06-07,1328
2016-06-08,1378
2016-06-09,1425
2016-06-10,1382
2016-06-11,1317
2016-06-12,1271
2016-06-13,1237
2016-06-14,1215
2016-06-15,1220
2016-06-16,1202
2016-06-17,1182
2016-06-18,1149
2016-06-19,1128
2016-06-20,1125
2016-06-21,1114
2016-06-22,1108
2016-06-23,1089
2016-06-24,1090
2016-06-25,1082
2016-06-26,1087
2016-06-27,1071
2016-06-28,1030
2016-06-29,1024
2016-06-30,1042
2016-07-01,1070
2016-07-02,1074
2016-07-03,1074
2016-07-04,1046
2016-07-05,1037
2016-07-06,1045
2016-07-07,1058
2016-07-08,1069
2016-07-09,1051
2016-07-10,1051
2016-07-11,1088
2016-07-12,1110
2016-07-13,1104
2016-07-14,1151
2016-07-15,1205
2016-07-16,1243
2016-07-17,1270
2016-07-18,1227
2016-07-23,1231
2016-07-24,1289
2016-07-25,1294
2016-07-26,1288
2016-07-27,1289
2016-07-28,1347
2016-07-29,1393
2016-07-30,1451
2016-07-31,1524
2016-08-01,1583
2016-08-02,1598
2016-08-03,1645
2016-08-04,1590
2016-08-05,1585
2016-08-06,1606
2016-08-07,1630
2016-08-08,1621
2016-08-09,1611
2016-08-10,1578
2016-08-11,1505
2016-08-12,1441
2016-08-13,1443
2016-08-14,1487
2016-08-15,1453
2016-08-16,1426
2016-08-17,1408
2016-08-18,1394
2016-08-19,1346
2016-08-20,1337
2016-08-21,1280
2016-08-22,1248
2016-08-23,1304
2016-08-24,1344
2016-08-25,1344
2016-08-26,1344
2016-08-28,1305
2016-08-31,1294
2016-09-01,1252
2016-09-02,1252
2016-09-03,1303
2016-09-04,1344
2016-09-05,1402
2016-09-06,1463
2016-09-07,1531
2016-09-08,1575
2016-09-09,1599
2016-09-10,1630
2016-09-11,1642
2016-09-12,1642
2016-09-13,1654
2016-09-14,1701
2016-09-15,1673
2016-09-16,1659
2016-09-17,1653
2016-09-18,1632
2016-09-19,1687
2016-09-20,1674
2016-09-21,1658
2016-09-22,1600
2016-09-23,1586
2016-09-24,1586
2016-09-25,1652
2016-09-26,1699
2016-09-27,1772
2016-09-28,1841
2016-09-29,1934
2016-09-30,2028
2016-10-01,2079
2016-10-02,2093
2016-10-03,2001
2016-10-04,1926
2016-10-05,1986
2016-10-06,2013
2016-10-07,2026
2016-10-08,2026
2016-10-09,2084
2016-10-10,2017
2016-10-11,1992
2016-10-12,1968
2016-10-13,1968
2016-10-14,2051
2016-10-15,2116
2016-10-16,2190
2016-10-17,2282
2016-10-18,2393
2016-10-19,2513
2016-10-20,2630
2016-10-21,2683
2016-10-22,2671
2016-10-23,2637
2016-10-24,2562
2016-10-25,2444
2016-10-26,2327
2016-10-27,2274
2016-10-28,2388
2016-10-29,2508
2016-10-30,2556
2016-10-31,2437
2016-11-01,2315
2016-11-02,2202
2016-11-03,2091
2016-11-04,1987
2016-11-05,1887
2016-11-06,1826
2016-11-07,1781
2016-11-08,1696
2016-11-09,1619
2016-11-10,1615
2016-11-11,1535
2016-11-12,1467
2016-11-13,1395
2016-11-14,1343
2016-11-15,1302
2016-12-07,1196
2016-12-08,1142
2016-12-09,1099
2016-12-10,1075
2016-12-11,1035
2016-12-12,984
2016-12-13,962
2016-12-14,964
2016-12-15,975
2016-12-16,996
2016-12-17,974
2016-12-18,975
2016-12-19,960
2016-12-20,966
2016-12-21,973
2016-12-22,982
2016-12-23,992
2016-12-24,994
2016-12-25,986
2016-12-26,979
2016-12-27,965
2016-12-28,954
2016-12-29,981
2016-12-30,961
2016-12-31,967
2017-01-01,966
2017-01-02,976
2017-01-03,955
2017-01-04,949
2017-01-05,941
2017-01-06,929
2017-01-07,934
2017-01-08,932
2017-01-09,938
2017-01-10,956
2017-01-11,963
2017-01-12,971
2017-01-13,964
2017-01-14,957
2017-01-15,966
2017-01-16,964
2017-01-17,978
2017-01-18,972
2017-01-19,977
2017-01-20,966
2017-01-21,989
2017-01-22,985
2017-01-23,1001
2017-01-27,962
2017-01-28,988
2017-01-29,986
2017-01-30,994
2017-01-31,988
2017-02-01,981
2017-02-02,978
2017-02-03,998
2017-02-04,987
2017-02-05,978
2017-02-06,984
2017-02-07,995
2017-02-08,980
2017-02-09,961
2017-02-10,975
2017-02-11,994
2017-02-12,989
2017-02-13,1016
2017-02-14,1012
2017-02-15,980
2017-02-16,972
2017-02-18,996
2017-02-19,973
2017-02-20,960
2017-02-21,976
2017-02-22,996
2017-02-23,980
2017-02-24,979
2017-02-25,968
2017-02-26,967
2017-02-27,982
2017-02-28,992
2017-03-01,990
2017-03-02,995
2017-03-03,995
2017-03-04,998
2017-03-05,997
2017-03-06,1002
2017-03-07,1027
2017-03-08,1012
2017-03-09,1021
2017-03-10,1002
2017-03-11,997
2017-03-12,986
2017-03-13,992
2017-03-14,1012
2017-03-15,1007
2017-03-16,997
2017-03-17,1016
2017-03-18,1017
2017-03-19,1033
2017-03-20,1077
2017-03-21,1102
2017-03-22,1090
2017-03-23,1075
2017-03-24,1044
2017-03-25,1036
2017-03-26,1057
2017-03-27,1055
2017-03-28,1031
2017-03-29,1038
2017-03-30,1035
2017-03-31,1052
2017-04-01,1080
2017-04-02,1075
2017-04-03,1075
2017-04-04,1055
2017-04-12,1192
2017-04-13,1187
2017-04-14,1194
2017-04-15,1198
2017-04-16,1212
2017-04-17,1174
2017-04-18,1170
2017-04-19,1186
2017-04-20,1211
2017-04-21,1209
2017-04-22,1166
2017-04-23,1113
2017-04-24,1073
2017-04-25,1064
2017-04-26,1059
2017-04-27,1076
2017-04-28,1127
2017-04-29,1159
2017-04-30,1204
2017-05-01,1256
2017-05-02,1312
2017-05-03,1315
2017-05-04,1296
2017-05-05,1262
2017-05-06,1205
2017-05-07,1204
2017-05-08,1181
2017-05-09,1143
2017-05-10,1113
2017-05-11,1125
2017-05-12,1131
2017-05-13,1155
2017-05-14,1155
2017-05-15,1165
2017-05-16,1192
2017-05-17,1198
2017-05-18,1205
2017-05-19,1162
2017-05-20,1170
2017-05-21,1203
2017-05-22,1216
2017-05-23,1236
2017-05-24,1192
2017-05-25,1141
2017-05-26,1085
2017-05-27,1036
2017-05-28,985
2017-05-29,942
2017-05-30,941
2017-05-31,951
2017-06-01,952
2017-06-02,978
2017-06-03,970
2017-06-04,961
2017-06-05,972
2017-06-06,982
2017-06-07,1010
2017-06-08,1024
2017-06-09,1034
2017-06-10,1038
2017-06-11,1010
2017-06-12,1018
2017-06-13,990
2017-06-14,1009
2017-06-15,995
2017-06-16,1008
2017-06-17,1030
2017-06-18,1049
2017-06-19,1040
2017-06-20,999
2017-06-21,986
2017-06-22,991
2017-06-23,995
2017-06-24,996
2017-06-25,996
2017-06-26,1006
2017-06-27,1009
2017-06-28,1015
2017-06-29,992
2017-06-30,1023
2017-07-01,973
2017-07-02,968
2017-07-03,989
2017-07-04,1009
2017-07-05,1021
2017-07-06,992
2017-07-07,999
2017-07-08,1012
2017-07-13,1168
2017-07-14,1132
2017-07-15,1075
2017-07-16,1039
2017-07-17,1033
2017-07-18,1049
2017-07-19,1048
2017-07-20,1055
2017-07-21,1074
2017-07-22,1065
2017-07-23,1089
2017-07-24,1123
2017-07-25,1175
2017-07-26,1161
2017-07-27,1208
2017-07-28,1212
2017-07-29,1245
2017-07-30,1264
2017-07-31,1284
2017-08-01,1235
2017-08-02,1184
2017-08-03,1193
2017-08-04,1181
2017-08-05,1121
2017-08-06,1083
2017-08-09,1040
2017-08-10,1036
2017-08-11,1054
2017-08-12,1005
2017-08-13,998
2017-08-14,1037
2017-08-15,1040
2017-08-16,1070
2017-08-17,1050
2017-08-18,1062
2017-08-19,1054
2017-08-20,1074
2017-08-21,1076
2017-08-22,1067
2017-08-23,1065
2017-08-24,1067
2017-08-25,1045
2017-08-26,1051
2017-08-27,1057
2017-08-28,1062
2017-08-29,1012
2017-08-30,1002
2017-08-31,1020
2017-09-01,1025
2017-09-03,1022
2017-09-04,1017
2017-09-05,1022
2017-09-06,1027
2017-09-07,1022
2017-09-08,1019
2017-09-09,1018
2017-09-10,1023
2017-09-11,1044
2017-09-12,1024
2017-09-13,1021
2017-09-14,1031
2017-09-15,1021
2017-09-16,1016
2017-09-17,1011
2017-09-18,989
2017-09-19,992
2017-09-20,993
2017-09-21,990
2017-09-22,985
2017-09-23,983
2017-09-24,984
2017-09-25,1000
2017-09-26,995
2017-09-27,1005
2017-09-28,1015
2017-09-29,997
2017-09-30,1012
2017-10-01,1009
2017-10-02,1000
2017-10-03,1024
2017-10-04,1023
2017-10-05,1006
2017-10-06,999
2017-10-07,1006
2017-10-08,1014
2017-10-09,1022
2017-10-10,1024
2017-10-11,1022
2017-10-12,1024
2017-10-13,1031
2017-10-14,1053
2017-10-15,1084
2017-10-16,1069
2017-10-17,1034
2017-10-18,994
2017-10-19,1017
2017-10-20,1022
2017-10-21,1026
2017-10-22,1036
2017-10-23,1054
2017-10-24,1062
2017-10-25,1078
2017-10-26,1075
2017-10-27,1077
2017-10-28,1081
2017-10-29,1047
2017-10-30,1049
2017-10-31,1053
