date_obj,Greenman's%20ale%20(flatpack) price
2017-03-07,3804
2017-03-08,3804
2017-03-09,3804
2017-03-10,3804
2017-03-11,3804
2017-03-12,3804
2017-03-13,3804
2017-03-14,3804
2017-03-15,3804
2017-03-16,3804
2017-03-17,3804
2017-03-18,3804
2017-03-19,3804
2017-03-20,3804
2017-03-21,3804
2017-03-22,3804
2017-03-23,3804
2017-03-24,3804
2017-03-25,3804
2017-03-26,3804
2017-03-27,3804
2017-03-28,3804
2017-03-29,3804
2017-03-30,3804
2017-03-31,3804
2017-04-01,3804
2017-04-02,3804
2017-04-03,3804
2017-04-04,3804
2017-04-12,3804
2017-04-13,3804
2017-04-14,3804
2017-04-15,3804
2017-04-16,3804
2017-04-17,3804
2017-04-18,3804
2017-04-19,3804
2017-04-20,3804
2017-04-21,3804
2017-04-22,3804
2017-04-23,3804
2017-04-24,3804
2017-04-25,3804
2017-04-26,3804
2017-04-27,3804
2017-04-28,3804
2017-04-29,3804
2017-04-30,3804
2017-05-01,3804
2017-05-02,3804
2017-05-03,3804
2017-05-04,3973
2017-05-05,3973
2017-05-06,3973
2017-05-07,3973
2017-05-08,3973
2017-05-09,3973
2017-05-10,3973
2017-05-11,3973
2017-05-12,3973
2017-05-13,3973
2017-05-14,3973
2017-05-15,3973
2017-05-16,3973
2017-05-17,3973
2017-05-18,3973
2017-05-19,3973
2017-05-20,3973
2017-05-21,3973
2017-05-22,3973
2017-05-23,3973
2017-05-24,3973
2017-05-25,3973
2017-05-26,3973
2017-05-27,3973
2017-05-28,3973
2017-05-29,3973
2017-05-30,3973
2017-05-31,3973
2017-06-01,3973
2017-06-02,3973
2017-06-03,3973
2017-06-04,3973
2017-06-05,3973
2017-06-06,3973
2017-06-07,3973
2017-06-08,3973
2017-06-09,3973
2017-06-10,3973
2017-06-11,3973
2017-06-12,3973
2017-06-13,3973
2017-06-14,3973
2017-06-15,3973
2017-06-16,3973
2017-06-17,3973
2017-06-18,3973
2017-06-19,3973
2017-06-20,3973
2017-06-21,3973
2017-06-22,3973
2017-06-23,3973
2017-06-24,3973
2017-06-25,3973
2017-06-26,3973
2017-06-27,3973
2017-06-28,3973
2017-06-29,3973
2017-06-30,3973
2017-07-01,3973
2017-07-02,3973
2017-07-03,3973
2017-07-04,3973
2017-07-05,3973
2017-07-06,3973
2017-07-07,3973
2017-07-08,3973
2017-07-13,3973
2017-07-14,3973
2017-07-15,3973
2017-07-16,3973
2017-07-17,3973
2017-07-18,3973
2017-07-19,3973
2017-07-20,3973
2017-07-21,3973
2017-07-22,3973
2017-07-23,3973
2017-07-24,3973
2017-07-25,3973
2017-07-26,3973
2017-07-27,3973
2017-07-28,3973
2017-07-29,3973
2017-07-30,3973
2017-07-31,3973
2017-08-01,3973
2017-08-02,3973
2017-08-03,3973
2017-08-04,3973
2017-08-05,3973
2017-08-06,3973
2017-08-09,3973
2017-08-10,3973
2017-08-11,3973
2017-08-12,3973
2017-08-13,3973
2017-08-14,3973
2017-08-15,3973
2017-08-16,3973
2017-08-17,3973
2017-08-18,3973
2017-08-19,3973
2017-08-20,3973
2017-08-21,3973
2017-08-22,3973
2017-08-23,3973
2017-08-24,3973
2017-08-25,3973
2017-08-26,3973
2017-08-27,3973
2017-08-28,3973
2017-08-29,3973
2017-08-30,3973
2017-08-31,3973
2017-09-01,3973
2017-09-02,3973
2017-09-03,3973
2017-09-04,3973
2017-09-05,3973
2017-09-06,3973
2017-09-07,3973
2017-09-08,3973
2017-09-09,3973
2017-09-10,3973
2017-09-11,3973
2017-09-12,4144
2017-09-13,4144
2017-09-14,4144
2017-09-15,4144
2017-09-16,4144
2017-09-17,4144
2017-09-18,4144
2017-09-19,4144
2017-09-20,4144
2017-09-21,4144
2017-09-22,4144
2017-09-23,4144
2017-09-24,4144
2017-09-25,4144
2017-09-26,4144
2017-09-27,4144
2017-09-28,4144
2017-09-29,4144
2017-09-30,4144
2017-10-01,4144
2017-10-02,4144
2017-10-03,4144
2017-10-04,4144
2017-10-05,4144
2017-10-06,4144
2017-10-07,4144
2017-10-08,4144
2017-10-09,4144
2017-10-10,4144
2017-10-11,4144
2017-10-12,4144
2017-10-13,4144
2017-10-14,4144
2017-10-15,4144
2017-10-16,4144
2017-10-17,4144
2017-10-18,4144
2017-10-19,4144
2017-10-20,4144
2017-10-21,4144
2017-10-22,4144
2017-10-23,4144
2017-10-24,4144
2017-10-25,4144
2017-10-26,4144
2017-10-27,4144
2017-10-28,4144
2017-10-29,4144
2017-10-30,4144
2017-10-31,4144
2017-11-01,4144
2017-11-02,4144
2017-11-03,4144
2017-11-04,4144
2017-11-05,4144
2017-11-06,4144
2017-11-07,4144
2017-11-08,4144
2017-11-09,4144
2017-11-10,4144
2017-11-11,4144
2017-11-12,4144
2017-11-13,4144
2017-11-14,4144
2017-11-15,4144
2017-11-16,4144
2017-11-17,4144
2017-11-18,4144
2017-11-19,4144
2017-11-20,4144
2017-11-21,4144
2017-11-22,4144
2017-11-23,4144
2017-11-24,4144
2017-11-25,4144
2017-11-26,4144
2017-11-27,4144
2017-11-28,4144
2017-11-29,4144
2017-11-30,4144
2017-12-01,4144
2017-12-02,4144
2017-12-03,4144
2017-12-04,4144
2017-12-05,4144
2017-12-06,4144
2017-12-07,4144
2017-12-08,4144
2017-12-09,4144
2017-12-10,4144
2017-12-11,4144
2017-12-12,4144
2017-12-13,4144
2017-12-14,4144
2017-12-15,4144
2017-12-16,4144
2017-12-17,4144
2017-12-18,4144
2017-12-19,4144
2017-12-20,4144
2017-12-21,4144
2017-12-22,4144
2017-12-23,4144
2017-12-24,4144
2017-12-25,4144
2017-12-26,4144
2017-12-27,4144
2017-12-28,4144
2017-12-29,4144
2017-12-30,4144
2017-12-31,4144
2018-01-01,4144
2018-01-02,4144
2018-01-03,4144
2018-01-04,4144
2018-01-05,4144
2018-01-06,4144
2018-01-07,4144
2018-01-08,4144
