date_obj,Light%20frame price
2016-05-05,10000000
2016-05-06,10000000
2016-05-07,9500000
2016-05-08,9500000
2016-05-09,9025000
2016-05-10,8585372
2016-05-11,8585372
2016-05-12,8164745
2016-05-13,7764588
2016-05-14,7764588
2016-05-15,7381199
2016-05-16,7381199
2016-05-17,7015291
2016-05-18,400000
2016-05-19,400000
2016-05-22,380000
2016-05-23,380000
2016-05-24,380000
2016-05-25,380000
2016-05-26,361000
2016-05-27,361000
2016-05-28,361000
2016-05-29,361000
2016-05-30,361000
2016-05-31,343514
2016-06-01,343514
2016-06-02,343514
2016-06-03,343514
2016-06-04,343514
2016-06-05,343514
2016-06-06,326338
2016-06-07,326338
2016-06-08,326338
2016-06-09,326338
2016-06-10,326338
2016-06-11,326338
2016-06-12,310486
2016-06-13,310486
2016-06-14,310486
2016-06-15,310486
2016-06-16,310486
2016-06-17,295224
2016-06-18,295224
2016-06-19,295224
2016-06-20,295224
2016-06-21,295224
2016-06-22,295224
2016-06-23,280886
2016-06-24,280886
2016-06-25,280886
2016-06-26,280886
2016-06-27,280886
2016-06-28,280886
2016-06-29,280886
2016-06-30,267255
2016-07-01,267255
2016-07-02,267255
2016-07-03,267255
2016-07-04,267255
2016-07-05,267255
2016-07-06,253892
2016-07-07,253892
2016-07-08,253892
2016-07-09,253892
2016-07-10,253892
2016-07-11,253892
2016-07-12,253892
2016-07-13,253892
2016-07-14,241450
2016-07-15,241450
2016-07-16,241450
2016-07-17,241450
2016-07-18,241450
2016-07-23,229678
2016-07-24,229678
2016-07-25,229678
2016-07-26,229678
2016-07-27,229678
2016-07-28,229678
2016-07-29,229678
2016-07-30,218633
2016-07-31,218633
2016-08-01,218633
2016-08-02,218633
2016-08-03,218633
2016-08-04,218633
2016-08-05,218633
2016-08-06,218633
2016-08-07,207701
2016-08-08,207701
2016-08-09,207701
2016-08-10,207701
2016-08-11,207701
2016-08-12,207701
2016-08-13,207701
2016-08-14,197488
2016-08-15,197488
2016-08-16,197488
2016-08-17,197488
2016-08-18,197488
2016-08-19,197488
2016-08-20,187857
2016-08-21,187857
2016-08-22,187857
2016-08-23,187857
2016-08-24,187857
2016-08-25,187857
2016-08-26,178625
2016-08-28,178625
2016-08-31,178625
2016-09-01,169693
2016-09-02,169693
2016-09-03,169693
2016-09-04,169693
2016-09-05,169693
2016-09-06,161296
2016-09-07,161296
2016-09-08,161296
2016-09-09,161296
2016-09-10,161296
2016-09-11,161296
2016-09-12,161296
2016-09-13,153231
2016-09-14,153231
2016-09-15,153231
2016-09-16,153231
2016-09-17,153231
2016-09-18,153231
2016-09-19,145798
2016-09-20,145798
2016-09-21,145798
2016-09-22,145798
2016-09-23,145798
2016-09-24,145798
2016-09-25,145798
2016-09-26,138686
2016-09-27,138686
2016-09-28,138686
2016-09-29,138686
2016-09-30,138686
2016-10-01,138686
2016-10-02,131848
2016-10-03,131848
2016-10-04,131848
2016-10-05,131848
2016-10-06,131848
2016-10-07,131848
2016-10-08,131848
2016-10-09,125355
2016-10-10,125355
2016-10-11,125355
2016-10-12,125355
2016-10-13,125355
2016-10-14,125355
2016-10-15,119207
2016-10-16,119207
2016-10-17,119207
2016-10-18,119207
2016-10-19,119207
2016-10-20,119207
2016-10-21,113246
2016-10-22,113246
2016-10-23,113246
2016-10-24,113246
2016-10-25,113246
2016-10-26,107720
2016-10-27,107720
2016-10-28,107720
2016-10-29,107720
2016-10-30,107720
2016-10-31,107720
2016-11-01,102538
2016-11-02,102538
2016-11-03,102538
2016-11-04,102538
2016-11-05,101280
2016-11-06,101280
2016-11-07,101280
2016-11-08,101280
2016-11-09,106259
2016-11-10,106259
2016-11-11,106259
2016-11-12,106259
2016-11-13,106259
2016-11-14,111187
2016-12-07,108362
2016-12-08,108362
2016-12-09,108362
2016-12-10,108362
2016-12-11,108362
2016-12-12,103138
2016-12-13,103138
2016-12-14,103138
2016-12-15,103138
2016-12-16,103138
2016-12-17,98327
2016-12-18,98327
2016-12-19,98327
2016-12-20,98327
2016-12-21,98327
2016-12-22,98327
2016-12-23,93560
2016-12-24,93560
2016-12-25,93560
2016-12-26,93560
2016-12-27,93560
2016-12-28,93560
2016-12-29,89036
2016-12-30,89036
2016-12-31,89036
2017-01-01,89036
2017-01-02,89036
2017-01-03,84863
2017-01-04,84863
2017-01-05,84863
2017-01-06,84863
2017-01-07,80810
2017-01-08,80810
2017-01-09,80810
2017-01-10,80810
2017-01-11,80810
2017-01-12,76769
2017-01-13,76769
2017-01-14,76769
2017-01-15,76769
2017-01-16,76769
2017-01-17,73070
2017-01-18,73070
2017-01-19,73070
2017-01-20,73070
2017-01-21,73070
2017-01-22,69566
2017-01-27,66181
2017-01-28,66181
2017-01-29,66181
2017-01-30,66181
2017-01-31,62972
2017-02-01,62972
2017-02-02,62972
2017-02-03,62972
2017-02-04,59865
2017-02-05,59865
2017-02-06,59865
2017-02-07,59865
2017-02-08,56970
2017-02-09,56970
2017-02-10,56970
2017-02-11,54163
2017-02-12,54163
2017-02-13,54163
2017-02-14,54163
2017-02-15,51579
2017-02-16,51579
2017-02-18,51579
2017-02-19,49114
2017-02-20,49114
2017-02-21,49114
2017-02-22,49114
2017-02-23,49114
2017-02-24,46767
2017-02-25,46767
2017-02-26,46767
2017-02-27,46767
2017-02-28,44475
2017-03-01,44475
2017-03-02,44475
2017-03-03,44475
2017-03-04,42313
2017-03-05,42313
2017-03-06,42313
2017-03-07,42313
2017-03-08,40265
2017-03-09,40265
2017-03-10,40265
2017-03-11,40265
2017-03-12,38318
2017-03-13,38318
2017-03-14,38318
2017-03-15,36463
2017-03-16,36463
2017-03-17,36463
2017-03-18,36463
2017-03-19,34703
2017-03-20,34703
2017-03-21,34703
2017-03-22,34703
2017-03-23,33063
2017-03-24,33063
2017-03-25,33063
2017-03-26,33063
2017-03-27,33063
2017-03-28,31539
2017-03-29,31539
2017-03-30,31539
2017-03-31,31539
2017-04-01,31539
2017-04-02,30086
2017-04-03,30086
2017-04-04,30086
2017-04-12,30879
2017-04-13,30879
2017-04-14,30879
2017-04-15,30879
2017-04-16,30879
2017-04-17,31342
2017-04-18,31342
2017-04-19,31342
2017-04-20,31342
2017-04-21,31342
2017-04-22,31342
2017-04-23,31851
2017-04-24,31851
2017-04-25,31851
2017-04-26,31851
2017-04-27,31851
2017-04-28,30601
2017-04-29,30601
2017-04-30,30601
2017-05-01,30601
2017-05-02,30601
2017-05-03,29737
2017-05-04,29737
2017-05-05,29737
2017-05-06,29737
2017-05-07,29737
2017-05-08,29737
2017-05-09,30243
2017-05-10,30243
2017-05-11,30243
2017-05-12,30243
2017-05-13,30243
2017-05-14,30243
2017-05-15,30221
2017-05-16,30221
2017-05-17,30221
2017-05-18,30221
2017-05-19,30221
2017-05-20,30874
2017-05-21,30874
2017-05-22,30874
2017-05-23,30874
