date_obj,Gold%20ring price
2015-03-26,125
2015-03-27,125
2015-03-28,126
2015-03-29,132
2015-03-30,133
2015-03-31,134
2015-04-01,135
2015-04-02,135
2015-04-03,133
2015-04-04,131
2015-04-05,124
2015-04-06,117
2015-04-07,111
2015-04-08,105
2015-04-09,99
2015-04-10,98
2015-04-11,100
2015-04-12,104
2015-04-13,107
2015-04-14,107
2015-04-15,108
2015-04-16,109
2015-04-17,112
2015-04-18,114
2015-04-19,117
2015-04-20,117
2015-04-21,114
2015-04-22,115
2015-04-23,118
2015-04-24,122
2015-04-25,117
2015-04-26,118
2015-04-27,122
2015-04-28,123
2015-04-29,123
2015-04-30,125
2015-05-01,125
2015-05-02,126
2015-05-03,126
2015-05-04,127
2015-05-05,128
2015-05-06,130
2015-05-07,129
2015-05-08,130
2015-05-09,132
2015-05-10,136
2015-05-11,136
2015-05-12,137
2015-05-13,137
2015-05-14,137
2015-05-15,141
2015-05-16,141
2015-05-17,136
2015-05-18,141
2015-05-19,146
2015-05-20,146
2015-05-21,141
2015-05-22,136
2015-05-23,133
2015-05-24,138
2015-05-25,143
2015-05-26,151
2015-05-27,156
2015-05-28,156
2015-05-29,155
2015-05-30,150
2015-05-31,143
2015-06-01,139
2015-06-02,139
2015-06-03,138
2015-06-04,133
2015-06-05,129
2015-06-06,134
2015-06-07,135
2015-06-08,137
2015-06-09,138
2015-06-10,137
2015-06-11,139
2015-06-12,138
2015-06-13,137
2015-06-14,139
2015-06-15,140
2015-06-16,143
2015-06-17,151
2015-06-18,156
2015-06-19,159
2015-06-20,155
2015-06-21,155
2015-06-22,159
2015-06-23,157
2015-06-24,150
2015-06-25,150
2015-06-26,146
2015-06-27,146
2015-06-28,142
2015-06-29,137
2015-06-30,132
2015-07-01,126
2015-07-02,126
2015-07-03,125
2015-07-04,124
2015-07-05,131
2015-07-06,132
2015-07-07,134
2015-07-08,140
2015-07-09,140
2015-07-10,145
2015-07-11,144
2015-07-12,150
2015-07-13,157
2015-07-14,165
2015-07-15,173
2015-07-16,174
2015-07-17,181
2015-07-18,177
2015-07-19,170
2015-07-20,163
2015-07-21,163
2015-07-22,164
2015-07-23,164
2015-07-24,157
2015-07-25,156
2015-07-26,156
2015-07-27,149
2015-07-28,146
2015-07-29,141
2015-07-30,142
2015-07-31,143
2015-08-01,144
2015-08-02,142
2015-08-03,148
2015-08-04,146
2015-08-05,147
2015-08-06,148
2015-08-07,154
2015-08-08,149
2015-08-09,142
2015-08-10,138
2015-08-11,141
2015-08-12,141
2015-08-13,149
2015-08-14,153
2015-08-15,153
2015-08-16,150
2015-08-17,150
2015-08-18,145
2015-08-19,139
2015-08-20,139
2015-08-21,136
2015-08-22,131
2015-08-23,131
2015-08-24,133
2015-08-25,133
2015-08-26,130
2015-08-27,136
2015-08-28,136
2015-08-29,142
2015-08-30,142
2015-08-31,139
2015-09-01,133
2015-09-02,133
2015-09-03,136
2015-09-04,130
2015-09-05,130
2015-09-06,128
2015-09-07,135
2015-09-08,133
2015-09-09,133
2015-09-10,128
2015-09-11,133
2015-09-12,133
2015-09-13,133
2015-09-14,133
2015-09-15,140
2015-09-16,140
2015-09-17,144
2015-09-18,144
2015-09-19,144
2015-09-20,144
2015-09-21,143
2015-09-22,145
2015-09-23,143
2015-09-24,143
2015-09-25,143
2015-09-27,150
2015-09-28,157
2015-09-29,157
2015-09-30,161
2015-10-05,167
2015-10-06,168
2015-10-07,168
2015-10-08,171
2015-10-09,171
2015-10-10,171
2015-10-11,168
2015-10-12,167
2015-10-13,167
2015-10-14,163
2015-10-15,161
2015-10-16,157
2015-10-17,157
2015-10-18,160
2015-10-19,167
2015-10-20,167
2015-10-22,170
2015-10-23,176
2015-10-24,176
2015-10-25,176
2015-10-26,177
2015-10-27,177
2015-10-29,170
2015-10-30,162
2015-10-31,159
2015-11-01,159
2015-11-02,155
2015-11-03,155
2015-11-04,154
2015-11-05,157
2015-11-06,157
2015-11-07,162
2015-11-08,162
2015-11-09,161
2015-11-10,161
2015-11-11,167
2015-11-12,167
2015-11-13,164
2015-11-14,164
2015-11-15,164
2015-11-16,164
2015-11-17,170
2015-11-18,170
2015-11-19,169
2015-11-20,171
2015-11-21,171
2015-11-22,170
2015-11-23,170
2015-11-24,171
2015-11-25,177
2015-11-26,177
2015-11-27,177
2015-11-28,177
2015-11-29,175
2015-11-30,184
2015-12-01,184
2015-12-02,180
2015-12-03,183
2015-12-04,183
2015-12-05,184
2015-12-06,176
2015-12-07,176
2015-12-08,175
2015-12-09,170
2015-12-10,170
2015-12-11,175
2015-12-12,175
2015-12-13,180
2015-12-14,180
2015-12-15,182
2015-12-16,187
2015-12-17,187
2015-12-18,177
2015-12-19,177
