date_obj,Dragon%20necklace price
2015-03-26,22321
2015-03-27,22321
2015-03-28,22321
2015-03-29,22321
2015-03-30,22321
2015-03-31,22321
2015-04-01,22321
2015-04-02,21411
2015-04-03,21411
2015-04-04,21411
2015-04-05,21411
2015-04-06,21411
2015-04-07,21411
2015-04-08,21411
2015-04-09,21411
2015-04-10,21411
2015-04-11,21411
2015-04-12,21411
2015-04-13,21411
2015-04-14,20397
2015-04-15,20397
2015-04-16,20397
2015-04-17,20397
2015-04-18,20397
2015-04-19,20397
2015-04-20,20397
2015-04-21,20397
2015-04-22,20397
2015-04-23,20397
2015-04-24,20397
2015-04-25,20397
2015-04-26,19427
2015-04-27,19427
2015-04-28,19427
2015-04-29,19427
2015-04-30,19427
2015-05-01,19427
2015-05-02,19427
2015-05-03,19427
2015-05-04,18931
2015-05-05,18931
2015-05-06,18931
2015-05-07,18931
2015-05-08,18931
2015-05-09,18931
2015-05-10,18087
2015-05-11,18087
2015-05-12,18087
2015-05-13,18087
2015-05-14,18087
2015-05-15,18087
2015-05-16,18087
2015-05-17,17561
2015-05-18,17561
2015-05-19,17561
2015-05-20,17561
2015-05-21,17561
2015-05-22,17561
2015-05-23,17229
2015-05-24,17229
2015-05-25,17229
2015-05-26,17229
2015-05-27,17229
2015-05-28,16786
2015-05-29,16786
2015-05-30,16786
2015-05-31,16786
2015-06-01,16786
2015-06-02,16828
2015-06-03,16828
2015-06-04,16828
2015-06-05,16828
2015-06-06,16828
2015-06-07,16828
2015-06-08,16828
2015-06-09,16828
2015-06-10,16816
2015-06-11,16816
2015-06-12,16816
2015-06-13,16816
2015-06-14,16816
2015-06-15,16816
2015-06-16,16816
2015-06-17,16816
2015-06-18,16816
2015-06-19,16816
2015-06-20,17045
2015-06-21,17045
2015-06-22,17045
2015-06-23,17045
2015-06-24,17045
2015-06-25,17045
2015-06-26,17045
2015-06-27,17045
2015-06-28,17045
2015-06-29,17045
2015-06-30,17381
2015-07-01,17381
2015-07-02,17381
2015-07-03,17381
2015-07-04,17381
2015-07-05,17381
2015-07-06,17381
2015-07-07,17381
2015-07-08,17381
2015-07-09,17381
2015-07-10,17381
2015-07-11,17619
2015-07-12,17619
2015-07-13,17619
2015-07-14,17619
2015-07-15,17619
2015-07-16,17619
2015-07-17,17619
2015-07-18,17619
2015-07-19,17619
2015-07-20,17619
2015-07-21,18156
2015-07-22,18156
2015-07-23,18156
2015-07-24,18156
2015-07-25,18156
2015-07-26,18156
2015-07-27,18156
2015-07-28,18156
2015-07-29,18156
2015-07-30,18156
2015-07-31,18936
2015-08-01,18936
2015-08-02,18936
2015-08-03,18936
2015-08-04,18936
2015-08-05,18936
2015-08-06,18936
2015-08-07,18936
2015-08-08,18936
2015-08-09,18936
2015-08-10,19883
2015-08-11,19883
2015-08-12,19883
2015-08-13,19883
2015-08-14,19883
2015-08-15,19883
2015-08-16,19883
2015-08-17,19883
2015-08-18,19883
2015-08-19,19883
2015-08-20,19883
2015-08-21,19883
2015-08-22,19883
2015-08-23,19883
2015-08-24,20759
2015-08-25,20759
2015-08-26,20759
2015-08-27,20759
2015-08-28,20759
2015-08-29,20759
2015-08-30,20759
2015-08-31,20759
2015-09-01,20759
2015-09-02,20759
2015-09-03,20759
2015-09-04,20759
2015-09-05,20759
2015-09-06,20759
2015-09-07,20759
2015-09-08,20871
2015-09-09,20871
2015-09-10,20871
2015-09-11,20871
2015-09-12,20871
2015-09-13,20871
2015-09-14,20871
2015-09-15,20871
2015-09-16,20871
2015-09-17,20871
2015-09-18,20871
2015-09-19,20871
2015-09-20,20871
2015-09-21,20871
2015-09-22,20871
2015-09-23,20898
2015-09-24,20898
