date_obj,Fremennik%20grey%20cloak price
2015-03-04,10000
2015-03-05,10000
2015-03-06,10000
2015-03-07,10000
2015-03-08,10000
2015-03-09,10000
2015-03-10,10000
2015-03-11,10000
2015-03-12,10000
2015-03-13,10000
2015-03-14,10000
2015-03-15,10000
2015-03-16,10000
2015-03-17,9534
2015-03-18,9534
2015-03-19,9534
2015-03-20,9534
2015-03-21,9534
2015-03-22,9534
2015-03-23,9534
2015-03-24,9534
2015-03-25,9534
2015-03-26,9534
2015-03-27,9534
2015-03-28,9534
2015-03-29,9534
2015-03-30,9534
2015-03-31,9534
2015-04-01,9534
2015-04-02,9534
2015-04-03,9534
2015-04-04,9077
2015-04-05,9077
2015-04-06,9077
2015-04-07,9077
2015-04-08,9077
2015-04-09,9077
2015-04-10,9077
2015-04-11,9077
2015-04-12,9077
2015-04-13,9077
2015-04-14,9077
2015-04-15,9077
2015-04-16,9077
2015-04-17,9077
2015-04-18,9077
2015-04-19,9077
2015-04-20,8637
2015-04-21,8637
2015-04-22,8637
2015-04-23,8637
2015-04-24,8637
2015-04-25,8637
2015-04-26,8637
2015-04-27,8637
2015-04-28,8637
2015-04-29,8637
2015-04-30,8637
2015-05-01,8637
2015-05-02,8637
2015-05-03,8637
2015-05-04,8637
2015-05-05,8637
2015-05-06,8637
2015-05-07,8206
2015-05-08,8206
2015-05-09,8206
2015-05-10,8206
2015-05-11,8206
2015-05-12,8206
2015-05-13,8206
2015-05-14,8206
2015-05-15,8206
2015-05-16,8206
2015-05-17,8206
2015-05-18,8206
2015-05-19,8206
2015-05-20,8206
2015-05-21,8206
2015-05-22,8206
2015-05-23,8206
2015-05-24,8206
2015-05-25,8206
2015-05-26,7852
2015-05-27,7852
2015-05-28,7852
2015-05-29,7852
2015-05-30,7852
2015-05-31,7852
2015-06-01,7852
2015-06-02,7852
2015-06-03,7852
2015-06-04,7852
2015-06-05,7852
2015-06-06,7852
2015-06-07,7852
2015-06-08,7487
2015-06-09,7487
2015-06-10,7487
2015-06-11,7487
2015-06-12,7487
2015-06-13,7487
2015-06-14,7487
2015-06-15,7487
2015-06-16,7487
2015-06-17,7487
2015-06-18,7487
2015-06-19,7487
2015-06-20,7117
2015-06-21,7117
2015-06-22,7117
2015-06-23,7117
2015-06-24,7117
2015-06-25,7117
2015-06-26,7117
2015-06-27,7117
2015-06-28,7117
2015-06-29,7117
2015-06-30,7117
2015-07-01,6926
2015-07-02,6926
2015-07-03,6926
2015-07-04,6926
2015-07-05,6926
2015-07-06,6926
2015-07-07,6926
2015-07-08,6926
2015-07-09,6926
2015-07-10,6926
2015-07-11,6926
2015-07-12,6896
2015-07-13,6896
2015-07-14,6896
2015-07-15,6896
2015-07-16,6896
2015-07-17,6896
2015-07-18,6896
2015-07-19,6896
2015-07-20,6896
2015-07-21,6896
2015-07-22,6669
2015-07-23,6669
2015-07-24,6669
2015-07-25,6669
2015-07-26,6669
2015-07-27,6669
2015-07-28,6669
2015-07-29,6669
2015-07-30,6669
2015-07-31,6669
2015-08-01,6340
2015-08-02,6340
2015-08-03,6340
2015-08-04,6340
2015-08-05,6340
2015-08-06,6340
2015-08-07,6340
2015-08-08,6340
2015-08-09,6026
2015-08-10,6026
2015-08-11,6026
2015-08-12,6026
2015-08-13,6026
2015-08-14,6026
2015-08-15,6026
2015-08-16,6026
2015-08-17,6026
2015-08-18,5728
2015-08-19,5728
2015-08-20,5728
2015-08-21,5728
2015-08-22,5728
2015-08-23,5728
2015-08-24,5728
2015-08-25,5728
2015-08-26,5728
2015-08-27,5462
2015-08-28,5462
2015-08-29,5462
2015-08-30,5462
2015-08-31,5462
2015-09-02,5462
2015-09-07,5191
2015-09-08,5191
2015-09-10,5191
2015-09-14,5191
2015-09-16,4934
2015-09-22,4934
2015-09-23,4934
2015-09-24,4934
2015-09-25,4934
2015-09-27,4720
2015-09-28,4720
2015-09-29,4720
2015-09-30,4720
2015-10-05,4720
2015-10-06,4720
2015-10-07,4720
2015-10-08,4720
2015-10-09,4575
2015-10-10,4575
2015-10-11,4575
2015-10-12,4575
2015-10-13,4575
2015-10-14,4575
2015-10-15,4575
2015-10-16,4575
2015-10-17,4575
2015-10-18,4575
2015-10-19,4575
2015-10-20,4347
2015-10-22,4347
2015-10-23,4347
2015-10-24,4347
2015-10-25,4347
2015-10-26,4347
2015-10-27,4347
2015-10-29,4347
2015-10-30,4347
2015-10-31,4132
2015-11-01,4132
2015-11-02,4132
2015-11-03,4132
2015-11-04,4132
2015-11-05,4132
2015-11-06,4132
2015-11-07,4132
2015-11-08,4132
