date_obj,Green%20halloween%20mask price
2015-03-04,22994
2015-03-05,21899
2015-03-06,20804
2015-03-07,19882
2015-03-08,19033
2015-03-09,18746
2015-03-10,19643
2015-03-11,20235
2015-03-12,19615
2015-03-13,19369
2015-03-14,18789
2015-03-15,18217
2015-03-16,18077
2015-03-17,17720
2015-03-18,17720
2015-03-19,18205
2015-03-20,19053
2015-03-21,19053
2015-03-22,19702
2015-03-23,19702
2015-03-24,19877
2015-03-25,19877
2015-03-26,20168
2015-03-27,20168
2015-03-28,19641
2015-03-29,19493
2015-03-30,19493
2015-03-31,18859
2015-04-01,18859
2015-04-02,17983
2015-04-03,17983
2015-04-04,17129
2015-04-05,17129
2015-04-06,16433
2015-04-07,16433
2015-04-08,15705
2015-04-09,15705
2015-04-10,15147
2015-04-11,15147
2015-04-12,14667
2015-04-13,14667
2015-04-14,14678
2015-04-15,14678
2015-04-16,15075
2015-04-17,15075
2015-04-18,15011
2015-04-19,15011
2015-04-20,15530
2015-04-21,15530
2015-04-22,15878
2015-04-23,15878
2015-04-24,16197
2015-04-25,16197
2015-04-26,16605
2015-04-27,16605
2015-04-28,17092
2015-04-29,17092
2015-04-30,17702
2015-05-01,17702
2015-05-02,17607
2015-05-03,17607
2015-05-04,17607
2015-05-05,17375
2015-05-06,17375
2015-05-07,16728
2015-05-08,16728
2015-05-09,16055
2015-05-10,16055
2015-05-11,15449
2015-05-12,15449
2015-05-13,15406
2015-05-14,15406
2015-05-15,15729
2015-05-16,15729
2015-05-17,16183
2015-05-18,16183
2015-05-19,16531
2015-05-20,16531
2015-05-21,16531
2015-05-22,16673
2015-05-23,16673
2015-05-24,16966
2015-05-25,16966
2015-05-26,17725
2015-05-27,17725
2015-05-28,17931
2015-05-29,17931
2015-05-30,18705
2015-05-31,18705
2015-06-01,19322
2015-06-02,19322
2015-06-03,19322
2015-06-04,19601
2015-06-05,19601
2015-06-06,19494
2015-06-07,19494
2015-06-08,19919
2015-06-09,19919
2015-06-10,20284
2015-06-11,20284
2015-06-12,20686
2015-06-13,20686
2015-06-14,21282
2015-06-15,21282
2015-06-16,22128
2015-06-17,22128
2015-06-18,22837
2015-06-19,22837
2015-06-20,23298
2015-06-21,23298
2015-06-22,23678
2015-06-23,23678
2015-06-24,23863
2015-06-25,23863
2015-06-26,24006
2015-06-27,24006
2015-06-28,24766
2015-06-29,24766
2015-06-30,24810
2015-07-01,24810
2015-07-02,25584
2015-07-03,25584
2015-07-04,25207
2015-07-05,25207
2015-07-06,24702
2015-07-07,24702
2015-07-08,25538
2015-07-09,25538
2015-07-10,26523
2015-07-11,26523
2015-07-12,26523
2015-07-13,26829
2015-07-14,26829
2015-07-15,26553
2015-07-16,26553
2015-07-17,27475
2015-07-18,27475
2015-07-19,27475
2015-07-20,27592
2015-07-21,27592
2015-07-22,27328
2015-07-23,27328
2015-07-24,26197
2015-07-25,26197
2015-07-26,25108
2015-07-27,25108
2015-07-28,25066
2015-07-29,25066
2015-07-30,25665
2015-07-31,25665
2015-08-01,26392
2015-08-02,27647
2015-08-03,27647
2015-08-04,28872
2015-08-05,28872
2015-08-06,30316
2015-08-07,30316
2015-08-08,29604
2015-08-09,29604
2015-08-10,29737
2015-08-11,31020
2015-08-12,31020
2015-08-13,31020
2015-08-14,31609
2015-08-15,31609
2015-08-16,31609
2015-08-17,31905
2015-08-18,31905
2015-08-19,31905
2015-08-20,31292
2015-08-21,31292
2015-08-22,30876
2015-08-23,30876
2015-08-24,30876
2015-08-25,30968
2015-08-26,30968
2015-08-27,30586
2015-08-28,30586
2015-08-29,30586
2015-08-30,31283
2015-08-31,31283
2015-09-01,87067167
2015-09-02,32394
2015-09-07,35108
2015-09-08,35108
2015-09-10,36795
2015-09-14,40173
2015-09-16,40667
2015-09-22,38148
2015-09-23,38148
2015-09-24,38148
2015-09-25,36379
2015-09-27,36379
2015-09-28,34678
2015-09-29,34678
2015-09-30,34678
2015-10-05,31967
2015-10-06,31967
2015-10-07,30561
2015-10-08,30561
2015-10-09,29506
2015-10-10,29506
2015-10-11,29506
2015-10-12,29079
2015-10-13,29079
2015-10-14,29079
2015-10-15,28318
2015-10-16,28318
2015-10-17,28318
2015-10-18,28225
2015-10-19,28225
2015-10-20,28225
2015-10-22,27965
2015-10-23,27965
2015-10-24,27965
2015-10-25,28404
2015-10-26,28404
2015-10-27,28404
2015-10-29,28181
2015-10-30,26771
2015-10-31,25432
2015-11-01,24359
2015-11-02,23157
2015-11-03,22122
2015-11-04,21140
2015-11-05,20176
2015-11-06,19287
2015-11-07,18322
2015-11-08,18322
2015-11-09,17405
2015-11-10,17405
2015-11-11,16534
2015-11-12,16534
2015-11-13,15913
2015-11-14,15913
2015-11-15,15489
2015-11-16,15489
2015-11-17,15178
2015-11-18,15178
2015-11-19,15155
2015-11-20,15155
2015-11-21,15155
2015-11-22,14846
2015-11-23,14846
2015-11-24,14846
2015-11-25,14457
2015-11-26,14457
2015-11-27,14457
2015-11-28,14077
2015-11-29,14077
2015-11-30,13748
2015-12-01,13748
2015-12-02,13748
2015-12-03,13588
2015-12-04,13588
2015-12-05,13588
2015-12-06,13310
2015-12-07,13310
2015-12-08,13310
2015-12-09,13144
2015-12-10,13144
2015-12-11,13144
2015-12-12,12891
2015-12-13,12891
2015-12-14,12891
2015-12-15,12590
2015-12-16,12590
2015-12-17,12590
2015-12-18,12565
2015-12-19,12565
2015-12-20,12565
2015-12-21,12437
2015-12-22,12437
2015-12-23,12437
2015-12-24,12402
2015-12-25,12402
2015-12-26,12402
2015-12-27,12421
2015-12-28,12421
2015-12-29,12421
2015-12-30,12290
2015-12-31,12290
2016-01-01,12290
2016-01-02,12290
2016-01-03,12182
2016-01-04,12182
2016-01-05,12182
2016-01-06,12182
2016-01-07,12195
2016-01-08,12195
2016-01-09,12195
2016-01-10,12018
2016-01-11,12018
2016-01-12,12018
2016-01-13,12018
2016-01-14,11924
2016-01-15,11924
2016-01-16,11924
2016-01-17,11924
2016-01-18,11913
2016-01-19,11913
2016-01-20,11913
2016-01-21,11913
2016-01-22,11844
2016-01-23,11844
2016-01-24,11844
2016-01-25,11488
2016-01-26,11488
2016-01-27,11488
2016-01-28,11488
2016-01-29,11045
2016-01-30,11045
2016-01-31,11045
2016-02-01,10703
2016-02-02,10703
2016-02-03,10703
2016-02-04,10609
2016-02-05,10609
2016-02-06,10609
2016-02-07,10317
2016-02-08,10317
2016-02-09,10317
2016-02-10,10171
2016-02-11,10171
2016-02-12,10171
2016-02-13,10155
2016-02-14,10155
2016-02-15,10155
2016-02-16,10155
2016-02-17,10177
2016-02-18,10177
2016-02-19,10177
2016-02-20,10177
2016-02-21,10009
2016-02-22,10009
2016-02-23,10009
2016-02-24,10009
2016-02-25,9744
2016-02-26,9744
2016-02-27,9744
2016-02-28,9744
2016-02-29,9790
2016-03-01,9790
2016-03-02,9790
2016-03-03,9803
2016-03-04,9803
2016-03-05,9803
2016-03-06,9888
2016-03-07,9888
2016-03-08,9888
2016-03-09,9888
2016-03-10,10031
2016-03-11,10031
2016-03-12,10031
2016-03-13,10031
2016-03-14,10046
2016-03-15,10046
2016-03-16,10046
2016-03-17,9928
2016-03-18,9928
2016-03-19,9928
2016-03-20,9797
2016-03-21,9797
2016-03-22,9797
2016-03-23,9797
2016-03-24,9914
2016-03-25,9914
2016-03-26,9914
2016-03-27,10080
2016-03-28,10080
2016-03-29,10080
2016-03-30,10274
2016-03-31,10274
2016-04-01,10274
2016-04-02,10209
2016-04-03,10209
2016-04-04,10209
2016-04-05,10366
2016-04-06,10366
2016-04-07,10366
2016-04-08,10488
2016-04-09,10488
