date_obj,Oak%20bed%20(flatpack) price
2018-07-23,155
2018-07-24,155
2018-07-25,155
2018-07-26,155
2018-07-27,155
2018-07-28,155
2018-07-29,155
2018-07-30,155
2018-07-31,163
2018-08-01,163
2018-08-02,163
2018-08-03,163
2018-08-04,163
2018-08-05,163
2018-08-06,163
2018-08-07,163
2018-08-08,163
2018-08-09,163
2018-08-10,163
2018-08-11,163
2018-08-12,163
2018-08-14,163
2018-08-16,163
2018-08-17,163
2018-08-18,163
2018-08-19,163
2018-08-20,172
2018-08-21,172
2018-08-22,172
2018-08-23,172
2018-08-24,172
2018-08-25,172
2018-08-26,172
2018-08-27,172
2018-08-28,172
2018-08-29,172
2018-08-30,172
2018-08-31,172
2018-09-01,172
2018-09-02,172
2018-09-03,172
2018-09-04,172
2018-09-05,172
2018-09-06,180
2018-09-07,180
2018-09-08,180
2018-09-09,180
2018-09-10,180
2018-09-11,180
2018-09-12,180
2018-09-13,180
2018-09-14,180
2018-09-15,180
2018-09-16,180
2018-09-17,180
2018-09-18,180
2018-09-19,180
2018-09-20,180
2018-09-21,180
2018-09-22,180
2018-09-23,180
2018-09-24,180
2018-09-25,180
2018-09-26,180
2018-09-27,180
2018-09-28,180
2018-09-29,180
2018-09-30,180
2018-10-02,189
2018-10-03,189
2018-10-04,189
2018-10-05,189
2018-10-06,189
2018-10-07,189
2018-10-08,189
2018-10-09,189
2018-10-10,189
2018-10-11,189
2018-10-12,189
2018-10-13,189
2018-10-14,189
2018-10-15,189
2018-10-16,189
2018-10-17,189
2018-10-18,189
2018-10-19,189
2018-10-20,189
2018-10-21,189
2018-10-22,189
2018-10-23,189
2018-10-24,189
2018-10-25,199
2018-10-26,199
2018-10-27,199
2018-10-28,199
2018-10-29,199
2018-10-30,199
2018-10-31,199
2018-11-01,199
2018-11-03,199
2018-11-04,199
2018-11-05,199
2018-11-06,199
2018-11-07,199
2018-11-08,199
2018-11-09,199
2018-11-10,199
2018-11-11,199
2018-11-12,208
2018-11-13,208
2018-11-15,208
2018-11-16,208
2018-11-17,208
2018-11-18,208
2018-11-19,208
2018-11-20,208
2018-11-21,208
2018-11-22,208
2018-11-23,208
2018-11-24,208
2018-11-25,208
2018-11-26,208
2018-11-27,218
2018-11-28,218
2018-11-29,218
2018-12-01,218
2018-12-02,218
2018-12-03,218
2018-12-04,218
2018-12-05,218
2018-12-07,218
2018-12-09,218
2018-12-10,218
2018-12-11,218
2018-12-12,218
2018-12-13,229
2018-12-14,229
2018-12-15,229
2018-12-16,229
2018-12-17,229
2018-12-18,229
2018-12-19,229
2018-12-20,229
2018-12-21,229
2018-12-22,229
2018-12-23,229
2018-12-24,229
2018-12-25,229
2018-12-26,229
2018-12-27,229
2018-12-28,229
2018-12-29,238
2018-12-30,238
2018-12-31,238
2019-01-01,238
2019-01-02,238
2019-01-03,238
2019-01-04,238
2019-01-05,238
2019-01-06,238
2019-01-08,238
2019-01-10,238
2019-01-11,238
2019-01-12,249
2019-01-13,249
2019-01-14,249
2019-01-15,249
2019-01-16,249
2019-01-17,249
2019-01-18,249
2019-01-19,249
2019-01-20,249
2019-01-21,249
2019-01-22,262
2019-01-23,262
2019-01-24,262
2019-01-25,262
2019-01-26,262
2019-01-27,262
2019-01-28,262
2019-01-29,262
2019-01-30,262
2019-01-31,262
2019-02-01,262
2019-02-02,262
2019-02-03,262
2019-02-04,262
2019-02-05,276
2019-02-06,276
2019-02-07,276
2019-02-08,276
2019-02-09,276
2019-02-10,276
2019-02-11,276
2019-02-12,276
2019-02-13,276
2019-02-14,276
2019-02-15,276
2019-02-16,276
2019-02-17,276
2019-02-18,276
2019-02-19,276
2019-02-20,289
2019-02-21,289
2019-02-22,289
2019-02-23,289
2019-02-24,289
2019-02-25,289
2019-02-26,289
2019-02-27,289
2019-02-28,289
2019-03-01,289
2019-03-02,289
2019-03-03,289
2019-03-04,289
2019-03-05,289
2019-03-06,289
2019-03-07,289
2019-03-08,289
2019-03-09,289
2019-03-10,289
2019-03-11,289
2019-03-12,289
2019-03-13,303
2019-03-14,303
2019-03-15,303
2019-03-16,303
2019-03-17,303
2019-03-18,303
2019-03-19,303
2019-03-20,303
2019-03-21,303
2019-03-22,303
2019-03-23,303
2019-03-24,303
2019-03-25,303
2019-03-26,303
2019-03-27,318
2019-03-28,318
2019-03-29,318
2019-03-30,318
2019-03-31,318
2019-04-01,318
2019-04-02,318
2019-04-03,318
2019-04-04,318
2019-04-05,318
2019-04-06,318
2019-04-07,318
2019-04-08,318
2019-04-09,318
2019-04-10,318
2019-04-11,318
2019-04-12,332
2019-04-13,332
2019-04-14,332
2019-04-15,332
2019-04-16,332
2019-04-17,332
2019-04-18,332
2019-04-19,332
2019-04-20,332
2019-04-21,332
2019-04-22,332
2019-04-23,332
2019-04-24,332
2019-04-25,332
