date_obj,Leather price
2015-03-26,255
2015-03-27,266
2015-03-28,273
2015-03-29,266
2015-03-30,260
2015-03-31,262
2015-04-01,257
2015-04-02,251
2015-04-03,246
2015-04-04,248
2015-04-05,252
2015-04-06,244
2015-04-07,235
2015-04-08,242
2015-04-09,247
2015-04-10,252
2015-04-11,250
2015-04-12,245
2015-04-13,245
2015-04-14,245
2015-04-15,243
2015-04-16,246
2015-04-17,240
2015-04-18,231
2015-04-19,226
2015-04-20,220
2015-04-21,228
2015-04-22,235
2015-04-23,229
2015-04-24,219
2015-04-25,215
2015-04-26,208
2015-04-27,202
2015-04-28,203
2015-04-29,200
2015-04-30,196
2015-05-01,199
2015-05-02,208
2015-05-03,218
2015-05-04,220
2015-05-05,216
2015-05-06,214
2015-05-07,221
2015-05-08,219
2015-05-09,219
2015-05-10,216
2015-05-11,213
2015-05-12,210
2015-05-13,210
2015-05-14,217
2015-05-15,216
2015-05-16,212
2015-05-17,206
2015-05-18,206
2015-05-19,212
2015-05-20,214
2015-05-21,211
2015-05-22,218
2015-05-23,224
2015-05-24,216
2015-05-25,210
2015-05-26,208
2015-05-27,212
2015-05-28,208
2015-05-29,205
2015-05-30,201
2015-05-31,197
2015-06-01,195
2015-06-02,194
2015-06-03,197
2015-06-04,205
2015-06-05,213
2015-06-06,216
2015-06-07,215
2015-06-08,212
2015-06-09,214
2015-06-10,222
2015-06-11,230
2015-06-12,228
2015-06-13,222
2015-06-14,216
2015-06-15,211
2015-06-16,213
2015-06-17,213
2015-06-18,217
2015-06-19,215
2015-06-20,213
2015-06-21,217
2015-06-22,215
2015-06-23,213
2015-06-24,215
2015-06-25,212
2015-06-26,206
2015-06-27,203
2015-06-28,198
2015-06-29,196
2015-06-30,198
2015-07-01,198
2015-07-02,201
2015-07-03,196
2015-07-04,190
2015-07-05,191
2015-07-06,194
2015-07-07,194
2015-07-08,191
2015-07-09,188
2015-07-10,190
2015-07-11,189
2015-07-12,187
2015-07-13,186
2015-07-14,178
2015-07-15,172
2015-07-16,166
2015-07-17,161
2015-07-18,157
2015-07-19,156
2015-07-20,163
2015-07-21,163
2015-07-22,169
2015-07-23,175
2015-07-24,177
2015-07-25,179
2015-07-26,175
2015-07-27,169
2015-07-28,170
2015-07-29,173
2015-07-30,174
2015-07-31,178
2015-08-01,179
2015-08-02,178
2015-08-03,181
2015-08-04,174
2015-08-05,170
2015-08-06,165
2015-08-07,165
2015-08-08,165
2015-08-09,169
2015-08-10,161
2015-08-11,155
2015-08-12,150
2015-08-13,149
2015-08-14,149
2015-08-15,146
2015-08-16,144
2015-08-17,139
2015-08-18,134
2015-08-19,134
2015-08-20,139
2015-08-21,142
2015-08-22,147
2015-08-23,147
2015-08-24,143
2015-08-25,145
2015-08-26,142
2015-08-27,142
2015-08-28,140
2015-08-29,140
2015-08-30,135
2015-08-31,132
2015-09-01,133
2015-09-02,136
2015-09-03,140
2015-09-04,145
2015-09-05,145
2015-09-06,144
2015-09-07,141
2015-09-08,139
2015-09-09,139
2015-09-10,144
2015-09-11,148
2015-09-12,143
2015-09-13,141
2015-09-14,140
2015-09-15,140
2015-09-16,142
2015-09-17,138
