date_obj,Gilded%20d'hide%20vambraces price
2019-04-11,500000
2019-04-11,520364
2019-04-12,544184
2019-04-13,567780
2019-04-14,593889
2019-04-15,8800000
2019-04-16,8800000
2019-04-17,8800000
2019-04-18,8800000
2019-04-19,8800000
2019-04-20,8843619
2019-04-21,8843619
2019-04-22,8843619
2019-04-23,8881289
2019-04-24,8881289
2019-04-25,8881289
2019-04-26,8881289
2019-04-27,8881289
2019-04-28,8527907
2019-04-29,8527907
2019-04-30,8527907
2019-05-01,8527907
2019-05-02,8527907
2019-05-03,8269295
2019-05-04,8269295
2019-05-05,8269295
2019-05-06,8269295
2019-05-07,8269295
2019-05-08,8488297
2019-05-09,8488297
2019-05-10,8488297
2019-05-11,8807276
2019-05-12,8807276
2019-05-13,9119647
2019-05-14,9119647
2019-05-15,9119647
2019-05-16,9119647
2019-05-17,9119647
2019-05-18,9317951
2019-05-19,9317951
2019-05-20,9317951
2019-05-21,9317951
2019-05-22,9317951
2019-05-23,9693537
2019-05-24,9693537
2019-05-25,9693537
2019-05-26,9693537
2019-05-27,9668839
2019-05-28,9668839
2019-05-29,9668839
2019-05-30,9668839
2019-05-31,9211365
2019-06-01,9211365
2019-06-02,9211365
2019-06-03,9211365
2019-06-04,8841140
2019-06-05,8841140
2019-06-06,8841140
2019-06-07,8841140
2019-06-08,8415214
2019-06-09,8415214
2019-06-10,8415214
2019-06-11,7994553
2019-06-12,7994553
2019-06-13,7994553
2019-06-14,7994553
2019-06-15,7994553
2019-06-16,7719883
2019-06-17,7719883
2019-06-18,7719883
2019-06-19,7719883
2019-06-20,7626746
2019-06-21,7626746
2019-06-22,7626746
2019-06-23,7626746
2019-06-24,7802051
2019-06-25,7802051
2019-06-26,7802051
2019-06-27,7802051
2019-06-28,7802051
2019-06-29,7676768
2019-06-30,7676768
2019-07-01,7676768
2019-07-02,7676768
2019-07-03,7600089
2019-07-04,7600089
2019-07-05,7600089
2019-07-06,7600089
2019-07-07,7755938
2019-07-08,7755938
2019-07-09,7755938
2019-07-10,8067631
2019-07-11,8067631
2019-07-12,8067631
2019-07-13,8067631
2019-07-14,8310286
2019-07-15,8310286
2019-07-16,8310286
2019-07-17,8310286
2019-07-18,8310286
2019-07-19,8344439
2019-07-20,8344439
2019-07-21,8344439
2019-07-22,8344439
2019-07-23,8488574
2019-07-24,8488574
2019-07-25,8488574
2019-07-26,8488574
2019-07-27,8488574
2019-07-28,8459123
2019-07-29,8459123
2019-07-30,8459123
2019-07-31,8459123
2019-08-01,8459123
2019-08-02,8338849
2019-08-03,8338849
2019-08-04,8338849
2019-08-05,7969313
2019-08-06,7969313
2019-08-07,7969313
2019-08-08,7969313
2019-08-09,7969313
2019-08-10,7756688
2019-08-11,7756688
2019-08-12,7756688
2019-08-13,7756688
2019-08-14,7756688
2019-08-15,7476719
2019-08-16,7476719
2019-08-17,7476719
2019-08-18,7418229
2019-08-19,7418229
2019-08-20,7418229
2019-08-21,7418229
2019-08-22,7396443
2019-08-23,7396443
