date_obj,Willow%20pyre%20logs price
2015-03-26,1750
2015-03-27,1750
2015-03-28,1750
2015-03-29,1750
2015-03-30,1750
2015-03-31,1750
2015-04-01,1750
2015-04-02,1750
2015-04-03,1750
2015-04-04,1750
2015-04-05,1750
2015-04-06,1750
2015-04-07,1750
2015-04-08,1750
2015-04-09,1750
2015-04-10,1750
2015-04-11,1750
2015-04-12,1750
2015-04-13,1750
2015-04-14,1750
2015-04-15,1750
2015-04-16,1750
2015-04-17,1750
2015-04-18,1750
2015-04-19,1750
2015-04-20,1750
2015-04-21,1750
2015-04-22,1750
2015-04-23,1750
2015-04-24,1750
2015-04-25,1750
2015-04-26,1750
2015-04-27,1750
2015-04-28,1750
2015-04-29,1750
2015-04-30,1750
2015-05-01,1750
2015-05-02,1750
2015-05-03,1750
2015-05-04,1750
2015-05-05,1750
2015-05-06,1750
2015-05-07,1750
2015-05-08,1750
2015-05-09,1750
2015-05-10,1750
2015-05-11,1750
2015-05-12,1750
2015-05-13,1750
2015-05-14,1750
2015-05-15,1750
2015-05-16,1750
2015-05-17,1750
2015-05-18,1750
2015-05-19,1750
2015-05-20,1750
2015-05-21,1750
2015-05-22,1750
2015-05-23,1750
2015-05-24,1750
2015-05-25,1750
2015-05-26,1750
2015-05-27,1750
2015-05-28,1798
2015-05-29,1798
2015-05-30,1798
2015-05-31,1798
2015-06-01,1798
2015-06-02,1798
2015-06-03,1798
2015-06-04,1798
2015-06-05,1798
2015-06-06,1798
2015-06-07,1798
2015-06-08,1798
2015-06-09,1798
2015-06-10,1798
2015-06-11,1798
2015-06-12,1798
2015-06-13,1798
2015-06-14,1798
2015-06-15,1798
2015-06-16,1798
2015-06-17,1798
2015-06-18,1798
2015-06-19,1798
2015-06-20,1798
2015-06-21,1798
2015-06-22,1798
2015-06-23,1798
2015-06-24,1798
2015-06-25,1798
2015-06-26,1798
2015-06-27,1798
2015-06-28,1798
2015-06-29,1798
2015-06-30,1798
2015-07-01,1798
2015-07-02,1798
2015-07-03,1798
2015-07-04,1798
2015-07-05,1798
2015-07-06,1798
2015-07-07,1798
2015-07-08,1798
2015-07-09,1798
2015-07-10,1798
2015-07-11,1798
2015-07-12,1798
2015-07-13,1798
2015-07-14,1798
2015-07-15,1798
2015-07-16,1798
2015-07-17,1798
2015-07-18,1798
2015-07-19,1798
2015-07-20,1798
2015-07-21,1798
2015-07-22,1798
2015-07-23,1798
2015-07-24,1798
2015-07-25,1798
2015-07-26,1798
2015-07-27,1798
2015-07-28,1798
2015-07-29,1798
2015-07-30,1807
2015-07-31,1807
2015-08-01,1807
2015-08-02,1807
2015-08-03,1807
2015-08-04,1807
2015-08-05,1807
2015-08-06,1807
2015-08-07,1807
2015-08-08,1807
2015-08-09,1807
2015-08-10,1807
2015-08-11,1807
2015-08-12,1807
2015-08-13,1807
2015-08-14,1807
2015-08-15,1807
2015-08-16,1807
2015-08-17,1807
2015-08-18,1807
2015-08-19,1807
2015-08-20,1807
2015-08-21,1807
2015-08-22,1807
2015-08-23,1807
2015-08-24,1807
2015-08-25,1807
2015-08-26,1807
2015-08-27,1807
2015-08-28,1807
2015-08-29,1807
2015-08-30,1807
2015-08-31,1807
2015-09-01,1807
2015-09-02,1807
2015-09-03,1807
2015-09-04,1807
2015-09-05,1807
2015-09-06,1807
2015-09-07,1807
2015-09-08,1807
2015-09-09,1807
2015-09-10,1807
2015-09-11,1807
2015-09-12,1807
2015-09-13,1807
2015-09-14,1807
2015-09-15,1807
2015-09-16,1807
2015-09-17,1807
2015-09-18,1807
2015-09-19,1807
2015-09-20,1807
2015-09-21,1807
2015-09-22,1807
2015-09-23,1807
2015-09-24,1807
2015-09-25,1807
2015-09-27,1807
2015-09-28,1807
2015-09-29,1807
2015-09-30,1870
2015-10-05,1870
2015-10-06,1870
2015-10-07,1870
2015-10-08,1870
2015-10-09,1870
2015-10-10,1870
2015-10-11,1870
2015-10-12,1870
2015-10-13,1870
2015-10-14,1870
2015-10-15,1870
2015-10-16,1870
2015-10-17,1870
2015-10-18,1870
2015-10-19,1870
2015-10-20,1870
2015-10-22,1870
2015-10-23,1870
2015-10-24,1870
2015-10-25,1870
2015-10-26,1870
2015-10-27,1870
2015-10-29,1870
2015-10-30,1870
2015-10-31,1870
2015-11-01,1870
2015-11-02,1870
2015-11-03,1870
2015-11-05,1870
2015-11-06,1870
2015-11-07,1870
2015-11-08,1870
2015-11-09,1870
2015-11-10,1870
2015-11-11,1870
2015-11-12,1870
2015-11-13,1870
2015-11-14,1870
2015-11-15,1870
2015-11-16,1870
2015-11-17,1870
2015-11-18,1870
2015-11-19,1870
2015-11-20,1870
2015-11-21,1870
2015-11-22,1870
2015-11-23,1870
2015-11-24,1870
2015-11-25,1870
2015-11-26,1870
2015-11-27,1870
2015-11-28,1870
2015-11-29,1870
2015-11-30,1870
2015-12-01,1870
2015-12-02,1870
2015-12-03,1870
2015-12-04,1870
2015-12-05,1870
2015-12-06,1870
2015-12-07,1870
2015-12-08,1870
2015-12-09,1870
2015-12-10,1870
2015-12-11,1870
2015-12-13,1870
2015-12-14,1870
2015-12-15,1870
2015-12-16,1870
2015-12-17,1870
2015-12-18,1948
2015-12-19,1948
2015-12-20,1948
2015-12-21,1948
2015-12-22,1948
2015-12-23,1948
2015-12-24,1948
2015-12-25,1948
2015-12-26,1948
2015-12-27,1948
2015-12-28,1948
2015-12-29,1948
2015-12-30,1948
