date_obj,Graahk%20top price
2016-01-05,32385
2016-01-06,32385
2016-01-07,32385
2016-01-08,32385
2016-01-09,32385
2016-01-10,32385
2016-01-11,32385
2016-01-12,32385
2016-01-13,32385
2016-01-14,32385
2016-01-15,32385
2016-01-16,32385
2016-01-17,32385
2016-01-18,32385
2016-01-19,30843
2016-01-20,30843
2016-01-21,30843
2016-01-22,30843
2016-01-23,30843
2016-01-24,30843
2016-01-25,30843
2016-01-26,30843
2016-01-27,30843
2016-01-28,30843
2016-01-29,30843
2016-01-30,30843
2016-01-31,30843
2016-02-01,30843
2016-02-02,30843
2016-02-03,30843
2016-02-04,30843
2016-02-05,29318
2016-02-06,29318
2016-02-07,29318
2016-02-08,29318
2016-02-09,29318
2016-02-10,29318
2016-02-11,29318
2016-02-12,29318
2016-02-13,29318
2016-02-14,29318
2016-02-15,29318
2016-02-16,29318
2016-02-17,29318
2016-02-18,29318
2016-02-19,29318
2016-02-20,29318
2016-02-21,28030
2016-02-22,28030
2016-02-23,28030
2016-02-24,28030
2016-02-25,28030
2016-02-26,28030
2016-02-27,28030
2016-02-28,28030
2016-02-29,28030
2016-03-01,28030
2016-03-02,28030
2016-03-03,28030
2016-03-04,28030
2016-03-05,28030
2016-03-06,28030
2016-03-07,26644
2016-03-08,26644
2016-03-09,26644
2016-03-10,26644
2016-03-11,26644
2016-03-12,26644
2016-03-13,26644
2016-03-14,26644
2016-03-15,26644
2016-03-16,26644
2016-03-17,26644
2016-03-18,26644
2016-03-19,26644
2016-03-20,25378
2016-03-21,25378
2016-03-22,25378
2016-03-23,25378
2016-03-24,25378
2016-03-25,25378
2016-03-26,25378
2016-03-27,25378
2016-03-28,25378
2016-03-29,25378
2016-03-30,25378
2016-03-31,25378
2016-04-01,25378
2016-04-02,25378
2016-04-03,25378
2016-04-04,24130
2016-04-05,24130
2016-04-06,24130
2016-04-07,24130
2016-04-08,24130
2016-04-09,24130
2016-04-10,24130
2016-04-11,24130
2016-04-12,24130
2016-04-13,24130
2016-04-14,24130
2016-04-15,24130
2016-04-16,24130
2016-04-17,24130
2016-04-18,22999
2016-04-19,22999
2016-04-20,22999
2016-04-21,22999
2016-04-22,22999
2016-04-23,22999
2016-04-24,22999
2016-04-25,22999
2016-04-26,22999
2016-04-27,22999
2016-04-28,22999
2016-04-29,22999
2016-04-30,22999
2016-05-01,22999
2016-05-02,21882
2016-05-03,21882
2016-05-04,21882
2016-05-05,21882
2016-05-06,21882
2016-05-07,21882
2016-05-08,21882
2016-05-09,21882
2016-05-10,21882
2016-05-11,21882
2016-05-12,21882
2016-05-13,21882
2016-05-14,21882
2016-05-15,20814
2016-05-16,20814
2016-05-17,20814
2016-05-18,20814
2016-05-19,20814
2016-05-22,20814
2016-05-23,20814
2016-05-24,20814
2016-05-25,20814
2016-05-26,20814
2016-05-27,20814
2016-05-28,20814
2016-05-29,19819
2016-05-30,19819
2016-05-31,19819
2016-06-01,19819
2016-06-02,19819
2016-06-03,19819
2016-06-04,19819
2016-06-05,19819
2016-06-06,19819
2016-06-07,19819
2016-06-08,19819
2016-06-09,18975
2016-06-10,18975
2016-06-11,18975
2016-06-12,18975
2016-06-13,18975
2016-06-14,18975
2016-06-15,18975
2016-06-16,18975
2016-06-17,18975
2016-06-18,18975
2016-06-19,18075
2016-06-20,18075
2016-06-21,18075
2016-06-22,18075
2016-06-23,18075
2016-06-24,18075
2016-06-25,18075
2016-06-26,18075
2016-06-27,18075
2016-06-28,18075
2016-06-29,18075
2016-06-30,17182
2016-07-01,17182
2016-07-02,17182
2016-07-03,17182
2016-07-04,17182
2016-07-05,17182
2016-07-06,17182
2016-07-07,17182
2016-07-08,17182
2016-07-09,17182
2016-07-10,16337
2016-07-11,16337
2016-07-12,16337
2016-07-13,16337
2016-07-14,16337
2016-07-15,16337
2016-07-16,16337
2016-07-17,16337
2016-07-18,16337
2016-07-23,15551
2016-07-24,15551
2016-07-25,15551
2016-07-26,15551
2016-07-27,15551
2016-07-28,15551
2016-07-29,15551
2016-07-30,15551
2016-07-31,15551
2016-08-01,15551
2016-08-02,14800
2016-08-03,14800
2016-08-04,14800
2016-08-05,14800
2016-08-06,14800
2016-08-07,14800
2016-08-08,14800
2016-08-09,14800
2016-08-10,14800
2016-08-11,14800
2016-08-12,14800
2016-08-13,14800
2016-08-14,14800
2016-08-15,14800
2016-08-16,14068
2016-08-17,14068
2016-08-18,14068
2016-08-19,14068
2016-08-20,14068
2016-08-21,14068
2016-08-22,14068
2016-08-23,14068
2016-08-24,14068
2016-08-25,14068
2016-08-26,14068
2016-08-28,14068
2016-08-31,13388
2016-09-01,13388
2016-09-02,13388
2016-09-03,13388
2016-09-04,13388
2016-09-05,13388
2016-09-06,13388
2016-09-07,13388
2016-09-08,13388
2016-09-09,12729
2016-09-10,12729
2016-09-11,12729
2016-09-12,12729
2016-09-13,12729
2016-09-14,12729
2016-09-15,12729
2016-09-16,12729
2016-09-17,12729
2016-09-18,12128
2016-09-19,12128
2016-09-20,12128
2016-09-21,12128
2016-09-22,12128
2016-09-23,12128
2016-09-24,12128
2016-09-25,12128
2016-09-26,12128
2016-09-27,12128
2016-09-28,12128
2016-09-29,12128
2016-09-30,12128
2016-10-01,12128
