date_obj,Bandos%20robe%20top price
2015-03-26,39255
2015-03-27,39255
2015-03-28,38007
2015-03-29,38007
2015-03-30,36570
2015-03-31,36570
2015-04-01,34852
2015-04-02,34852
2015-04-03,33389
2015-04-04,32570
2015-04-05,32570
2015-04-06,30941
2015-04-07,30941
2015-04-08,29950
2015-04-09,29950
2015-04-10,28620
2015-04-11,28620
2015-04-12,27753
2015-04-13,27619
2015-04-14,27619
2015-04-15,26687
2015-04-16,26687
2015-04-17,25510
2015-04-18,25510
2015-04-19,24801
2015-04-20,24801
2015-04-21,23917
2015-04-22,23917
2015-04-23,23739
2015-04-24,23739
2015-04-25,24124
2015-04-26,24124
2015-04-27,24144
2015-04-28,24144
2015-04-29,24369
2015-04-30,24322
2015-05-01,24286
2015-05-02,23975
2015-05-03,23975
2015-05-04,23966
2015-05-05,23966
2015-05-06,23700
2015-05-07,23700
2015-05-08,23269
2015-05-09,23269
2015-05-10,23004
2015-05-11,23004
2015-05-12,22798
2015-05-13,22798
2015-05-14,22500
2015-05-15,22500
2015-05-16,22385
2015-05-17,22376
2015-05-18,22376
2015-05-19,22315
2015-05-20,22315
2015-05-21,22315
2015-05-22,22030
2015-05-23,22030
2015-05-24,21652
2015-05-25,21634
2015-05-26,22015
2015-05-27,22015
2015-05-28,21897
2015-05-29,21897
2015-05-30,21930
2015-05-31,21930
2015-06-01,22093
2015-06-02,22093
2015-06-03,22556
2015-06-04,22556
2015-06-05,22632
2015-06-06,22632
2015-06-07,22480
2015-06-08,22480
2015-06-09,21903
2015-06-10,21799
2015-06-11,21799
2015-06-12,21345
2015-06-13,21442
2015-06-14,21442
2015-06-15,21643
2015-06-16,21643
2015-06-17,22408
2015-06-18,22408
2015-06-19,23459
2015-06-20,23459
2015-06-21,24226
2015-06-22,24722
2015-06-23,24722
2015-06-24,25617
2015-06-25,25617
2015-06-26,26034
2015-06-27,26034
2015-06-28,25944
2015-06-29,25944
2015-06-30,25944
2015-07-01,26049
2015-07-02,26049
2015-07-03,26221
2015-07-04,26221
2015-07-05,26221
2015-07-06,26509
2015-07-07,26548
2015-07-08,26548
2015-07-09,26995
2015-07-10,26995
2015-07-11,27837
2015-07-12,27837
2015-07-13,27942
2015-07-14,27942
2015-07-15,27914
2015-07-16,27914
2015-07-17,27913
2015-07-18,27913
2015-07-19,28207
2015-07-20,28207
2015-07-21,28191
2015-07-22,29350
2015-07-23,29350
2015-07-24,30220
2015-07-25,30220
2015-07-26,30160
2015-07-27,30160
2015-07-28,29543
2015-07-29,29463
2015-07-30,29463
2015-07-31,29232
2015-08-01,29232
2015-08-02,29051
2015-08-03,29051
2015-08-04,29193
2015-08-05,29347
2015-08-06,29347
2015-08-07,29253
2015-08-08,29253
2015-08-09,28632
2015-08-10,28632
2015-08-11,28258
2015-08-12,28258
2015-08-13,27613
2015-08-14,27968
2015-08-15,27968
2015-08-16,28827
2015-08-17,30155
2015-08-18,30155
2015-08-19,30635
2015-08-20,30635
2015-08-21,31050
2015-08-22,31050
2015-08-23,32500
2015-08-24,32500
2015-08-25,33543
2015-08-26,33543
2015-08-27,34171
2015-08-28,34171
2015-08-29,34769
2015-08-30,34769
2015-08-31,35457
2015-09-01,35457
2015-09-02,35626
2015-09-03,35626
2015-09-04,35399
2015-09-05,35399
2015-09-06,35212
2015-09-07,35212
2015-09-08,34058
2015-09-09,34058
2015-09-10,34082
2015-09-11,34082
2015-09-12,33808
2015-09-13,33808
2015-09-14,34560
2015-09-15,34560
2015-09-16,34394
2015-09-17,34394
2015-09-18,35581
2015-09-19,35581
2015-09-20,37320
2015-09-21,37320
2015-09-22,37790
2015-09-23,37790
2015-09-24,37790
2015-09-25,38778
2015-09-27,38795
2015-09-28,38795
2015-09-29,38511
2015-09-30,38511
2015-10-05,38087
2015-10-06,37246
2015-10-07,37246
2015-10-08,36448
2015-10-09,36448
2015-10-10,36388
2015-10-11,36388
2015-10-12,35109
2015-10-13,35109
2015-10-14,35109
2015-10-15,35042
2015-10-16,35042
2015-10-17,34232
2015-10-18,34232
2015-10-19,32871
2015-10-20,32871
2015-10-22,31585
2015-10-23,30035
2015-10-24,28852
2015-10-25,28852
2015-10-26,28896
2015-10-27,28896
2015-10-28,28410
2015-10-29,28410
2015-10-30,27462
2015-10-31,27462
2015-11-01,27195
2015-11-02,27195
2015-11-03,27541
2015-11-04,27541
2015-11-05,27610
2015-11-06,27610
2015-11-07,27206
2015-11-08,27206
2015-11-09,26824
2015-11-10,26824
2015-11-11,27338
2015-11-12,27338
2015-11-13,27338
2015-11-14,28298
2015-11-15,28298
2015-11-16,28495
2015-11-17,28495
2015-11-18,29228
2015-11-19,29091
2015-11-20,29091
2015-11-21,29688
2015-11-22,30765
2015-11-23,30765
2015-11-24,31271
2015-11-25,31051
2015-11-26,31051
2015-11-27,32449
2015-11-28,32449
2015-11-29,31832
2015-11-30,31832
2015-12-01,32228
2015-12-02,32228
2015-12-03,33592
2015-12-04,33592
2015-12-05,34865
2015-12-06,34865
2015-12-07,35564
2015-12-08,35564
2015-12-09,36602
2015-12-10,36602
2015-12-11,37581
2015-12-12,37581
2015-12-13,37513
2015-12-14,37513
2015-12-15,37138
2015-12-16,37138
2015-12-17,36845
2015-12-18,36845
2015-12-19,37376
2015-12-20,37376
2015-12-21,38150
2015-12-22,38150
2015-12-23,38969
2015-12-24,38969
2015-12-25,40012
2015-12-26,40012
2015-12-27,41310
2015-12-28,41310
2015-12-29,40738
2015-12-30,40738
2015-12-31,38808
2016-01-01,38808
2016-01-02,38873
2016-01-03,38479
2016-01-04,38479
2016-01-05,37587
2016-01-06,37587
2016-01-07,37943
2016-01-08,37943
2016-01-09,38504
2016-01-10,38504
2016-01-11,37587
2016-01-12,37587
2016-01-13,37214
2016-01-14,37177
2016-01-15,37177
2016-01-16,37015
2016-01-17,37015
2016-01-18,36999
2016-01-19,36999
2016-01-20,36357
2016-01-21,36357
2016-01-22,36292
2016-01-23,36292
2016-01-24,36224
2016-01-25,36468
