date_obj,Blood'n'tar%20snelm%20(round) price
2015-03-26,8825
2015-03-27,8825
2015-03-28,8825
2015-03-29,8825
2015-03-30,8825
2015-03-31,8825
2015-04-01,8825
2015-04-02,8825
2015-04-03,8825
2015-04-04,8825
2015-04-05,8417
2015-04-06,8417
2015-04-07,8417
2015-04-08,8417
2015-04-09,8417
2015-04-10,8417
2015-04-11,8417
2015-04-12,8417
2015-04-13,8417
2015-04-14,8417
2015-04-15,8417
2015-04-16,8417
2015-04-17,8417
2015-04-18,8417
2015-04-19,8417
2015-04-20,8417
2015-04-21,8417
2015-04-22,8417
2015-04-23,8417
2015-04-24,8417
2015-04-25,8417
2015-04-26,8008
2015-04-27,8008
2015-04-28,8008
2015-04-29,8008
2015-04-30,8008
2015-05-01,8008
2015-05-02,8008
2015-05-03,8008
2015-05-04,8008
2015-05-05,8008
2015-05-06,8008
2015-05-07,8008
2015-05-08,8008
2015-05-09,8008
2015-05-10,8008
2015-05-11,8008
2015-05-12,8008
2015-05-13,8008
2015-05-14,7639
2015-05-15,7639
2015-05-16,7639
2015-05-17,7639
2015-05-18,7639
2015-05-19,7639
2015-05-20,7639
2015-05-21,7639
2015-05-22,7639
2015-05-23,7639
2015-05-24,7639
2015-05-25,7639
2015-05-26,7639
2015-05-27,7639
2015-05-28,7639
2015-05-29,7261
2015-05-30,7261
2015-05-31,7261
2015-06-01,7261
2015-06-02,7261
2015-06-03,7261
2015-06-04,7261
2015-06-05,7261
2015-06-06,7261
2015-06-07,7261
2015-06-08,7261
2015-06-09,7261
2015-06-10,6904
2015-06-11,6904
2015-06-12,6904
2015-06-13,6904
2015-06-14,6904
2015-06-15,6904
2015-06-16,6904
2015-06-17,6904
2015-06-18,6904
2015-06-19,6904
2015-06-20,6904
2015-06-21,6904
2015-06-22,6904
2015-06-23,6568
2015-06-24,6568
2015-06-25,6568
2015-06-26,6568
2015-06-27,6568
2015-06-28,6568
2015-06-29,6568
2015-06-30,6568
2015-07-01,6568
2015-07-02,6568
2015-07-03,6568
2015-07-04,6568
2015-07-05,6568
2015-07-06,6245
2015-07-07,6245
2015-07-08,6245
2015-07-09,6245
2015-07-10,6245
2015-07-11,6245
2015-07-12,6245
2015-07-13,6245
2015-07-14,6245
2015-07-15,6245
2015-07-16,6245
2015-07-17,6245
2015-07-18,5942
2015-07-19,5942
2015-07-20,5942
2015-07-21,5942
2015-07-22,5942
2015-07-23,5942
2015-07-24,5942
2015-07-25,5942
2015-07-26,5942
2015-07-27,5942
2015-07-28,5942
2015-07-29,5942
2015-07-30,5650
2015-07-31,5650
2015-08-01,5650
2015-08-02,5650
2015-08-03,5650
2015-08-04,5650
2015-08-05,5650
2015-08-06,5650
2015-08-07,5650
2015-08-08,5650
2015-08-09,5381
2015-08-10,5381
2015-08-11,5381
2015-08-12,5381
2015-08-13,5381
2015-08-14,5381
2015-08-15,5381
2015-08-16,5381
2015-08-17,5381
2015-08-18,5119
2015-08-19,5119
2015-08-20,5119
2015-08-21,5119
2015-08-22,5119
2015-08-23,5119
2015-08-24,5119
2015-08-25,5119
2015-08-26,5119
2015-08-27,5119
2015-08-28,5119
2015-08-29,5119
2015-08-30,5119
2015-08-31,4918
2015-09-01,4918
2015-09-02,4918
2015-09-03,4918
2015-09-04,4918
2015-09-05,4918
2015-09-06,4918
2015-09-07,4918
2015-09-08,4918
2015-09-09,4918
2015-09-10,4918
2015-09-11,4918
2015-09-12,4918
2015-09-13,4918
2015-09-14,4918
2015-09-15,4712
2015-09-16,4712
2015-09-17,4712
2015-09-18,4712
2015-09-19,4712
2015-09-20,4712
2015-09-21,4712
2015-09-22,4712
2015-09-23,4712
2015-09-24,4712
2015-09-25,4712
2015-09-27,4605
2015-09-28,4605
2015-09-29,4605
2015-09-30,4605
2015-10-05,4605
2015-10-06,4605
2015-10-07,4605
2015-10-08,4605
2015-10-09,4377
2015-10-10,4377
2015-10-11,4377
2015-10-12,4377
2015-10-13,4377
2015-10-14,4377
2015-10-15,4377
2015-10-16,4377
2015-10-17,4377
2015-10-18,4167
2015-10-19,4167
2015-10-20,4167
2015-10-22,4167
