date_obj,Black%20dragonhide price
2015-03-26,2845
2015-03-27,2887
2015-03-28,2825
2015-03-29,2887
2015-03-30,2830
2015-03-31,2844
2015-04-01,2865
2015-04-02,2879
2015-04-03,2891
2015-04-04,2864
2015-04-05,2819
2015-04-06,2836
2015-04-07,2845
2015-04-08,2862
2015-04-09,2875
2015-04-10,2885
2015-04-11,2866
2015-04-12,2847
2015-04-13,2850
2015-04-14,2828
2015-04-15,2831
2015-04-16,2876
2015-04-17,2864
2015-04-18,2820
2015-04-19,2808
2015-04-20,2789
2015-04-21,2820
2015-04-22,2856
2015-04-23,2795
2015-04-24,2767
2015-04-25,2744
2015-04-26,2772
2015-04-27,2797
2015-04-28,2741
2015-04-29,2684
2015-04-30,2758
2015-05-01,2792
2015-05-02,2764
2015-05-03,2738
2015-05-04,2761
2015-05-05,2759
2015-05-06,2735
2015-05-07,2724
2015-05-08,2713
2015-05-09,2731
2015-05-10,2725
2015-05-11,2752
2015-05-12,2765
2015-05-13,2779
2015-05-14,2803
2015-05-15,2801
2015-05-16,2800
2015-05-17,2789
2015-05-18,2721
2015-05-19,2821
2015-05-20,2813
2015-05-21,2816
2015-05-22,2861
2015-05-23,2880
2015-05-24,2785
2015-05-25,2742
2015-05-26,2765
2015-05-27,2786
2015-05-28,2795
2015-05-29,2744
2015-05-30,2755
2015-05-31,2766
2015-06-01,2789
2015-06-02,2750
2015-06-03,2762
2015-06-04,2736
2015-06-05,2728
2015-06-06,2728
2015-06-07,2719
2015-06-08,2740
2015-06-09,2766
2015-06-10,2737
2015-06-11,2749
2015-06-12,2776
2015-06-13,2776
2015-06-14,2797
2015-06-15,2797
2015-06-16,2769
2015-06-17,2878
2015-06-18,2925
2015-06-19,2848
2015-06-20,2802
2015-06-21,2772
2015-06-22,2760
2015-06-23,2729
2015-06-24,2750
2015-06-25,2772
2015-06-26,2776
2015-06-27,2811
2015-06-28,2801
2015-06-29,2799
2015-06-30,2793
2015-07-01,2750
2015-07-02,2738
2015-07-03,2738
2015-07-04,2773
2015-07-05,2759
2015-07-06,2764
2015-07-07,2846
2015-07-08,2881
2015-07-09,3017
2015-07-10,2957
2015-07-11,2857
2015-07-12,2775
2015-07-13,2775
2015-07-14,2846
2015-07-15,2822
2015-07-16,2853
2015-07-17,2822
2015-07-18,2817
2015-07-19,2730
2015-07-20,2744
2015-07-21,2805
2015-07-22,2847
2015-07-23,2969
2015-07-24,2982
2015-07-25,2879
2015-07-26,2881
2015-07-27,2801
2015-07-28,2866
2015-07-29,2860
2015-07-30,2968
2015-07-31,2995
2015-08-01,2966
2015-08-02,2954
2015-08-03,2880
2015-08-04,2811
2015-08-05,2869
2015-08-06,2922
2015-08-07,2901
2015-08-08,2883
2015-08-09,2868
2015-08-10,2867
2015-08-11,2902
2015-08-12,3008
2015-08-13,2967
2015-08-14,2962
2015-08-15,2875
2015-08-16,2899
2015-08-17,2862
2015-08-18,2878
2015-08-19,2926
2015-08-20,2924
2015-08-21,2991
2015-08-22,2941
2015-08-23,2920
2015-08-24,2975
2015-08-25,3000
2015-08-26,3012
2015-08-27,2883
2015-08-28,2874
2015-08-29,2842
2015-08-30,2805
2015-08-31,2812
2015-09-01,2860
2015-09-02,2848
2015-09-03,2826
2015-09-04,2847
2015-09-05,2812
2015-09-06,2816
2015-09-07,2851
2015-09-08,2883
2015-09-09,2953
2015-09-10,3033
2015-09-11,3082
2015-09-12,3064
2015-09-13,2971
2015-09-14,2950
2015-09-15,2963
2015-09-16,3052
2015-09-17,3067
2015-09-18,3008
2015-09-19,2978
2015-09-20,2939
2015-09-21,2916
2015-09-22,2868
2015-09-23,2935
2015-09-24,2927
2015-09-25,2981
2015-09-27,2901
2015-09-28,2883
2015-09-29,2880
2015-09-30,2942
2015-10-05,2882
2015-10-06,2877
2015-10-07,2859
2015-10-08,2862
2015-10-09,2881
2015-10-10,2858
2015-10-11,2834
2015-10-12,2796
2015-10-13,2797
2015-10-14,2862
2015-10-15,2876
2015-10-16,2871
2015-10-17,2922
2015-10-18,2897
2015-10-19,2923
2015-10-20,2920
2015-10-22,3049
2015-10-23,3035
2015-10-24,2978
2015-10-25,2929
2015-10-26,2916
2015-10-27,2948
2015-10-29,2926
2015-10-30,2967
2015-10-31,2922
2015-11-01,2903
2015-11-02,2943
2015-11-03,2994
2015-11-04,2993
2015-11-05,2962
2015-11-06,2978
2015-11-07,2952
2015-11-08,2982
2015-11-09,3010
2015-11-10,3058
2015-11-11,3077
2015-11-12,3090
2015-11-13,3150
2015-11-14,3197
2015-11-15,3207
2015-11-16,3222
2015-11-17,3199
2015-11-18,3078
2015-11-19,2985
2015-11-20,3123
2015-11-21,3201
2015-11-22,3186
2015-11-23,3201
2015-11-24,3144
2015-11-25,3048
2015-11-26,3048
2015-11-27,2993
2015-11-28,3050
2015-11-29,3022
2015-11-30,3041
2015-12-01,3151
2015-12-02,3247
2015-12-03,3314
2015-12-04,3333
2015-12-05,3294
2015-12-06,3264
2015-12-07,3187
2015-12-08,3264
2015-12-09,3305
2015-12-10,3365
2015-12-11,3459
2015-12-12,3474
2015-12-13,3362
2015-12-14,3258
2015-12-15,3235
2015-12-16,3170
2015-12-17,3143
2015-12-18,3121
2015-12-19,3064
2015-12-20,3010
2015-12-21,2991
2015-12-22,3046
2015-12-23,3111
2015-12-24,3136
2015-12-25,3204
2015-12-26,3109
2015-12-27,3017
2015-12-28,3124
2015-12-29,3206
2015-12-30,3213
2015-12-31,3270
2016-01-01,3248
2016-01-02,3243
2016-01-03,3223
2016-01-04,3250
2016-01-05,3313
2016-01-06,3316
2016-01-07,3262
2016-01-08,3235
2016-01-09,3171
2016-01-10,3114
2016-01-11,3104
2016-01-12,3092
2016-01-13,3117
2016-01-14,3124
2016-01-15,3139
2016-01-16,3194
2016-01-17,3116
2016-01-18,3036
2016-01-19,3097
2016-01-20,3068
2016-01-21,3085
2016-01-22,3088
2016-01-23,3029
2016-01-24,3047
2016-01-25,3059
2016-01-26,3048
2016-01-27,3132
2016-01-28,3138
2016-01-29,3063
2016-01-30,3005
2016-01-31,3063
2016-02-01,3074
2016-02-02,3095
2016-02-03,3107
2016-02-04,3148
2016-02-05,3155
2016-02-06,3140
2016-02-07,3109
2016-02-08,3095
2016-02-09,3120
2016-02-10,3141
2016-02-11,3142
2016-02-12,3151
2016-02-13,3145
2016-02-14,3120
2016-02-15,3156
2016-02-16,3206
2016-02-17,3242
2016-02-18,3139
2016-02-19,3133
2016-02-20,3127
2016-02-21,3092
2016-02-22,3101
2016-02-23,3084
2016-02-24,3144
2016-02-25,3186
2016-02-26,3208
2016-02-27,3155
2016-02-28,3189
2016-02-29,3138
2016-03-01,3120
2016-03-02,3215
2016-03-03,3346
2016-03-04,3345
2016-03-05,3379
2016-03-06,3355
2016-03-07,3236
2016-03-08,3242
2016-03-09,3304
2016-03-10,3322
2016-03-11,3254
2016-03-12,3189
2016-03-13,3158
2016-03-14,3177
2016-03-15,3222
2016-03-16,3288
2016-03-17,3327
2016-03-18,3440
2016-03-19,3420
2016-03-20,3349
2016-03-21,3276
2016-03-22,3246
2016-03-23,3236
2016-03-24,3252
2016-03-25,3259
2016-03-26,3300
2016-03-27,3323
2016-03-28,3274
2016-03-29,3234
2016-03-30,3271
2016-03-31,3316
2016-04-01,3346
2016-04-02,3458
2016-04-03,3450
2016-04-04,3419
2016-04-05,3545
2016-04-06,3579
2016-04-07,3540
2016-04-08,3517
2016-04-09,3540
2016-04-10,3594
2016-04-11,3737
2016-04-12,3721
2016-04-13,3749
2016-04-14,3700
2016-04-15,3667
2016-04-16,3731
2016-04-17,3674
2016-04-18,3605
2016-04-19,3447
2016-04-20,3342
2016-04-21,3345
2016-04-22,3319
2016-04-23,3259
2016-04-24,3160
2016-04-25,3239
2016-04-26,3274
2016-04-27,3231
2016-04-28,3240
2016-04-29,3247
2016-04-30,3261
2016-05-01,3302
2016-05-02,3346
2016-05-03,3305
2016-05-04,3308
2016-05-05,3299
2016-05-06,3291
2016-05-07,3310
