date_obj,Spined%20boots price
2015-03-26,67000
2015-03-27,67000
2015-03-28,67000
2015-03-29,67000
2015-03-30,67000
2015-03-31,67000
2015-04-01,66756
2015-04-02,66756
2015-04-03,66756
2015-04-04,66756
2015-04-05,66756
2015-04-06,66756
2015-04-07,66756
2015-04-08,66756
2015-04-09,66756
2015-04-10,66756
2015-04-11,66756
2015-04-12,66756
2015-04-13,66756
2015-04-14,66756
2015-04-15,66756
2015-04-16,66756
2015-04-17,66756
2015-04-18,66756
2015-04-19,66756
2015-04-20,66756
2015-04-21,66756
2015-04-22,66756
2015-04-23,66756
2015-04-24,66756
2015-04-25,66756
2015-04-26,66756
2015-04-27,66756
2015-04-28,66756
2015-04-29,66756
2015-04-30,66756
2015-05-01,66756
2015-05-02,66756
2015-05-03,66756
2015-05-04,66756
2015-05-05,66756
2015-05-06,67739
2015-05-07,67739
2015-05-08,67739
2015-05-09,67739
2015-05-10,67739
2015-05-11,67739
2015-05-12,67739
2015-05-13,67739
2015-05-14,67739
2015-05-15,67739
2015-05-16,67739
2015-05-17,67739
2015-05-18,67739
2015-05-19,67739
2015-05-20,67739
2015-05-21,67739
2015-05-22,67739
2015-05-23,67739
2015-05-24,67739
2015-05-25,67739
2015-05-26,67739
2015-05-27,67739
2015-05-28,68145
2015-05-29,68145
2015-05-30,68145
2015-05-31,68145
2015-06-01,68145
2015-06-02,68145
2015-06-03,68145
2015-06-04,68145
2015-06-05,68145
2015-06-06,68145
2015-06-07,68145
2015-06-08,68145
2015-06-09,68145
2015-06-10,68145
2015-06-11,68145
2015-06-12,68145
2015-06-13,68145
2015-06-14,68145
2015-06-15,68145
2015-06-16,68145
2015-06-17,68690
2015-06-18,68690
2015-06-19,68690
2015-06-20,68690
2015-06-21,68690
2015-06-22,68690
2015-06-23,68690
2015-06-24,68690
2015-06-25,68690
2015-06-26,68690
2015-06-27,68690
2015-06-28,68690
2015-06-29,68690
2015-06-30,68690
2015-07-01,68690
2015-07-02,68690
2015-07-03,68690
2015-07-04,68690
2015-07-05,68690
2015-07-06,68690
2015-07-07,69226
2015-07-08,69226
2015-07-09,69226
2015-07-10,69226
2015-07-11,69226
2015-07-12,69226
2015-07-13,69226
2015-07-14,69226
2015-07-15,69226
2015-07-16,69226
2015-07-17,69226
2015-07-18,69226
2015-07-19,69226
2015-07-20,69226
2015-07-21,69226
2015-07-22,69226
2015-07-23,69226
2015-07-24,69226
2015-07-25,69226
2015-07-26,69226
2015-07-27,70747
2015-07-28,70747
2015-07-29,70747
2015-07-30,70747
2015-07-31,70747
2015-08-01,70747
2015-08-02,70747
2015-08-03,70747
2015-08-04,70747
2015-08-05,70747
2015-08-06,70747
2015-08-07,70747
2015-08-08,70747
2015-08-09,70747
2015-08-10,70747
2015-08-11,70747
2015-08-12,70747
2015-08-13,70747
2015-08-14,72765
2015-08-15,72765
2015-08-16,72765
2015-08-17,72765
2015-08-18,72765
2015-08-19,72765
2015-08-20,72765
2015-08-21,72765
2015-08-22,72765
2015-08-23,72765
2015-08-24,72765
2015-08-25,72765
2015-08-26,72765
2015-08-27,72765
2015-08-28,72765
2015-08-29,72765
2015-08-30,72765
2015-08-31,72765
2015-09-01,72765
2015-09-02,74823
2015-09-03,74823
2015-09-04,74823
2015-09-05,74823
2015-09-06,74823
2015-09-07,74823
2015-09-08,74823
2015-09-09,74823
2015-09-10,74823
2015-09-11,74823
2015-09-12,74823
2015-09-13,74823
2015-09-14,74823
2015-09-15,74823
2015-09-16,74823
2015-09-17,74823
2015-09-18,74823
2015-09-19,74823
2015-09-20,74823
2015-09-21,74823
2015-09-22,77041
2015-09-23,77041
2015-09-24,77041
2015-09-25,77041
2015-09-27,77041
2015-09-28,77041
2015-09-29,77041
2015-09-30,77041
2015-10-05,77041
2015-10-06,77041
2015-10-07,77041
2015-10-08,77041
2015-10-09,77041
2015-10-10,77041
2015-10-11,79372
2015-10-12,79372
2015-10-13,79372
2015-10-14,79372
2015-10-15,79372
2015-10-16,79372
2015-10-17,79372
2015-10-18,79372
2015-10-19,79372
2015-10-20,79372
2015-10-22,79372
2015-10-23,79372
2015-10-24,79372
2015-10-25,79372
2015-10-26,79372
2015-10-27,79372
2015-10-29,79372
2015-10-30,79372
2015-10-31,80239
2015-11-01,80239
2015-11-02,80239
2015-11-03,80239
2015-11-04,80239
2015-11-05,80239
2015-11-06,80239
2015-11-07,80239
2015-11-08,80239
2015-11-09,80239
2015-11-10,80239
2015-11-11,80239
2015-11-12,80239
2015-11-13,80239
2015-11-14,80239
2015-11-15,80239
2015-11-16,80239
2015-11-17,80239
2015-11-18,80239
2015-11-19,80239
2015-11-20,80239
2015-11-21,80239
2015-11-22,83723
2015-11-23,83723
2015-11-24,83723
2015-11-25,83723
2015-11-26,83723
2015-11-27,83723
2015-11-28,83723
2015-11-29,83723
2015-11-30,83723
2015-12-01,83723
2015-12-02,83723
2015-12-03,83723
2015-12-04,83723
2015-12-05,83723
2015-12-06,83723
2015-12-07,83723
2015-12-08,83723
2015-12-09,83723
2015-12-10,83723
2015-12-11,83723
2015-12-12,83723
2015-12-13,83723
2015-12-14,85481
2015-12-15,85481
2015-12-16,85481
2015-12-17,85481
2015-12-18,85481
2015-12-19,85481
2015-12-20,85481
2015-12-21,85481
2015-12-22,85481
2015-12-23,85481
2015-12-24,85481
2015-12-25,85481
2015-12-26,85481
2015-12-27,85481
2015-12-28,85481
2015-12-29,85481
2015-12-30,85481
2015-12-31,85481
2016-01-01,85481
2016-01-02,85481
2016-01-03,83713
2016-01-04,83713
2016-01-05,83713
2016-01-06,83713
2016-01-07,83713
2016-01-08,83713
2016-01-09,83713
2016-01-10,83713
2016-01-11,83713
2016-01-12,83713
2016-01-13,83713
2016-01-14,83713
2016-01-15,83713
2016-01-16,83713
2016-01-17,83713
2016-01-18,83713
2016-01-19,83713
2016-01-20,83713
2016-01-21,83713
2016-01-22,79691
2016-01-23,79691
2016-01-24,79691
2016-01-25,79691
2016-01-26,79691
2016-01-27,79691
2016-01-28,79691
2016-01-29,79691
2016-01-30,79691
2016-01-31,79691
2016-02-01,79691
2016-02-02,79691
2016-02-03,79691
2016-02-04,79691
2016-02-05,79691
2016-02-06,79691
2016-02-07,79691
2016-02-08,78427
2016-02-09,78427
2016-02-10,78427
2016-02-11,78427
2016-02-12,78427
2016-02-13,78427
2016-02-14,78427
2016-02-15,78427
2016-02-16,78427
2016-02-17,78427
2016-02-18,78427
2016-02-19,78427
2016-02-20,78427
2016-02-21,78427
2016-02-22,78427
2016-02-23,78427
2016-02-24,78427
2016-02-25,78361
2016-02-26,78361
2016-02-27,78361
2016-02-28,78361
2016-02-29,78361
2016-03-01,78361
2016-03-02,78361
2016-03-03,78361
2016-03-04,78361
2016-03-05,78361
2016-03-06,78361
2016-03-07,78361
2016-03-08,78361
2016-03-09,78361
2016-03-10,78361
2016-03-11,78361
2016-03-12,78361
2016-03-13,78361
2016-03-14,78599
2016-03-15,78599
2016-03-16,78599
2016-03-17,78599
2016-03-18,78599
2016-03-19,78599
2016-03-20,78599
2016-03-21,78599
2016-03-22,78599
2016-03-23,78599
2016-03-24,78599
2016-03-25,78599
2016-03-26,78599
2016-03-27,78599
2016-03-28,78599
2016-03-29,78599
2016-03-30,78599
2016-03-31,77994
2016-04-01,77994
2016-04-02,77994
2016-04-03,77994
2016-04-04,77994
2016-04-05,77994
2016-04-06,77994
2016-04-07,77994
2016-04-08,77994
2016-04-09,77994
2016-04-10,77994
2016-04-11,77994
2016-04-12,77994
2016-04-13,77994
2016-04-14,77994
2016-04-15,75615
2016-04-16,75615
2016-04-17,75615
2016-04-18,75615
2016-04-19,75615
2016-04-20,75615
2016-04-21,75615
2016-04-22,75615
2016-04-23,75615
2016-04-24,75615
2016-04-25,75615
2016-04-26,75615
2016-04-27,75615
2016-04-28,75615
2016-04-29,75615
2016-04-30,72103
2016-05-01,72103
2016-05-02,72103
2016-05-03,72103
2016-05-04,72103
2016-05-05,72103
2016-05-06,72103
2016-05-07,72103
2016-05-08,72103
2016-05-09,72103
2016-05-10,72103
2016-05-11,72103
2016-05-12,72103
2016-05-13,69681
2016-05-14,69681
2016-05-15,69681
2016-05-16,69681
2016-05-17,69681
2016-05-18,69681
2016-05-19,69681
2016-05-22,69681
2016-05-23,69681
2016-05-24,69681
2016-05-25,69681
2016-05-26,69681
2016-05-27,67220
2016-05-28,67220
2016-05-29,67220
2016-05-30,67220
2016-05-31,67220
2016-06-01,67220
