date_obj,Piscatoris%20teleport price
2016-01-08,1704
2016-01-09,1704
2016-01-10,1726
2016-01-11,1726
2016-01-12,1811
2016-01-13,1811
2016-01-14,1892
2016-01-15,1892
2016-01-16,1961
2016-01-17,1961
2016-01-18,1898
2016-01-19,1898
2016-01-20,1852
2016-01-21,1852
2016-01-22,1825
2016-01-23,1825
2016-01-24,1797
2016-01-25,1734
2016-01-26,1734
2016-01-27,1700
2016-01-28,1700
2016-01-29,1645
2016-01-30,1645
2016-01-31,1668
2016-02-01,1714
2016-02-02,1714
2016-02-03,1725
2016-02-04,1725
2016-02-05,1812
2016-02-06,1903
2016-02-07,1903
2016-02-08,1999
2016-02-09,1999
2016-02-10,2069
2016-02-11,2069
2016-02-12,2155
2016-02-13,2206
2016-02-14,2206
2016-02-15,2219
2016-02-16,2219
2016-02-17,2289
2016-02-18,2289
2016-02-19,2332
2016-02-20,2369
2016-02-21,2307
2016-02-22,2307
2016-02-23,2307
2016-02-24,2307
2016-02-25,2376
2016-02-26,2376
2016-02-27,2323
2016-02-28,2323
2016-02-29,2249
2016-03-01,2162
2016-03-02,2162
2016-03-03,2097
2016-03-04,2097
2016-03-05,2006
2016-03-06,1907
2016-03-07,1907
2016-03-08,1841
2016-03-09,1749
2016-03-10,1688
2016-03-11,1688
2016-03-12,1631
2016-03-13,1631
2016-03-14,1550
2016-03-15,1479
2016-03-16,1415
2016-03-17,1415
2016-03-18,1375
2016-03-19,1375
2016-03-20,1355
2016-03-21,1355
2016-03-22,1390
2016-03-23,1445
2016-03-24,1445
2016-03-25,1497
2016-03-26,1523
2016-03-27,1523
2016-03-28,1565
2016-03-29,1565
2016-03-30,1566
2016-03-31,1566
2016-04-01,1586
2016-04-02,1586
2016-04-03,1638
2016-04-04,1682
2016-04-05,1682
2016-04-06,1729
2016-04-07,1729
2016-04-08,1728
2016-04-09,1680
2016-04-10,1622
2016-04-11,1622
2016-04-12,1545
2016-04-14,1494
2016-04-15,1455
2016-04-16,1409
2016-04-17,1409
2016-04-18,1371
2016-04-19,1371
2016-04-20,1412
2016-04-21,1412
2016-04-22,1482
2016-04-23,1520
2016-04-24,1529
2016-04-25,1481
2016-04-26,1481
2016-04-27,1436
2016-04-28,1436
2016-04-29,1429
2016-04-30,1397
2016-05-01,1397
2016-05-02,1392
2016-05-03,1355
2016-05-04,1355
2016-05-05,1353
2016-05-06,1353
2016-05-07,1338
2016-05-08,1338
2016-05-09,1311
2016-05-10,1343
2016-05-11,1343
2016-05-12,1321
2016-05-13,1271
2016-05-14,1271
2016-05-15,1239
2016-05-16,1239
2016-05-17,1198
2016-05-18,1165
2016-05-19,1165
2016-05-22,1108
2016-05-23,1108
2016-05-24,1075
2016-05-25,1075
2016-05-26,1047
2016-05-27,1055
2016-05-28,1055
2016-05-29,1080
2016-05-30,1080
2016-05-31,1130
2016-06-01,1187
2016-06-02,1187
2016-06-03,1247
2016-06-04,1310
2016-06-05,1310
2016-06-06,1339
2016-06-07,1339
2016-06-08,1318
2016-06-09,1338
2016-06-10,1371
2016-06-11,1371
2016-06-12,1363
2016-06-13,1363
2016-06-14,1338
2016-06-15,1338
2016-06-16,1317
2016-06-17,1285
2016-06-18,1285
2016-06-19,1295
2016-06-20,1292
2016-06-21,1266
2016-06-22,1286
2016-06-23,1341
2016-06-24,1341
2016-06-25,1394
2016-06-26,1394
2016-06-27,1462
2016-06-28,1518
2016-06-29,1518
2016-06-30,1518
2016-07-01,1507
2016-07-02,1507
2016-07-03,1467
2016-07-04,1411
2016-07-05,1411
2016-07-06,1370
2016-07-07,1403
2016-07-08,1424
2016-07-09,1456
2016-07-10,1437
2016-07-11,1386
2016-07-12,1339
2016-07-13,1334
2016-07-14,1326
2016-07-15,1314
2016-07-16,1304
2016-07-17,1306
2016-07-18,1313
2016-07-23,1508
2016-07-24,1576
2016-07-25,1655
2016-07-26,1655
2016-07-27,1720
2016-07-28,1720
2016-07-29,1790
2016-07-30,1826
2016-07-31,1826
2016-08-01,1842
2016-08-02,1885
2016-08-03,1929
2016-08-04,1973
2016-08-05,1973
2016-08-06,1928
2016-08-07,1906
2016-08-08,1906
2016-08-09,1913
2016-08-10,1885
2016-08-11,1885
2016-08-12,1926
2016-08-13,1926
2016-08-14,1968
2016-08-15,1979
2016-08-16,1972
2016-08-17,1972
2016-08-18,1961
2016-08-19,1990
2016-08-20,2025
2016-08-21,2025
2016-08-22,1952
2016-08-23,2021
2016-08-24,2072
2016-08-25,2176
2016-08-26,2176
2016-08-28,2270
2016-08-31,2337
2016-09-01,2446
2016-09-02,2446
2016-09-03,2441
2016-09-04,2422
2016-09-05,2323
2016-09-06,2221
2016-09-07,2221
2016-09-08,2147
2016-09-09,2147
2016-09-10,2070
2016-09-11,2070
2016-09-12,1995
2016-09-13,1959
2016-09-14,1959
2016-09-15,1910
2016-09-16,1910
2016-09-17,1960
2016-09-18,1960
2016-09-19,2023
2016-09-20,2023
2016-09-21,2117
2016-09-22,2223
2016-09-23,2223
2016-09-24,2335
2016-09-25,2392
2016-09-26,2392
2016-09-27,2362
2016-09-28,2283
2016-09-29,2283
2016-09-30,2182
2016-10-01,2095
2016-10-02,2095
2016-10-03,1990
2016-10-04,1990
2016-10-05,1899
2016-10-06,1899
2016-10-07,1804
2016-10-08,1736
2016-10-09,1736
2016-10-10,1737
2016-10-11,1737
2016-10-12,1747
2016-10-13,1797
2016-10-14,1887
2016-10-15,1887
2016-10-16,1982
2016-10-17,2082
2016-10-18,2082
2016-10-19,2177
2016-10-20,2177
2016-10-21,2189
2016-10-22,2189
2016-10-23,2163
2016-10-24,2076
2016-10-25,2076
2016-10-26,2056
2016-10-27,2056
2016-10-28,2053
2016-10-29,2042
2016-10-30,2042
2016-10-31,2112
2016-11-01,2112
2016-11-02,2215
2016-11-03,2215
2016-11-04,2326
2016-11-05,2326
2016-11-06,2443
2016-11-07,2443
2016-11-08,2566
2016-11-09,2637
2016-11-10,2653
2016-11-11,2653
2016-11-12,2675
2016-11-13,2675
2016-11-14,2654
2016-12-07,2656
2016-12-08,2601
2016-12-09,2681
2016-12-10,2681
2016-12-11,2746
2016-12-12,2793
2016-12-13,2866
2016-12-14,2985
2016-12-15,2985
2016-12-16,3077
2016-12-17,3121
2016-12-18,3121
2016-12-19,3099
2016-12-20,3069
2016-12-21,3091
2016-12-22,3091
2016-12-23,3039
2016-12-24,3039
2016-12-25,2933
2016-12-26,3003
2016-12-27,3045
2016-12-28,3108
2016-12-29,3097
2016-12-30,3091
2016-12-31,3037
2017-01-01,2901
2017-01-02,2794
2017-01-03,2759
2017-01-04,2817
2017-01-05,2817
2017-01-06,2711
2017-01-07,2584
2017-01-08,2454
2017-01-09,2339
2017-01-10,2353
2017-01-11,2433
2017-01-12,2455
2017-01-13,2455
2017-01-14,2424
2017-01-15,2427
2017-01-16,2532
2017-01-17,2536
2017-01-18,2605
2017-01-19,2605
2017-01-20,2578
2017-01-21,2566
2017-01-22,2508
2017-01-27,2775
2017-01-28,2914
2017-01-29,2958
2017-01-30,2958
