date_obj,Torag's%20armour%20set price
2016-02-10,1018211
2016-02-11,994622
2016-02-12,994622
2016-02-13,994622
2016-02-14,994622
2016-02-15,994622
2016-02-16,1026429
2016-02-17,1026429
2016-02-18,1026429
2016-02-19,1026429
2016-02-20,1026429
2016-02-21,997703
2016-02-22,997703
2016-02-23,997703
2016-02-24,997703
2016-02-25,997703
2016-02-26,997703
2016-02-27,996864
2016-02-28,996864
2016-02-29,996864
2016-03-01,996864
2016-03-02,996864
2016-03-03,969575
2016-03-04,969575
2016-03-05,969575
2016-03-06,969575
2016-03-07,969575
2016-03-08,947804
2016-03-09,947804
2016-03-10,947804
2016-03-11,947804
2016-03-12,947804
2016-03-13,947804
2016-03-14,939516
2016-03-15,939516
2016-03-16,939516
2016-03-17,939516
2016-03-18,939516
2016-03-19,933117
2016-03-20,933117
2016-03-21,933117
2016-03-22,933117
2016-03-23,933117
2016-03-24,933117
2016-03-25,903669
2016-03-26,903669
2016-03-27,903669
2016-03-28,903669
2016-03-29,903669
2016-03-30,903669
2016-03-31,903196
2016-04-01,903196
2016-04-02,903196
2016-04-03,903196
2016-04-04,903196
2016-04-05,903196
2016-04-06,904131
2016-04-07,904131
2016-04-08,904131
2016-04-09,904131
2016-04-10,904131
2016-04-11,923768
2016-04-12,923768
2016-04-13,923768
2016-04-14,923768
2016-04-15,912086
2016-04-16,912086
2016-04-17,912086
2016-04-18,912086
2016-04-19,924524
2016-04-20,924524
2016-04-21,924524
2016-04-22,924524
2016-04-23,924524
2016-04-24,911365
2016-04-25,911365
2016-04-26,911365
2016-04-27,911365
2016-04-28,918512
2016-04-29,918512
2016-04-30,918512
2016-05-01,918512
2016-05-02,947601
2016-05-03,947601
2016-05-04,947601
2016-05-05,947601
2016-05-06,960129
2016-05-07,960129
2016-05-08,960129
2016-05-09,960129
2016-05-10,976209
2016-05-11,976209
2016-05-12,976209
2016-05-13,976209
2016-05-14,947557
2016-05-15,947557
2016-05-16,947557
2016-05-17,947557
2016-05-18,921947
2016-05-19,921947
2016-05-22,932974
2016-05-23,932974
2016-05-24,932974
2016-05-25,932974
2016-05-26,902834
2016-05-27,902834
2016-05-28,902834
2016-05-29,902834
2016-05-30,891179
2016-05-31,891179
2016-06-01,891179
2016-06-02,891179
2016-06-03,879329
2016-06-04,879329
2016-06-05,879329
2016-06-06,879329
2016-06-07,859443
2016-06-08,859443
2016-06-09,859443
2016-06-10,859443
2016-06-11,844653
2016-06-12,844653
2016-06-13,844653
2016-06-14,844653
2016-06-15,830457
2016-06-16,830457
2016-06-17,830457
2016-06-18,830457
2016-06-19,828993
2016-06-20,828993
2016-06-21,828993
2016-06-22,828993
2016-06-23,820054
2016-06-24,820054
2016-06-25,820054
2016-06-26,820054
2016-06-27,848276
2016-06-28,848276
2016-06-29,848276
2016-06-30,848276
2016-07-01,882425
2016-07-02,882425
2016-07-03,882425
2016-07-04,882425
2016-07-05,882425
2016-07-06,910036
2016-07-07,910036
2016-07-08,910036
2016-07-09,910036
2016-07-10,905809
2016-07-11,905809
2016-07-12,905809
2016-07-13,905809
2016-07-14,872617
2016-07-15,872617
2016-07-16,872617
2016-07-17,872617
2016-07-18,868959
2016-07-24,844639
2016-07-25,844639
2016-07-26,844639
2016-07-27,844639
2016-07-28,824510
2016-07-29,824510
2016-07-30,824510
2016-07-31,824510
2016-08-01,824510
2016-08-02,801096
2016-08-03,801096
2016-08-04,801096
2016-08-05,801096
2016-08-06,787975
2016-08-07,787975
2016-08-08,787975
2016-08-09,787975
2016-08-10,787975
2016-08-11,785238
2016-08-12,785238
2016-08-13,785238
2016-08-14,785238
2016-08-15,785238
2016-08-16,771842
2016-08-17,771842
2016-08-18,771842
2016-08-19,771842
2016-08-20,769026
2016-08-21,769026
2016-08-22,769026
2016-08-23,769026
2016-08-24,769026
2016-08-25,775742
2016-08-26,775742
2016-08-28,775742
2016-08-31,774294
2016-09-01,774294
2016-09-02,774294
2016-09-03,774294
2016-09-04,772595
2016-09-05,772595
2016-09-06,772595
2016-09-07,772595
2016-09-08,772595
2016-09-09,784066
2016-09-10,784066
2016-09-11,784066
2016-09-12,784066
2016-09-13,784066
2016-09-14,786796
2016-09-15,786796
2016-09-16,786796
2016-09-17,786796
2016-09-18,786796
2016-09-19,775470
2016-09-20,775470
2016-09-21,775470
2016-09-22,775470
2016-09-23,775470
2016-09-24,800983
2016-09-25,800983
2016-09-26,800983
2016-09-27,800983
2016-09-28,800983
2016-09-29,827432
2016-09-30,827432
2016-10-01,827432
2016-10-02,827432
2016-10-03,827432
