date_obj,Botanical%20pie price
2016-05-26,3000
2016-05-27,3140
2016-05-28,3140
2016-05-29,3140
2016-05-30,3140
2016-05-31,3296
2016-06-01,3296
2016-06-02,3296
2016-06-03,3296
2016-06-04,3461
2016-06-05,3461
2016-06-06,3611
2016-06-07,3611
2016-06-08,3611
2016-06-09,3792
2016-06-10,3792
2016-06-11,3981
2016-06-12,3981
2016-06-13,3981
2016-06-14,4179
2016-06-15,4179
2016-06-16,4179
2016-06-17,4360
2016-06-18,4360
2016-06-19,4360
2016-06-20,4548
2016-06-21,4548
2016-06-22,4548
2016-06-23,4745
2016-06-24,4745
2016-06-25,4745
2016-06-26,4745
2016-06-27,4957
2016-06-28,4957
2016-06-29,4957
2016-06-30,5131
2016-07-01,5131
2016-07-02,5131
2016-07-03,5381
2016-07-04,5381
2016-07-05,5381
2016-07-06,5267
2016-07-07,5003
2016-07-08,4752
2016-07-09,4514
2016-07-10,4288
2016-07-11,4073
2016-07-12,3869
2016-07-13,3681
2016-07-14,3496
2016-07-15,3336
2016-07-16,3169
2016-07-18,2867
2016-07-23,2348
2016-07-24,2230
2016-07-25,2120
2016-07-26,2120
2016-07-27,2014
2016-07-28,1919
2016-07-29,1823
2016-07-30,1731
2016-07-31,1731
2016-08-01,1644
2016-08-02,1561
2016-08-03,1484
2016-08-04,1484
2016-08-05,1409
2016-08-06,1344
2016-08-07,1281
2016-08-08,1281
2016-08-09,1216
2016-08-10,1216
2016-08-11,1155
2016-08-12,1155
2016-08-13,1097
2016-08-14,1097
2016-08-15,1042
2016-08-16,1042
2016-08-17,989
2016-08-18,989
2016-08-19,939
2016-08-20,893
2016-08-21,893
2016-08-22,848
2016-08-23,805
2016-08-24,805
2016-08-25,764
2016-08-26,764
2016-08-28,725
2016-08-31,661
2016-09-01,661
2016-09-02,634
2016-09-03,634
2016-09-04,619
2016-09-05,619
2016-09-06,588
2016-09-07,588
2016-09-08,582
2016-09-09,582
2016-09-10,602
2016-09-11,602
2016-09-12,602
2016-09-13,615
2016-09-14,615
2016-09-15,615
2016-09-16,615
2016-09-17,612
2016-09-18,612
2016-09-19,612
2016-09-20,610
2016-09-21,610
2016-09-22,610
2016-09-23,616
2016-09-24,616
2016-09-25,616
2016-09-26,616
2016-09-27,607
2016-09-28,607
2016-09-29,607
2016-09-30,633
2016-10-01,633
2016-10-02,633
2016-10-03,633
2016-10-04,612
2016-10-05,612
2016-10-06,612
2016-10-07,612
2016-10-08,581
2016-10-09,581
2016-10-10,581
2016-10-11,551
2016-10-12,551
2016-10-13,551
2016-10-14,523
2016-10-15,523
2016-10-16,523
2016-10-17,502
2016-10-18,502
2016-10-19,502
2016-10-20,485
2016-10-21,485
2016-10-22,485
2016-10-23,492
2016-10-24,492
2016-10-25,492
2016-10-26,492
2016-10-27,492
2016-10-28,492
2016-10-29,494
2016-10-30,494
2016-10-31,494
2016-11-01,494
2016-11-02,506
2016-11-03,506
2016-11-04,506
2016-11-05,502
2016-11-06,502
2016-11-07,502
2016-11-08,509
2016-11-09,509
2016-11-10,509
2016-11-11,506
2016-11-12,506
2016-11-13,506
2016-11-14,504
2016-11-15,504
2016-12-07,606
2016-12-08,606
2016-12-09,608
2016-12-10,608
2016-12-11,608
2016-12-12,578
2016-12-13,578
2016-12-14,588
2016-12-15,588
2016-12-16,588
2016-12-17,599
2016-12-18,599
2016-12-19,599
2016-12-20,623
2016-12-21,623
2016-12-22,623
2016-12-23,639
2016-12-24,639
2016-12-25,639
2016-12-26,656
2016-12-27,656
2016-12-28,678
2016-12-29,678
2016-12-30,697
2016-12-31,697
2017-01-01,710
2017-01-02,710
2017-01-03,739
2017-01-04,745
2017-01-05,745
2017-01-06,744
2017-01-07,744
2017-01-08,767
2017-01-09,767
2017-01-10,805
2017-01-11,805
2017-01-12,843
2017-01-13,843
2017-01-14,873
2017-01-15,873
2017-01-16,917
2017-01-17,917
2017-01-18,963
2017-01-19,963
2017-01-20,963
2017-01-21,1010
2017-01-22,1010
2017-01-23,1027
2017-01-27,1065
2017-01-28,1065
2017-01-29,1093
2017-01-30,1093
2017-01-31,1093
2017-02-01,1110
2017-02-02,1110
2017-02-03,1110
2017-02-04,1164
2017-02-05,1164
2017-02-06,1164
2017-02-07,1179
2017-02-08,1179
2017-02-09,1229
2017-02-10,1219
2017-02-11,1219
2017-02-12,1240
2017-02-13,1240
2017-02-14,1265
2017-02-15,1265
2017-02-16,1277
2017-02-18,1277
2017-02-19,1279
2017-02-20,1279
2017-02-21,1251
2017-02-22,1251
2017-02-23,1266
2017-02-24,1266
2017-02-25,1293
2017-02-26,1293
2017-02-27,1329
2017-02-28,1329
2017-03-01,1291
2017-03-02,1291
2017-03-03,1291
2017-03-04,1296
2017-03-05,1296
2017-03-06,1336
2017-03-07,1336
2017-03-08,1336
2017-03-09,1340
2017-03-10,1340
2017-03-11,1354
2017-03-12,1354
2017-03-13,1371
2017-03-14,1371
2017-03-15,1437
2017-03-16,1437
2017-03-17,1466
2017-03-18,1466
2017-03-19,1458
2017-03-20,1458
2017-03-21,1489
2017-03-22,1489
2017-03-23,1501
2017-03-24,1501
2017-03-25,1517
2017-03-26,1517
2017-03-27,1531
2017-03-28,1531
2017-03-29,1520
2017-03-30,1520
2017-03-31,1477
2017-04-01,1477
2017-04-02,1477
2017-04-03,1424
2017-04-04,1424
2017-04-12,1282
2017-04-13,1243
2017-04-14,1243
2017-04-15,1223
2017-04-16,1223
2017-04-17,1223
2017-04-18,1223
2017-04-19,1190
2017-04-20,1190
2017-04-21,1187
2017-04-22,1187
2017-04-23,1187
2017-04-24,1214
2017-04-25,1235
2017-04-26,1235
2017-04-27,1235
2017-04-28,1270
2017-04-29,1270
2017-04-30,1265
2017-05-01,1265
2017-05-02,1284
2017-05-03,1284
2017-05-04,1299
2017-05-05,1299
2017-05-06,1333
2017-05-07,1333
2017-05-08,1383
2017-05-09,1383
2017-05-10,1434
2017-05-11,1434
2017-05-12,1495
2017-05-13,1495
2017-05-14,1570
2017-05-15,1570
2017-05-16,1649
2017-05-17,1649
2017-05-18,1702
2017-05-19,1702
2017-05-20,1752
2017-05-21,1752
2017-05-22,1803
2017-05-23,1803
2017-05-24,1831
2017-05-25,1831
2017-05-26,1875
2017-05-27,1875
2017-05-28,1930
2017-05-29,1930
2017-05-30,1907
2017-05-31,1907
2017-06-01,1909
2017-06-02,1909
2017-06-03,1894
2017-06-04,1894
2017-06-05,1943
2017-06-06,1943
2017-06-07,1949
2017-06-08,1949
2017-06-09,1949
2017-06-10,1998
2017-06-11,1998
2017-06-12,2066
2017-06-13,2066
2017-06-14,2053
2017-06-15,2053
2017-06-16,2012
2017-06-17,2012
2017-06-18,1973
2017-06-19,1973
2017-06-20,1919
2017-06-21,1919
2017-06-22,1930
2017-06-23,1930
2017-06-24,2012
2017-06-25,2012
2017-06-26,1989
2017-06-27,1989
2017-06-28,1905
2017-06-29,1905
2017-06-30,1942
2017-07-01,1942
2017-07-02,1942
2017-07-03,1928
2017-07-04,1928
2017-07-05,1928
2017-07-06,1921
2017-07-07,1921
2017-07-08,1921
2017-07-13,2006
2017-07-14,2046
2017-07-15,2046
2017-07-16,2046
2017-07-17,2122
2017-07-18,2122
2017-07-19,2162
2017-07-20,2162
2017-07-21,2184
2017-07-22,2184
2017-07-23,2178
2017-07-24,2178
2017-07-25,2178
2017-07-26,2171
2017-07-27,2171
2017-07-28,2164
2017-07-29,2164
2017-07-30,2158
2017-07-31,2158
2017-08-01,2158
2017-08-02,2158
2017-08-03,2158
2017-08-04,2173
2017-08-05,2204
2017-08-06,2204
2017-08-09,2295
2017-08-10,2295
2017-08-11,2257
2017-08-12,2257
2017-08-13,2284
2017-08-14,2284
2017-08-15,2281
2017-08-16,2281
2017-08-17,2229
2017-08-18,2229
2017-08-19,2229
2017-08-20,2258
2017-08-21,2258
2017-08-22,2205
2017-08-23,2205
2017-08-24,2205
2017-08-25,2207
2017-08-26,2207
2017-08-27,2218
2017-08-28,2218
2017-08-29,2218
2017-08-30,2237
2017-08-31,2237
2017-09-01,2237
2017-09-02,2218
2017-09-03,2218
2017-09-04,2218
2017-09-05,2107
2017-09-06,2107
2017-09-07,2001
2017-09-08,2001
2017-09-09,1905
