date_obj,Armadyl%20d'hide%20shield price
2019-04-11,20000
2019-04-11,20947
2019-04-12,21946
2019-04-13,23022
2019-04-14,24112
2019-04-15,1200000
2019-04-16,1200000
2019-04-17,1200000
2019-04-18,1233625
2019-04-19,1233625
2019-04-20,1283175
2019-04-21,1283175
2019-04-22,1341645
2019-04-23,1341645
2019-04-24,1400420
2019-04-25,1400420
2019-04-26,1460055
2019-04-27,1460055
2019-04-28,1460055
2019-04-29,1526611
2019-04-30,1526611
2019-05-01,1592818
2019-05-02,1592818
2019-05-03,1650773
2019-05-04,1650773
2019-05-05,1714982
2019-05-06,1714982
2019-05-07,1792348
2019-05-08,1792348
2019-05-09,1792348
2019-05-10,1864639
2019-05-11,1864639
2019-05-12,1864639
2019-05-13,1824551
2019-05-14,1824551
2019-05-15,1824551
2019-05-16,1823327
2019-05-17,1823327
2019-05-18,1771225
2019-05-19,1771225
2019-05-20,1684451
2019-05-21,1684451
2019-05-22,1684451
2019-05-23,1656040
2019-05-24,1656040
2019-05-25,1656040
2019-05-26,1638708
2019-05-27,1638708
2019-05-28,1583701
2019-05-29,1583701
2019-05-30,1523289
2019-05-31,1523289
2019-06-01,1523289
2019-06-02,1471817
2019-06-03,1471817
2019-06-04,1471817
2019-06-05,1444247
2019-06-06,1444247
2019-06-07,1467625
2019-06-08,1467625
2019-06-09,1491822
2019-06-10,1491822
2019-06-11,1491822
2019-06-12,1508691
2019-06-13,1508691
2019-06-14,1498331
2019-06-15,1498331
2019-06-16,1481934
2019-06-17,1481934
2019-06-18,1463191
2019-06-19,1463191
2019-06-20,1521126
2019-06-21,1521126
2019-06-22,1521126
2019-06-23,1572470
2019-06-24,1572470
2019-06-25,1572470
2019-06-26,1593188
2019-06-27,1593188
2019-06-28,1593188
2019-06-29,1640201
2019-06-30,1640201
2019-07-01,1640201
2019-07-02,1654772
2019-07-03,1654772
2019-07-04,1654772
2019-07-05,1635839
2019-07-06,1635839
2019-07-07,1635839
2019-07-08,1623010
2019-07-09,1623010
2019-07-10,1619281
2019-07-11,1619281
2019-07-12,1608982
2019-07-13,1608982
2019-07-14,1608982
2019-07-15,1615390
2019-07-16,1615390
2019-07-17,1618664
2019-07-18,1618664
2019-07-19,1618664
2019-07-20,1662666
2019-07-21,1662666
2019-07-22,1662666
2019-07-23,1713281
2019-07-24,1713281
2019-07-25,1713281
2019-07-26,1629347
2019-07-27,1629347
2019-07-28,1552718
2019-07-29,1552718
2019-07-30,1477165
2019-07-31,1477165
2019-08-01,1501526
2019-08-02,1501526
2019-08-03,1537760
2019-08-04,1537760
2019-08-05,1537760
2019-08-06,1570512
2019-08-07,1570512
2019-08-08,1570512
2019-08-09,1585779
2019-08-10,1585779
2019-08-11,1558176
2019-08-12,1558176
2019-08-13,1558176
2019-08-14,1525630
2019-08-15,1525630
2019-08-16,1472138
2019-08-17,1472138
2019-08-18,1472138
2019-08-19,1434939
2019-08-20,1434939
2019-08-21,1434939
