date_obj,Zuriel's%20robe%20top price
2018-09-05,10000000
2018-09-06,10000000
2018-09-07,10000000
2018-09-08,10000000
2018-09-09,10000000
2018-09-10,10000000
2018-09-11,10000000
2018-09-12,10000000
2018-09-13,10000000
2018-09-14,10000000
2018-09-15,10000000
2018-09-16,10000000
2018-09-17,10000000
2018-09-18,10000000
2018-09-19,10000000
2018-09-20,10000000
2018-09-21,10000000
2018-09-22,10000000
2018-09-23,10000000
2018-09-24,10000000
2018-09-25,10000000
2018-09-26,10000000
2018-09-27,10000000
2018-09-28,10000000
2018-09-29,10000000
2018-09-30,10000000
2018-10-02,10000000
2018-10-03,10000000
2018-10-04,10000000
2018-10-05,10000000
2018-10-06,10000000
2018-10-07,10000000
2018-10-08,10000000
2018-10-09,10000000
2018-10-10,10000000
2018-10-11,10000000
2018-10-12,10000000
2018-10-13,10000000
2018-10-14,10000000
2018-10-15,10000000
2018-10-16,10000000
2018-10-17,10000000
2018-10-18,10000000
2018-10-19,10000000
2018-10-20,10000000
2018-10-21,10000000
2018-10-21,10000000
2018-10-22,10000000
2018-10-23,10000000
2018-10-23,10000000
2018-10-24,10000000
2018-10-25,10000000
2018-10-26,10000000
2018-10-26,10000000
2018-10-27,10000000
2018-10-28,10000000
2018-10-29,10000000
2018-10-30,10000000
2018-10-31,10000000
2018-11-01,10000000
2018-11-03,10000000
2018-11-04,10000000
2018-11-05,10000000
2018-11-06,10000000
2018-11-07,10000000
2018-11-08,10000000
2018-11-09,10000000
2018-11-10,10000000
2018-11-11,10000000
2018-11-12,10000000
2018-11-13,10000000
2018-11-14,10000000
2018-11-15,10000000
2018-11-16,10000000
2018-11-17,10000000
2018-11-18,10000000
2018-11-19,10000000
2018-11-20,10000000
2018-11-21,10000000
2018-11-22,10000000
2018-11-23,10000000
2018-11-24,10000000
2018-11-25,10000000
2018-11-26,10000000
2018-11-27,10000000
2018-11-28,10000000
2018-11-29,10000000
2018-12-01,10000000
2018-12-02,10000000
2018-12-03,10000000
2018-12-04,10000000
