date_obj,Elven%20gloves price
2019-07-24,1500
2019-07-25,1552
2019-07-26,1552
2019-07-27,1622
2019-07-28,1622
2019-07-29,1686
2019-07-30,1757
2019-07-31,1757
2019-08-01,1825
2019-08-02,1825
2019-08-03,1896
2019-08-04,1896
2019-08-05,1974
2019-08-06,1974
2019-08-07,2056
2019-08-08,2056
2019-08-09,2056
2019-08-10,2136
2019-08-11,2136
2019-08-12,2210
2019-08-13,2210
2019-08-14,2288
2019-08-15,2288
2019-08-16,2374
2019-08-17,2374
2019-08-18,2469
2019-08-19,2469
2019-08-20,2540
2019-08-21,2540
2019-08-22,2649
2019-08-23,2649
2019-08-24,2755
2019-08-24,2755
2019-08-25,2755
2019-08-25,2755
2019-08-26,2866
2019-08-26,2866
2019-08-27,2866
2019-08-27,2866
2019-08-28,2977
2019-08-29,2977
2019-08-30,3085
2019-08-31,3085
2019-09-01,3186
2019-09-02,3186
2019-09-03,3311
2019-09-04,3311
2019-09-05,3434
2019-09-06,3434
2019-09-07,3571
2019-09-08,3571
2019-09-09,3704
2019-09-10,3704
2019-09-11,3829
2019-09-12,3829
2019-09-13,3829
2019-09-14,3969
2019-09-15,3969
2019-09-16,4120
2019-09-17,4120
2019-09-18,4262
2019-09-19,4262
2019-09-20,4262
2019-09-21,4383
2019-09-22,4383
2019-09-23,4383
2019-09-24,4505
2019-09-25,4505
2019-09-26,4642
2019-09-27,4642
2019-09-28,4642
2019-09-29,4642
2019-09-30,4642
2019-10-01,4792
2019-10-02,4792
2019-10-03,4792
2019-10-04,4792
2019-10-05,4792
2019-10-06,4894
2019-10-07,4894
2019-10-08,4894
2019-10-09,4894
2019-10-10,4894
2019-10-11,4894
2019-10-12,5011
2019-10-13,5011
2019-10-14,5011
2019-10-15,5011
2019-10-16,5113
2019-10-17,5113
2019-10-18,5113
2019-10-19,5113
2019-10-20,5113
2019-10-21,5113
2019-10-22,5243
2019-10-23,5243
2019-10-24,5243
2019-10-25,5243
2019-10-26,5243
2019-10-27,5243
2019-10-28,5347
2019-10-29,5347
2019-10-30,5347
2019-10-31,5347
2019-11-01,5347
2019-11-02,5347
2019-11-03,5347
2019-11-04,5457
2019-11-05,5457
2019-11-06,5457
2019-11-07,5457
2019-11-08,5457
2019-11-09,5457
2019-11-10,5564
2019-11-11,5564
2019-11-12,5564
2019-11-13,5564
2019-11-14,5564
2019-11-15,5564
2019-11-16,5564
2019-11-17,5564
2019-11-18,5758
2019-11-19,5758
2019-11-20,5758
2019-11-21,5758
2019-11-22,5758
2019-11-23,5758
2019-11-24,5758
2019-11-25,5996
2019-11-26,5996
2019-11-27,5996
2019-11-28,5996
2019-11-29,5996
2019-11-30,5996
2019-12-01,5996
2019-12-02,6225
2019-12-03,6225
2019-12-04,6225
2019-12-05,6225
2019-12-06,6225
2019-12-07,6225
2019-12-08,6225
2019-12-09,6225
2019-12-10,6506
2019-12-11,6506
2019-12-12,6506
2019-12-13,6506
2019-12-14,6506
2019-12-15,6506
2019-12-16,6506
2019-12-17,6784
2019-12-18,6784
2019-12-19,6784
2019-12-20,6784
2019-12-21,6784
2019-12-22,6784
2019-12-23,6784
2019-12-24,7054
2019-12-25,7054
2019-12-26,7054
2019-12-27,7054
2019-12-28,7054
2019-12-29,7054
2019-12-30,7054
2019-12-31,7322
2020-01-01,7322
2020-01-02,7322
2020-01-03,7322
2020-01-04,7322
2020-01-05,7322
2020-01-06,7322
2020-01-07,7470
2020-01-08,7470
2020-01-09,7470
2020-01-10,7470
2020-01-11,7470
2020-01-12,7470
2020-01-13,7713
2020-01-14,7713
2020-01-15,7713
2020-01-16,7713
2020-01-17,7713
2020-01-18,7713
2020-01-19,7829
2020-01-20,7829
2020-01-21,7829
2020-01-22,7829
2020-01-23,7829
2020-01-24,7829
2020-01-25,7829
2020-01-26,8177
2020-01-27,8177
2020-01-28,8177
2020-01-29,8177
2020-01-30,8177
2020-01-31,8177
2020-02-01,8177
2020-02-02,8350
2020-02-03,8350
2020-02-04,8350
2020-02-05,8350
2020-02-06,8350
2020-02-07,8350
2020-02-08,8650
2020-02-09,8650
2020-02-10,8650
2020-02-11,8650
2020-02-12,8650
2020-02-13,8650
2020-02-14,9039
2020-02-15,9039
2020-02-16,9039
2020-02-17,9039
2020-02-18,9039
2020-02-19,9039
2020-02-20,9440
2020-02-21,9440
2020-02-22,9440
2020-02-23,9440
2020-02-24,9440
2020-02-25,9440
2020-02-26,9440
2020-02-27,9851
2020-02-28,9851
2020-02-29,9851
2020-03-01,9851
2020-03-02,9851
2020-03-03,9851
2020-03-04,9851
2020-03-05,10207
2020-03-06,10207
2020-03-07,10207
2020-03-08,10207
2020-03-09,10207
2020-03-10,10207
2020-03-11,10207
2020-03-12,10524
2020-03-13,10524
2020-03-14,10524
2020-03-15,10524
2020-03-16,10524
2020-03-17,10524
2020-03-18,10963
2020-03-19,10963
2020-03-20,10963
2020-03-21,10963
2020-03-22,10963
2020-03-23,10963
2020-03-24,11304
2020-03-25,11304
2020-03-26,11304
2020-03-27,11304
2020-03-28,11304
2020-03-29,11433
2020-03-30,11433
2020-03-31,11433
2020-04-01,11433
2020-04-02,11521
2020-04-03,11521
2020-04-04,11521
2020-04-05,11521
2020-04-06,11521
2020-04-07,11887
2020-04-08,11887
2020-04-09,11887
2020-04-10,11887
2020-04-11,11887
2020-04-12,12338
2020-04-13,12338
2020-04-14,12338
2020-04-15,12338
2020-04-16,12338
2020-04-17,12652
2020-04-18,12652
2020-04-19,12652
2020-04-20,12652
2020-04-21,12560
2020-04-22,12560
2020-04-23,12560
2020-04-24,12560
2020-04-25,12019
2020-04-26,12019
2020-04-27,12019
2020-04-28,11717
2020-04-29,11717
2020-04-30,11717
2020-05-01,11717
2020-05-02,11701
2020-05-03,11701
2020-05-04,11701
2020-05-05,11701
2020-05-06,11557
2020-05-07,11557
2020-05-08,11557
2020-05-09,11557
2020-05-10,11739
2020-05-11,11739
2020-05-12,11739
2020-05-13,11739
