date_obj,Mushroom price
2015-03-26,1340
2015-03-27,1340
2015-03-28,1340
2015-03-29,1340
2015-03-30,1340
2015-03-31,1340
2015-04-01,1340
2015-04-02,1340
2015-04-03,1340
2015-04-04,1340
2015-04-05,1340
2015-04-06,1340
2015-04-07,1340
2015-04-08,1340
2015-04-09,1340
2015-04-10,1340
2015-04-11,1340
2015-04-12,1305
2015-04-13,1305
2015-04-14,1305
2015-04-15,1305
2015-04-16,1305
2015-04-17,1305
2015-04-18,1305
2015-04-19,1305
2015-04-20,1305
2015-04-21,1305
2015-04-22,1305
2015-04-23,1305
2015-04-24,1305
2015-04-25,1305
2015-04-26,1305
2015-04-27,1305
2015-04-28,1305
2015-04-29,1305
2015-04-30,1305
2015-05-01,1305
2015-05-02,1305
2015-05-03,1305
2015-05-04,1305
2015-05-05,1242
2015-05-06,1242
2015-05-07,1242
2015-05-08,1242
2015-05-09,1242
2015-05-10,1242
2015-05-11,1242
2015-05-12,1242
2015-05-13,1242
2015-05-14,1242
2015-05-15,1242
2015-05-16,1242
2015-05-17,1242
2015-05-18,1242
2015-05-19,1242
2015-05-20,1242
2015-05-21,1242
2015-05-22,1242
2015-05-23,1242
2015-05-24,1242
2015-05-25,1242
2015-05-26,1242
2015-05-27,1242
2015-05-28,1182
2015-05-29,1182
2015-05-30,1182
2015-05-31,1182
2015-06-01,1182
2015-06-02,1182
2015-06-03,1182
2015-06-04,1182
2015-06-05,1182
2015-06-06,1182
2015-06-07,1182
2015-06-08,1182
2015-06-09,1125
2015-06-10,1125
2015-06-11,1125
2015-06-12,1125
2015-06-13,1125
2015-06-14,1125
2015-06-15,1125
2015-06-16,1125
2015-06-17,1125
2015-06-18,1125
2015-06-19,1125
2015-06-20,1125
2015-06-21,1125
2015-06-22,1071
2015-06-23,1071
2015-06-24,1071
2015-06-25,1071
2015-06-26,1071
2015-06-27,1071
2015-06-28,1071
2015-06-29,1071
2015-06-30,1071
2015-07-01,1071
2015-07-02,1071
2015-07-03,1071
2015-07-04,1071
2015-07-05,1021
2015-07-06,1021
2015-07-07,1021
2015-07-08,1021
2015-07-09,1021
2015-07-10,1021
2015-07-11,1021
2015-07-12,1021
2015-07-13,1021
2015-07-14,1021
2015-07-15,1021
2015-07-16,1021
2015-07-17,1021
2015-07-18,1021
2015-07-19,1021
2015-07-20,971
2015-07-21,971
2015-07-22,971
2015-07-23,971
2015-07-24,971
2015-07-25,971
2015-07-26,971
2015-07-27,971
2015-07-28,971
2015-07-29,971
2015-07-30,971
2015-07-31,971
2015-08-01,971
2015-08-02,971
2015-08-03,928
2015-08-04,928
