date_obj,Ghorrock%20teleport%20(tablet) price
2015-03-26,3947
2015-03-27,3985
2015-03-28,3985
2015-03-29,3985
2015-03-30,3985
2015-03-31,3953
2015-04-01,3953
2015-04-02,3953
2015-04-03,3953
2015-04-04,3759
2015-04-05,3759
2015-04-06,3759
2015-04-07,3759
2015-04-08,3571
2015-04-09,3571
2015-04-10,3571
2015-04-11,3392
2015-04-12,3392
2015-04-13,3392
2015-04-14,3392
2015-04-15,3222
2015-04-16,3222
2015-04-17,3222
2015-04-18,3126
2015-04-19,3126
2015-04-20,3126
2015-04-21,3126
2015-04-22,3106
2015-04-23,3106
2015-04-24,3106
2015-04-25,3024
2015-04-26,3024
2015-04-27,3024
2015-04-28,2965
2015-04-29,2965
2015-04-30,2965
2015-05-01,2935
2015-05-02,2935
2015-05-03,2935
2015-05-04,2788
2015-05-05,2788
2015-05-06,2788
2015-05-07,2745
2015-05-08,2745
2015-05-09,2745
2015-05-10,2745
2015-05-11,2745
2015-05-12,2860
2015-05-13,2860
2015-05-14,3002
2015-05-15,3002
2015-05-16,3002
2015-05-17,2910
2015-05-18,2910
2015-05-19,2910
2015-05-20,2823
2015-05-21,2823
2015-05-22,2823
2015-05-23,2805
2015-05-24,2805
2015-05-25,2929
2015-05-26,2929
2015-05-27,2929
2015-05-28,2939
2015-05-29,2939
2015-05-30,2886
2015-05-31,2886
2015-06-01,2823
2015-06-02,2823
2015-06-03,2845
2015-06-04,2845
2015-06-05,2782
2015-06-06,2754
2015-06-07,2754
2015-06-08,2672
2015-06-09,2672
2015-06-10,2621
2015-06-11,2621
2015-06-12,2621
2015-06-13,2648
2015-06-14,2648
2015-06-15,2641
2015-06-16,2641
2015-06-17,2749
2015-06-18,2749
2015-06-19,2781
2015-06-20,2781
2015-06-21,2695
2015-06-22,2695
2015-06-23,2733
2015-06-24,2733
2015-06-25,2746
2015-06-26,2876
2015-06-27,2876
2015-06-28,2923
2015-06-29,2923
2015-06-30,3064
2015-07-01,3064
2015-07-02,2911
2015-07-03,2807
2015-07-04,2807
2015-07-05,2666
2015-07-06,2666
2015-07-07,2632
2015-07-08,2632
2015-07-09,2636
2015-07-10,2636
2015-07-11,2687
2015-07-12,2687
2015-07-13,2766
2015-07-14,2766
2015-07-15,2839
2015-07-16,2839
2015-07-17,2944
2015-07-18,2944
2015-07-19,3032
2015-07-20,3032
2015-07-21,3050
2015-07-22,2969
2015-07-23,2969
2015-07-24,2910
2015-07-25,2910
2015-07-26,2930
2015-07-27,2930
2015-07-28,3077
2015-07-29,3187
2015-07-30,3187
2015-07-31,3155
2015-08-01,3155
2015-08-02,3048
2015-08-03,3048
2015-08-04,2973
2015-08-05,2996
2015-08-06,2996
2015-08-07,2901
2015-08-08,2807
2015-08-09,2666
2015-08-10,2533
2015-08-11,2492
2015-08-12,2492
2015-08-13,2485
2015-08-14,2421
2015-08-15,2421
2015-08-16,2339
2015-08-17,2317
2015-08-18,2317
2015-08-19,2309
2015-08-20,2309
2015-08-21,2383
2015-08-22,2503
2015-08-23,2503
2015-08-24,2629
2015-08-25,2629
2015-08-26,2761
2015-08-27,2895
2015-08-28,2895
2015-08-29,2906
2015-08-30,2906
2015-08-31,2773
2015-09-01,2773
2015-09-02,2641
2015-09-03,2641
2015-09-04,2617
2015-09-05,2617
2015-09-06,2652
2015-09-07,2652
2015-09-08,2714
2015-09-09,2714
2015-09-10,2796
2015-09-11,2935
