date_obj,Cape%20of%20skulls price
2019-04-11,100000
2019-04-11,104289
2019-04-12,108857
2019-04-13,113729
2019-04-14,118290
2019-04-15,29000000
2019-04-16,29000000
2019-04-17,27550000
2019-04-18,26172500
2019-04-19,26172500
2019-04-20,24907966
2019-04-21,24907966
2019-04-22,24123028
2019-04-23,24123028
2019-04-24,24015754
2019-04-25,23363345
2019-04-26,22257679
2019-04-27,21171822
2019-04-28,20113230
2019-04-29,19112639
2019-04-30,18157007
2019-05-01,17266780
2019-05-02,16420106
2019-05-03,15619225
2019-05-04,15416235
2019-05-05,15865179
2019-05-06,15865179
2019-05-07,16542524
2019-05-08,17304871
2019-05-09,17304871
2019-05-10,18106378
2019-05-11,18106378
2019-05-12,19011697
2019-05-13,19875721
2019-05-14,20809792
2019-05-15,20809792
2019-05-16,21737508
2019-05-17,21737508
2019-05-18,22740823
2019-05-19,22740823
2019-05-20,23776392
2019-05-21,23776392
2019-05-22,24903918
2019-05-23,24903918
2019-05-24,25336380
2019-05-25,25336380
2019-05-26,24772064
2019-05-27,24772064
2019-05-28,23621048
2019-05-29,22488818
2019-05-30,22488818
2019-05-31,21364377
2019-06-01,21364377
2019-06-02,20296158
2019-06-03,20296158
2019-06-04,19281350
2019-06-05,19281350
2019-06-06,18317282
2019-06-07,18317282
2019-06-08,17401417
2019-06-09,17434325
2019-06-10,17434325
2019-06-11,16963145
2019-06-12,16963145
2019-06-13,16541233
2019-06-14,16541233
2019-06-15,17147129
2019-06-16,17938869
2019-06-17,17938869
2019-06-18,18354866
2019-06-19,18354866
2019-06-20,18697424
2019-06-21,18697424
2019-06-22,18238487
2019-06-23,18238487
2019-06-24,18705484
2019-06-25,18705484
2019-06-26,19061573
2019-06-27,19329311
2019-06-28,19329311
2019-06-29,19737041
2019-06-30,19737041
2019-07-01,20437950
2019-07-02,21057856
2019-07-03,21057856
2019-07-04,22023017
2019-07-05,22023017
2019-07-06,23016876
2019-07-07,23016876
2019-07-08,24014275
2019-07-09,24014275
2019-07-10,23536035
2019-07-11,23536035
2019-07-12,23596571
2019-07-13,23596571
2019-07-14,24693406
2019-07-15,24693406
2019-07-16,25443027
2019-07-17,25443027
2019-07-18,24334829
2019-07-19,24334829
2019-07-20,23413209
2019-07-21,23413209
2019-07-22,22431839
2019-07-23,22431839
2019-07-24,22297633
2019-07-25,22297633
2019-07-26,21566105
2019-07-27,21566105
2019-07-28,20510389
2019-07-29,20510389
2019-07-30,19484869
2019-07-31,19484869
2019-08-01,18510625
2019-08-02,18510625
2019-08-03,17801478
2019-08-04,17801478
2019-08-05,17290014
2019-08-06,17290014
2019-08-07,16920848
2019-08-08,16920848
2019-08-09,17387140
2019-08-10,17600062
2019-08-11,17600062
2019-08-12,18212875
2019-08-13,18212875
2019-08-14,18666307
2019-08-15,18666307
2019-08-16,18547669
2019-08-17,18547669
2019-08-18,18820915
2019-08-19,18820915
2019-08-20,19373257
2019-08-21,19373257
2019-08-22,19462133
2019-08-23,19462133
2019-08-24,19007528
2019-08-24,19007528
2019-08-25,19007528
2019-08-25,19007528
2019-08-26,18826128
2019-08-26,18826128
2019-08-27,18826128
2019-08-27,18826128
2019-08-28,18525719
2019-08-29,18525719
2019-08-30,18323347
2019-08-31,18323347
2019-09-01,18036366
2019-09-02,18036366
2019-09-03,17899913
2019-09-04,17899913
2019-09-05,17728421
2019-09-06,17728421
2019-09-07,18191896
2019-09-08,18191896
2019-09-09,18300541
2019-09-10,18300541
2019-09-11,18705365
2019-09-12,18705365
2019-09-13,19397311
2019-09-14,19397311
2019-09-15,19518828
2019-09-16,19899330
2019-09-17,19899330
2019-09-18,19883335
2019-09-19,19883335
2019-09-20,19883335
2019-09-21,19820298
2019-09-22,19820298
2019-09-23,19805807
2019-09-24,19805807
2019-09-25,19754535
2019-09-26,19754535
2019-09-27,19613909
2019-09-28,19613909
2019-09-29,19568979
2019-09-30,19568979
2019-10-01,19710657
2019-10-02,19710657
2019-10-03,19793773
2019-10-04,19793773
2019-10-05,19756696
2019-10-06,20427251
2019-10-07,20427251
2019-10-08,21138895
2019-10-09,21138895
2019-10-10,21409555
2019-10-11,21409555
2019-10-12,21409555
2019-10-13,22044277
2019-10-14,22044277
2019-10-15,21863477
2019-10-16,21863477
2019-10-17,21685541
2019-10-18,21685541
2019-10-19,21426888
2019-10-20,21426888
2019-10-21,21072106
2019-10-22,21072106
2019-10-23,20904580
2019-10-24,20305002
2019-10-25,20305002
2019-10-26,21212378
2019-10-27,21212378
2019-10-28,21976892
2019-10-29,21976892
2019-10-30,21976892
2019-10-31,21955679
2019-11-01,21955679
2019-11-02,21747198
2019-11-03,21747198
2019-11-04,21861520
2019-11-05,21861520
2019-11-06,21811278
2019-11-07,21811278
2019-11-08,21438557
2019-11-09,21438557
2019-11-10,21784767
2019-11-11,21784767
2019-11-12,21748283
2019-11-13,21748283
2019-11-14,21635698
2019-11-15,21635698
2019-11-16,21577523
2019-11-17,21577523
2019-11-18,21502406
2019-11-19,21502406
2019-11-20,21264342
2019-11-21,21264342
2019-11-22,21148447
2019-11-23,21148447
2019-11-24,21029604
2019-11-25,21029604
2019-11-26,20967544
2019-11-27,20967544
2019-11-28,20801052
2019-11-29,20801052
2019-11-30,20791705
2019-12-01,20791705
2019-12-02,20306706
2019-12-03,20306706
2019-12-04,20341388
2019-12-05,20341388
2019-12-06,20199831
2019-12-07,20199831
2019-12-08,20240362
2019-12-09,20240362
2019-12-10,20024466
2019-12-11,20024466
2019-12-12,20006644
2019-12-13,20006644
2019-12-14,20107940
2019-12-15,20107940
2019-12-16,20222051
2019-12-17,20222051
2019-12-18,20162312
2019-12-19,20162312
2019-12-20,20153087
2019-12-21,19944648
2019-12-22,20017470
2019-12-23,20017470
2019-12-24,20024983
2019-12-25,20024983
2019-12-26,19918981
2019-12-27,19880872
2019-12-28,19747218
2019-12-29,19747218
2019-12-30,19670584
2019-12-31,19670584
2020-01-01,19545980
2020-01-02,19395869
2020-01-03,19395869
2020-01-04,19251842
2020-01-05,18906845
2020-01-06,18906845
2020-01-07,18434090
2020-01-08,18434090
2020-01-09,18199097
2020-01-10,18061292
2020-01-11,17794001
2020-01-12,17794001
2020-01-13,17620793
2020-01-14,17620793
2020-01-15,17518459
2020-01-16,17677436
2020-01-17,17639906
2020-01-18,17639906
2020-01-19,18026847
2020-01-20,18026847
2020-01-21,17985979
2020-01-22,18012062
2020-01-23,17893819
2020-01-24,17828256
2020-01-25,17828256
2020-01-26,17638750
2020-01-27,17638750
2020-01-28,17559954
2020-01-29,17559954
2020-01-30,17431639
2020-01-31,17431639
2020-02-01,17409092
2020-02-02,17239264
2020-02-03,17239264
2020-02-04,17171284
2020-02-05,17171284
2020-02-06,16887793
2020-02-07,16887793
2020-02-08,16588110
2020-02-09,16588110
2020-02-10,16386387
2020-02-11,16386387
2020-02-12,16295061
2020-02-13,16295061
2020-02-14,16132790
2020-02-15,16132790
2020-02-16,15956575
2020-02-17,15956575
2020-02-18,15482317
2020-02-19,15482317
2020-02-20,15249606
2020-02-21,15249606
2020-02-22,15138241
2020-02-23,15138241
2020-02-24,15119353
2020-02-25,15119353
2020-02-26,15044767
2020-02-27,15002604
2020-02-28,15032654
2020-02-29,15032654
2020-03-01,15164426
2020-03-02,15164426
2020-03-03,15283345
2020-03-04,15283345
2020-03-05,15427003
2020-03-06,15579680
2020-03-07,15579680
2020-03-08,15400104
2020-03-09,15500107
2020-03-10,15773856
2020-03-11,15811457
2020-03-12,16162156
2020-03-13,16162156
2020-03-14,16251447
2020-03-15,16251447
2020-03-16,16228883
2020-03-17,16140504
2020-03-18,16140504
2020-03-19,15994718
2020-03-20,15711321
2020-03-21,15711321
2020-03-22,15596974
2020-03-23,15596974
2020-03-24,15387470
2020-03-25,15475631
2020-03-26,15418981
2020-03-27,15418981
2020-03-28,15430230
2020-03-29,15455263
2020-03-30,15290063
2020-03-31,15297543
2020-04-01,15244709
2020-04-02,15196804
2020-04-03,15196804
2020-04-04,15029112
2020-04-05,15029112
2020-04-06,14501795
2020-04-07,13892254
2020-04-08,13340349
2020-04-09,12685393
2020-04-10,12685393
2020-04-11,12085827
2020-04-12,11481535
2020-04-13,10907458
2020-04-14,10365370
2020-04-15,10073317
2020-04-16,10190248
2020-04-17,10073481
2020-04-18,10392994
2020-04-19,10912587
2020-04-20,11425943
2020-04-21,11820884
2020-04-22,12041342
2020-04-23,12560896
2020-04-24,12988025
2020-04-25,13373698
2020-04-26,13533381
2020-04-27,13398929
2020-04-28,13127061
2020-04-29,13127061
2020-04-30,12717266
2020-05-01,12651756
2020-05-02,12547301
2020-05-03,12347834
2020-05-04,12347834
2020-05-05,12206659
2020-05-06,11992837
2020-05-07,12029471
2020-05-08,12029471
2020-05-09,11857128
2020-05-10,11330558
2020-05-11,11330558
2020-05-12,10953928
2020-05-13,10820290
