date_obj,Red%20topaz%20machete price
2015-03-26,13064
2015-03-27,13064
2015-03-28,13714
2015-03-29,13714
2015-03-30,14360
2015-03-31,14360
2015-04-01,14864
2015-04-02,14864
2015-04-03,15212
2015-04-04,15212
2015-04-05,15349
2015-04-06,15349
2015-04-07,15259
2015-04-08,15259
2015-04-09,15259
2015-04-10,15773
2015-04-11,15773
2015-04-12,15973
2015-04-13,15973
2015-04-14,16172
2015-04-15,16172
2015-04-16,16846
2015-04-17,16846
2015-04-18,17650
2015-04-19,17650
2015-04-20,18506
2015-04-21,18506
2015-04-22,18885
2015-04-23,18885
2015-04-24,18634
2015-04-25,18634
2015-04-26,18784
2015-04-27,18784
2015-04-28,19228
2015-04-29,19228
2015-04-30,19228
2015-05-01,19685
2015-05-02,19685
2015-05-03,19685
2015-05-04,19915
2015-05-05,19915
2015-05-06,20517
2015-05-07,20517
2015-05-08,20517
2015-05-09,21086
2015-05-10,21086
2015-05-11,21086
2015-05-12,21694
2015-05-13,21694
2015-05-14,21694
2015-05-15,22563
2015-05-16,22563
2015-05-17,23633
2015-05-18,23633
2015-05-19,23633
2015-05-20,24563
2015-05-21,24563
2015-05-22,24563
2015-05-23,25778
2015-05-24,25778
2015-05-25,26613
2015-05-26,26613
2015-05-27,26613
2015-05-28,27909
2015-05-29,27909
2015-05-30,29190
2015-05-31,29190
2015-06-01,30052
2015-06-02,30052
2015-06-03,31297
2015-06-04,31297
2015-06-05,32610
2015-06-06,32610
2015-06-07,34211
2015-06-08,34211
2015-06-09,35091
2015-06-10,35091
2015-06-11,36681
2015-06-12,36681
2015-06-13,37762
2015-06-14,37762
2015-06-15,37220
2015-06-16,37220
2015-06-17,35748
2015-06-18,35748
2015-06-19,37159
2015-06-20,37159
2015-06-21,38226
2015-06-22,38226
2015-06-23,39221
2015-06-24,39221
2015-06-25,37540
2015-06-26,37540
2015-06-27,35677
2015-06-28,33938
2015-06-29,33938
2015-06-30,32945
2015-07-01,31356
2015-07-02,31356
2015-07-03,29788
2015-07-04,29788
2015-07-05,28368
2015-07-06,28368
2015-07-07,26949
2015-07-08,26428
2015-07-09,26428
2015-07-10,26906
2015-07-11,26906
2015-07-12,26152
2015-07-13,24954
2015-07-14,24954
2015-07-15,23920
2015-07-16,23920
2015-07-17,22958
2015-07-18,22958
2015-07-19,22537
2015-07-20,22537
2015-07-21,23349
2015-07-22,24113
2015-07-23,24113
2015-07-24,24535
2015-07-25,24535
2015-07-26,25049
2015-07-27,26085
2015-07-28,26085
2015-07-29,25665
2015-07-30,25665
2015-07-31,26831
2015-08-01,26831
2015-08-02,27685
2015-08-03,27685
2015-08-04,28507
2015-08-05,27977
2015-08-06,27977
2015-08-07,27545
2015-08-08,27308
2015-08-09,27308
2015-08-10,26639
2015-08-11,25321
2015-08-12,25321
2015-08-13,24170
2015-08-14,24066
2015-08-15,24066
2015-08-16,22862
2015-08-17,21775
2015-08-18,21775
2015-08-19,21240
2015-08-20,21240
2015-08-21,21451
2015-08-22,21451
2015-08-23,22479
2015-08-24,23434
2015-08-25,23434
2015-08-26,23434
2015-08-27,23290
2015-08-28,23290
2015-08-29,23241
2015-08-30,23241
2015-08-31,23545
2015-09-01,23545
2015-09-02,24382
2015-09-03,24382
2015-09-04,24900
2015-09-05,24900
2015-09-06,25625
2015-09-07,25625
2015-09-08,26197
2015-09-09,26197
2015-09-10,27026
2015-09-11,27026
2015-09-12,27513
2015-09-13,27513
2015-09-14,28534
2015-09-15,28637
2015-09-16,28637
2015-09-17,29142
2015-09-18,29142
2015-09-19,29701
2015-09-20,29701
2015-09-21,29824
2015-09-22,29824
2015-09-23,30611
2015-09-24,30611
2015-09-25,30611
2015-09-27,31532
2015-09-28,32310
2015-09-29,32310
2015-09-30,32382
2015-10-05,30799
2015-10-06,30147
2015-10-07,30147
2015-10-08,29355
2015-10-09,29355
2015-10-10,28719
2015-10-11,28719
2015-10-12,27426
2015-10-13,27426
2015-10-14,26144
2015-10-15,25872
2015-10-16,25872
2015-10-17,25769
2015-10-18,25769
2015-10-19,26138
2015-10-20,26138
2015-10-22,26253
2015-10-23,26134
2015-10-24,26134
2015-10-25,25668
2015-10-26,25668
2015-10-27,25911
2015-10-29,26261
2015-10-30,26261
2015-10-31,25541
2015-11-01,25541
2015-11-02,25716
2015-11-03,25716
2015-11-04,25716
2015-11-05,25746
2015-11-06,25746
2015-11-07,25848
2015-11-08,25848
2015-11-09,25848
2015-11-10,25412
2015-11-11,25412
2015-11-12,24454
2015-11-13,24454
2015-11-14,24454
2015-11-15,23752
2015-11-16,23752
2015-11-17,23355
2015-11-18,23355
2015-11-19,23415
2015-11-20,23415
2015-11-21,23415
2015-11-22,23018
2015-11-23,23018
2015-11-24,23018
2015-11-25,22828
2015-11-26,22828
2015-11-27,22828
2015-11-28,22848
2015-11-29,22848
2015-11-30,22900
2015-12-01,22900
2015-12-02,22900
2015-12-03,22743
2015-12-04,22743
2015-12-05,21650
2015-12-06,21650
2015-12-07,20995
2015-12-08,20995
2015-12-09,20901
2015-12-10,20901
2015-12-11,20940
2015-12-12,20940
2015-12-13,20849
2015-12-14,20849
2015-12-15,19895
2015-12-16,19895
2015-12-17,19306
2015-12-18,19306
2015-12-19,19136
2015-12-20,19136
2015-12-21,18748
2015-12-22,18748
2015-12-23,18067
2015-12-24,18067
2015-12-25,17254
2015-12-26,17254
2015-12-27,17245
2015-12-28,17245
2015-12-29,17334
2015-12-30,17334
2015-12-31,16818
2016-01-01,16818
2016-01-02,16577
2016-01-03,16506
2016-01-04,16506
2016-01-05,16523
2016-01-06,16523
2016-01-07,17261
2016-01-08,17261
2016-01-09,17505
2016-01-10,17505
2016-01-11,17824
2016-01-12,18343
2016-01-13,18343
2016-01-14,18923
2016-01-15,18923
2016-01-16,19801
2016-01-17,19801
2016-01-18,20792
2016-01-19,20792
2016-01-20,21644
2016-01-21,21644
2016-01-22,22674
2016-01-23,22674
2016-01-24,23390
2016-01-25,24470
2016-01-26,24470
2016-01-27,24957
2016-01-28,24957
2016-01-29,25672
2016-01-30,25672
2016-01-31,26925
2016-02-01,26925
2016-02-02,27870
2016-02-03,27870
2016-02-04,27749
2016-02-05,27749
2016-02-06,27950
2016-02-07,27950
2016-02-08,27646
2016-02-09,27646
2016-02-10,27399
2016-02-11,27399
2016-02-12,27450
2016-02-13,28357
2016-02-14,28357
2016-02-15,28769
2016-02-16,28769
2016-02-17,28744
2016-02-18,28744
2016-02-19,28340
2016-02-20,28340
2016-02-21,28089
2016-02-22,28089
2016-02-23,27994
2016-02-24,27994
2016-02-25,26618
2016-02-26,26618
2016-02-27,25289
2016-02-28,25289
2016-02-29,24026
2016-03-01,24026
2016-03-02,23389
2016-03-03,23389
2016-03-04,22926
2016-03-05,22926
2016-03-06,22408
2016-03-07,22408
2016-03-08,21287
2016-03-09,20374
2016-03-10,19355
2016-03-11,19355
2016-03-12,18714
2016-03-13,18714
