date_obj,Mahogany%20sapling price
2017-09-07,39000
2017-09-08,39000
2017-09-09,40950
2017-09-10,40950
2017-09-11,40950
2017-09-12,40950
2017-09-13,40654
2017-09-14,40654
2017-09-15,40654
2017-09-16,38665
2017-09-17,38665
2017-09-19,39491
2017-09-20,39491
2017-09-21,39491
2017-09-22,40011
2017-09-23,40011
2017-09-24,40011
2017-09-25,40011
2017-09-26,38010
2017-09-27,38010
2017-09-28,38010
2017-09-29,38010
2017-09-30,36109
2017-10-01,36109
2017-10-02,36109
2017-10-03,36109
2017-10-04,34306
2017-10-05,34306
2017-10-06,34306
2017-10-07,32590
2017-10-08,32590
2017-10-09,32590
2017-10-10,32590
2017-10-11,30965
2017-10-12,30965
2017-10-13,30965
2017-10-14,29416
2017-10-15,29416
2017-10-16,29416
2017-10-17,29416
2017-10-18,27945
2017-10-19,27945
2017-10-20,27945
2017-10-21,27945
2017-10-22,26547
2017-10-23,26547
2017-10-24,26547
2017-10-25,25230
2017-10-26,25230
2017-10-27,25230
2017-10-28,25230
2017-10-29,23972
2017-10-30,23972
2017-10-31,23972
2017-11-01,23972
2017-11-02,22773
2017-11-03,22773
2017-11-04,22773
2017-11-05,21652
2017-11-06,21652
2017-11-07,21652
2017-11-08,21652
2017-11-09,20569
2017-11-10,20569
2017-11-11,20569
2017-11-12,20569
2017-11-13,19540
2017-11-14,19540
2017-11-15,19540
2017-11-16,19540
2017-11-17,18563
2017-11-18,18563
2017-11-19,18563
2017-11-20,18563
2017-11-21,17634
2017-11-22,17634
2017-11-23,17634
2017-11-24,17634
2017-11-25,16752
2017-11-26,16752
2017-11-27,16752
2017-11-28,16752
2017-11-29,15914
2017-11-30,15914
2017-12-01,15914
2017-12-02,15914
2017-12-03,15118
2017-12-04,15118
2017-12-05,15118
2017-12-06,14366
2017-12-07,14366
2017-12-08,14366
2017-12-09,14366
2017-12-10,13647
2017-12-11,13647
2017-12-12,13647
2017-12-14,12964
2017-12-15,12964
2017-12-17,12964
2017-12-18,12315
2017-12-19,12315
2017-12-20,12315
2017-12-21,12315
2017-12-22,11699
2017-12-23,11699
2017-12-24,11699
2017-12-25,11699
2017-12-26,11114
2017-12-27,11114
2017-12-28,11114
2017-12-29,11114
2017-12-30,10558
2017-12-31,10558
2018-01-01,10558
2018-01-02,10039
2018-01-03,10039
2018-01-04,10039
2018-01-05,9537
2018-01-06,9537
2018-01-07,9537
2018-01-08,9060
2018-01-09,9060
2018-01-10,9060
