date_obj,Skeletal%20gloves price
2015-03-26,52564
2015-03-27,52564
2015-03-28,52564
2015-03-29,52564
2015-03-30,52564
2015-03-31,52564
2015-04-01,52564
2015-04-02,52564
2015-04-03,52564
2015-04-04,52564
2015-04-05,53613
2015-04-06,53613
2015-04-07,53613
2015-04-08,53613
2015-04-09,53613
2015-04-10,53613
2015-04-11,53613
2015-04-12,53613
2015-04-13,53613
2015-04-14,53613
2015-04-15,53613
2015-04-16,53613
2015-04-17,53613
2015-04-18,53613
2015-04-19,53613
2015-04-20,53613
2015-04-21,53613
2015-04-22,53613
2015-04-23,53613
2015-04-24,53613
2015-04-25,54928
2015-04-26,54928
2015-04-27,54928
2015-04-28,54928
2015-04-29,54928
2015-04-30,54928
2015-05-01,54928
2015-05-02,54928
2015-05-03,54928
2015-05-04,54928
2015-05-05,54928
2015-05-06,54928
2015-05-07,54928
2015-05-08,54928
2015-05-09,54928
2015-05-10,54928
2015-05-11,54928
2015-05-12,54928
2015-05-13,54928
2015-05-14,54928
2015-05-15,54928
2015-05-16,57052
2015-05-17,57052
2015-05-18,57052
2015-05-19,57052
2015-05-20,57052
2015-05-21,57052
2015-05-22,57052
2015-05-23,57052
2015-05-24,57052
2015-05-25,57052
2015-05-26,57052
2015-05-27,57052
2015-05-28,57052
2015-05-29,57052
2015-05-30,57052
2015-05-31,59298
2015-06-01,59298
2015-06-02,59298
2015-06-03,59298
2015-06-04,59298
2015-06-05,59298
2015-06-06,59298
2015-06-07,59298
2015-06-08,59298
2015-06-09,59298
2015-06-10,59298
2015-06-11,59298
2015-06-12,59298
2015-06-13,59298
2015-06-14,61799
2015-06-15,61799
2015-06-16,61799
2015-06-17,61799
2015-06-18,61799
2015-06-19,61799
2015-06-20,61799
2015-06-21,61799
2015-06-22,61799
2015-06-23,61799
2015-06-24,61799
2015-06-25,61799
2015-06-26,61799
2015-06-27,61799
2015-06-28,61799
2015-06-29,61799
2015-06-30,61799
2015-07-01,64273
2015-07-02,64273
2015-07-03,64273
2015-07-04,64273
2015-07-05,64273
2015-07-06,64273
2015-07-07,64273
2015-07-08,64273
2015-07-09,64273
2015-07-10,64273
2015-07-11,64273
2015-07-12,64273
2015-07-13,64273
2015-07-14,64273
2015-07-15,65950
2015-07-16,65950
2015-07-17,65950
2015-07-18,65950
2015-07-19,65950
2015-07-20,65950
2015-07-21,65950
2015-07-22,65950
2015-07-23,65950
2015-07-24,65950
2015-07-25,65950
2015-07-26,65950
2015-07-27,65950
2015-07-28,66387
2015-07-29,66387
2015-07-30,66387
2015-07-31,66387
2015-08-01,66387
2015-08-02,66387
2015-08-03,66387
2015-08-04,66387
2015-08-05,66387
2015-08-06,66387
2015-08-07,66387
2015-08-08,66387
2015-08-09,66387
2015-08-10,66387
2015-08-11,67249
2015-08-12,67249
2015-08-13,67249
2015-08-14,67249
2015-08-15,67249
2015-08-16,67249
2015-08-17,67249
2015-08-18,67249
2015-08-19,67249
2015-08-20,67249
2015-08-21,67249
2015-08-22,67249
2015-08-23,67249
2015-08-24,67249
2015-08-25,67249
2015-08-26,67249
2015-08-27,69190
2015-08-28,69190
2015-08-29,69190
2015-08-30,69190
2015-08-31,69190
2015-09-01,69190
2015-09-02,69190
2015-09-03,69190
2015-09-04,69190
2015-09-05,69190
2015-09-06,69190
2015-09-07,69190
2015-09-08,69190
2015-09-09,69190
2015-09-10,69190
2015-09-11,70786
2015-09-12,70786
2015-09-13,70786
