date_obj,Dwarf%20weed%20seed price
2015-03-05,6614
2015-03-06,6283
2015-03-07,5968
2015-03-08,5669
2015-03-09,5398
2015-03-10,5153
2015-03-11,4913
2015-03-12,4679
2015-03-13,4445
2015-03-14,4222
2015-03-15,4019
2015-03-16,3818
2015-03-17,3638
2015-03-18,3493
2015-03-19,3407
2015-03-20,3318
2015-03-21,3221
2015-03-22,3077
2015-03-23,2932
2015-03-24,2785
2015-03-25,2645
2015-03-26,2512
2015-03-27,2512
2015-03-28,2395
2015-03-29,2283
2015-03-30,2220
2015-03-31,2111
2015-04-01,2013
2015-04-02,1912
2015-04-03,1816
2015-04-04,1725
2015-04-05,1640
2015-04-06,1561
2015-04-07,1519
2015-04-08,1448
2015-04-09,1384
2015-04-10,1341
2015-04-11,1326
2015-04-12,1333
2015-04-13,1317
2015-04-14,1344
2015-04-15,1345
2015-04-16,1350
2015-04-17,1290
2015-04-18,1234
2015-04-19,1181
2015-04-20,1136
2015-04-21,1160
2015-04-22,1185
2015-04-23,1165
2015-04-24,1132
2015-04-25,1132
2015-04-26,1102
2015-04-27,1106
2015-04-28,1104
2015-04-29,1104
2015-04-30,1144
2015-05-01,1163
2015-05-02,1136
2015-05-03,1136
2015-05-04,1120
2015-05-05,1066
2015-05-06,1021
2015-05-07,1035
2015-05-08,1063
2015-05-09,1071
2015-05-10,1038
2015-05-11,1038
2015-05-12,994
2015-05-13,952
2015-05-14,909
2015-05-15,873
2015-05-16,859
2015-05-17,874
2015-05-18,866
2015-05-19,872
2015-05-20,872
2015-05-21,914
2015-05-22,939
2015-05-23,897
2015-05-24,869
2015-05-25,861
2015-05-26,892
2015-05-27,921
2015-05-28,934
2015-05-29,949
2015-05-30,975
2015-05-31,929
2015-06-01,945
2015-06-02,965
2015-06-03,999
2015-06-04,996
2015-06-05,1013
2015-06-06,1006
2015-06-07,971
2015-06-08,962
2015-06-09,942
2015-06-10,963
2015-06-11,999
2015-06-12,994
2015-06-13,1011
2015-06-14,1022
2015-06-15,1001
2015-06-16,958
2015-06-17,966
2015-06-18,973
2015-06-19,986
2015-06-20,960
2015-06-21,964
2015-06-22,984
2015-06-23,986
2015-06-24,995
2015-06-25,981
2015-06-26,1012
2015-06-27,1015
2015-06-28,1021
2015-06-29,1059
2015-06-30,1060
2015-07-01,1032
2015-07-02,1007
2015-07-03,1007
2015-07-04,1019
2015-07-05,1027
2015-07-06,1005
2015-07-07,963
2015-07-08,914
2015-07-09,903
2015-07-10,921
2015-07-11,957
2015-07-12,974
2015-07-13,964
2015-07-14,923
2015-07-15,919
2015-07-16,900
2015-07-17,922
2015-07-18,956
2015-07-19,939
2015-07-20,952
2015-07-21,944
2015-07-22,954
2015-07-23,954
2015-07-24,995
2015-07-25,1027
2015-07-26,1058
2015-07-27,1065
2015-07-28,1063
2015-07-29,1033
2015-07-30,990
2015-07-31,979
2015-08-01,985
2015-08-02,965
2015-08-03,968
2015-08-04,943
2015-08-05,963
2015-08-06,964
2015-08-07,1013
2015-08-08,1063
2015-08-09,1114
2015-08-10,1170
2015-08-11,1229
2015-08-12,1290
2015-08-13,1329
2015-08-14,1388
2015-08-15,1442
2015-08-16,1490
2015-08-17,1531
2015-08-18,1589
