date_obj,Brown%20headband price
2015-03-26,181321
2015-03-27,181321
2015-03-28,181321
2015-03-29,172621
2015-03-30,172621
2015-03-31,172621
2015-04-01,172621
2015-04-02,172621
2015-04-03,164289
2015-04-04,164289
2015-04-05,164289
2015-04-06,164289
2015-04-07,156383
2015-04-08,156383
2015-04-09,156383
2015-04-10,156383
2015-04-11,156383
2015-04-12,148790
2015-04-13,148790
2015-04-14,148790
2015-04-15,148790
2015-04-16,141589
2015-04-17,141589
2015-04-18,141589
2015-04-19,141589
2015-04-20,134708
2015-04-21,134708
2015-04-22,134708
2015-04-23,134708
2015-04-24,134708
2015-04-25,128193
2015-04-26,128193
2015-04-27,128193
2015-04-28,128193
2015-04-29,128193
2015-04-30,122002
2015-05-01,122002
2015-05-02,122002
2015-05-03,122002
2015-05-04,116098
2015-05-05,116098
2015-05-06,116098
2015-05-07,110538
2015-05-08,110538
2015-05-09,110538
2015-05-10,105239
2015-05-11,105239
2015-05-12,105239
2015-05-13,105239
2015-05-14,100120
2015-05-15,100120
2015-05-16,100120
2015-05-17,95450
2015-05-18,95450
2015-05-19,95450
2015-05-20,95450
2015-05-21,95450
2015-05-22,90898
2015-05-23,90898
2015-05-24,90898
2015-05-25,90898
2015-05-26,90898
2015-05-27,90898
2015-05-28,86353
2015-05-29,86353
2015-05-30,82258
2015-05-31,82258
2015-06-01,82258
2015-06-02,82258
2015-06-03,78409
2015-06-04,78409
2015-06-05,78409
2015-06-06,74629
2015-06-07,74629
2015-06-08,74629
2015-06-09,71080
2015-06-10,71080
2015-06-11,71080
2015-06-12,71080
2015-06-13,67692
2015-06-14,67692
2015-06-15,67692
2015-06-16,67692
2015-06-17,64432
2015-06-18,64432
2015-06-19,64432
2015-06-20,64432
2015-06-21,61374
2015-06-22,61374
2015-06-23,61374
2015-06-24,61374
2015-06-25,58482
2015-06-26,58482
2015-06-27,58482
2015-06-28,55654
2015-06-29,55654
2015-06-30,55654
2015-07-01,52983
2015-07-02,52983
2015-07-03,52983
2015-07-04,50513
2015-07-05,50513
2015-07-06,50513
2015-07-07,50513
2015-07-08,48156
2015-07-09,48156
2015-07-10,48156
2015-07-11,48156
2015-07-12,48156
2015-07-13,45877
2015-07-14,45877
2015-07-15,45877
2015-07-16,45877
2015-07-17,43701
2015-07-18,43701
2015-07-19,43701
2015-07-20,43701
2015-07-21,41632
2015-07-22,41632
2015-07-23,41632
2015-07-24,41632
2015-07-25,39709
2015-07-26,39709
2015-07-27,39709
2015-07-28,39709
2015-07-29,37884
2015-07-30,37884
2015-07-31,37884
2015-08-01,37884
2015-08-02,36092
2015-08-03,36092
2015-08-04,36092
2015-08-05,36092
2015-08-06,34395
2015-08-07,34395
2015-08-08,34395
2015-08-09,32776
2015-08-10,32776
2015-08-11,32776
2015-08-12,31286
2015-08-13,31286
2015-08-14,31286
2015-08-15,31286
2015-08-16,29829
2015-08-17,29829
2015-08-18,29829
2015-08-19,29829
2015-08-20,28453
2015-08-21,28453
2015-08-22,28453
2015-08-23,28453
2015-08-24,27030
2015-08-25,27030
2015-08-26,27030
2015-08-27,27030
2015-08-28,27030
2015-08-29,25750
2015-08-30,25750
2015-08-31,25750
2015-09-01,25750
2015-09-02,25750
2015-09-03,24528
2015-09-04,24528
2015-09-05,24528
2015-09-06,24528
2015-09-07,23383
2015-09-08,23383
2015-09-09,23383
2015-09-10,23383
2015-09-11,22448
2015-09-12,22448
2015-09-13,22448
2015-09-14,22448
2015-09-15,22051
2015-09-16,22051
2015-09-17,22051
2015-09-18,22051
2015-09-19,22133
2015-09-20,22133
2015-09-21,22133
2015-09-22,22133
2015-09-23,22480
2015-09-24,22480
2015-09-25,22480
2015-09-27,23325
2015-09-28,23325
2015-09-29,23325
2015-09-30,24241
2015-10-05,24824
2015-10-06,24824
2015-10-07,25342
2015-10-08,25342
2015-10-09,25342
2015-10-10,25342
2015-10-11,25706
2015-10-12,25706
2015-10-13,25706
2015-10-14,25706
2015-10-15,26253
2015-10-16,26253
2015-10-17,26253
2015-10-18,26253
2015-10-19,26805
2015-10-20,26805
2015-10-22,26805
2015-10-23,27392
2015-10-24,27392
2015-10-25,27392
2015-10-26,27803
2015-10-27,27803
2015-10-29,27803
2015-10-30,28197
2015-10-31,28197
2015-11-01,28197
2015-11-02,28197
2015-11-03,28788
2015-11-04,28788
2015-11-05,28788
2015-11-06,28788
2015-11-07,29234
2015-11-08,29234
2015-11-09,29234
2015-11-10,29234
2015-11-11,30316
2015-11-12,30316
2015-11-13,30316
2015-11-14,30316
2015-11-15,30316
2015-11-16,31078
2015-11-17,31078
2015-11-18,31078
2015-11-19,31078
2015-11-20,31283
2015-11-21,31283
2015-11-22,31283
2015-11-23,31283
2015-11-24,31283
2015-11-25,30826
2015-11-26,30826
2015-11-27,30826
2015-11-28,30826
2015-11-29,30842
2015-11-30,30842
2015-12-01,30842
2015-12-02,30842
2015-12-03,31259
2015-12-04,31259
2015-12-05,31259
2015-12-06,31259
2015-12-07,30907
2015-12-08,30907
2015-12-09,30907
2015-12-10,30893
2015-12-11,30893
2015-12-12,30893
2015-12-13,30893
2015-12-14,31105
2015-12-15,31105
2015-12-16,31105
2015-12-17,31105
2015-12-18,31201
2015-12-19,31201
2015-12-20,31201
2015-12-21,31201
2015-12-22,31201
2015-12-23,31109
2015-12-24,31109
2015-12-25,31109
2015-12-26,31109
2015-12-27,31109
2015-12-28,30420
2015-12-29,30420
2015-12-30,30420
2015-12-31,30420
2016-01-01,29475
2016-01-02,29475
2016-01-03,29475
2016-01-04,29475
2016-01-05,29225
2016-01-06,29225
2016-01-07,29225
2016-01-08,29225
2016-01-09,29225
2016-01-10,28478
2016-01-11,28478
2016-01-12,28478
2016-01-13,28478
2016-01-14,27528
2016-01-15,27528
2016-01-16,27528
2016-01-17,27528
2016-01-18,26426
2016-01-19,26426
2016-01-20,26426
2016-01-21,26426
2016-01-22,26426
2016-01-23,25524
2016-01-24,25524
2016-01-25,25524
2016-01-26,25524
2016-01-27,24523
2016-01-28,24523
2016-01-29,24523
2016-01-30,24523
2016-01-31,23817
2016-02-01,23817
2016-02-02,23817
2016-02-03,23817
2016-02-04,23050
2016-02-05,23050
2016-02-06,23050
2016-02-07,23050
2016-02-08,22510
2016-02-09,22510
2016-02-10,22510
2016-02-11,22510
2016-02-12,22510
2016-02-13,21750
2016-02-14,21750
2016-02-15,21750
2016-02-16,21750
2016-02-17,21529
2016-02-18,21529
2016-02-19,21529
2016-02-20,21529
2016-02-21,21505
2016-02-22,21505
2016-02-23,21505
2016-02-24,21600
2016-02-25,21600
2016-02-26,21657
2016-02-27,21657
2016-02-28,21633
2016-02-29,21633
2016-03-01,21633
2016-03-02,21432
2016-03-03,21432
2016-03-04,21432
2016-03-05,21614
2016-03-06,21614
2016-03-07,21614
2016-03-08,21843
2016-03-09,21843
2016-03-10,21843
2016-03-11,22181
2016-03-12,22181
2016-03-13,22181
2016-03-14,21960
2016-03-15,21960
2016-03-16,21960
2016-03-17,21712
2016-03-18,21712
2016-03-19,21712
2016-03-20,22082
2016-03-21,22082
2016-03-22,22082
2016-03-23,22161
2016-03-24,22161
2016-03-25,22161
2016-03-26,21925
2016-03-27,21925
2016-03-28,21925
2016-03-29,21726
2016-03-30,21726
2016-03-31,21726
2016-04-01,21726
2016-04-02,21957
2016-04-03,21957
2016-04-04,21957
2016-04-05,22543
2016-04-06,22543
2016-04-07,22543
2016-04-08,23082
2016-04-09,23082
2016-04-10,23082
2016-04-11,23082
2016-04-12,23235
2016-04-13,23235
2016-04-14,23235
2016-04-15,22664
2016-04-16,22664
2016-04-17,22664
2016-04-18,22199
2016-04-19,22199
2016-04-20,22199
2016-04-21,22199
2016-04-22,21394
2016-04-23,21394
2016-04-24,21394
2016-04-25,20372
2016-04-26,20372
2016-04-27,20372
2016-04-28,20372
2016-04-29,19417
2016-04-30,19417
2016-05-01,19417
2016-05-02,18485
2016-05-03,18485
2016-05-04,18485
2016-05-05,17607
2016-05-06,17607
2016-05-07,17607
2016-05-08,17607
2016-05-09,16755
2016-05-10,16755
2016-05-11,16755
2016-05-12,16755
2016-05-13,15974
2016-05-14,15974
2016-05-15,15974
2016-05-16,15974
2016-05-17,15175
2016-05-18,15175
2016-05-19,15175
2016-05-22,14591
2016-05-23,14272
2016-05-24,14272
2016-05-25,14272
2016-05-26,14272
2016-05-27,14144
2016-05-28,14144
2016-05-29,14144
2016-05-30,13893
