date_obj,Twisted%20trousers%20(t2) price
2020-01-13,100000
2020-01-14,100000
2020-01-15,104980
2020-01-16,110229
2020-01-17,110229
2020-01-18,115622
2020-01-19,115622
2020-01-20,115622
2020-01-21,121290
2020-01-22,121290
2020-01-23,121290
2020-01-24,121290
2020-01-25,121290
2020-01-26,127238
2020-01-27,127238
2020-01-28,127238
2020-01-29,127238
2020-01-30,127238
2020-01-31,127238
2020-02-01,127238
2020-02-02,127238
2020-02-03,127238
2020-02-04,127238
2020-02-05,127238
2020-02-06,127238
2020-02-07,133363
2020-02-08,133363
2020-02-09,133363
2020-02-10,133363
2020-02-11,133363
2020-02-12,133363
2020-02-13,133363
2020-02-14,133363
2020-02-15,133363
2020-02-16,133363
2020-02-17,133363
2020-02-18,133363
2020-02-19,133363
2020-02-20,133363
2020-02-21,133363
2020-02-22,133363
2020-02-23,133363
2020-02-24,133363
2020-02-25,139848
2020-02-26,139848
2020-02-27,139848
2020-02-28,139848
2020-02-29,139848
2020-03-01,139848
2020-03-02,139848
2020-03-03,139848
2020-03-04,139848
2020-03-05,139848
2020-03-06,139848
2020-03-07,139848
2020-03-08,139848
2020-03-09,139848
2020-03-10,139848
2020-03-11,139848
2020-03-12,139848
2020-03-13,139848
2020-03-14,139848
2020-03-15,139848
2020-03-16,139848
2020-03-17,139848
2020-03-18,139848
2020-03-19,146535
2020-03-20,146535
2020-03-21,146535
2020-03-22,146535
2020-03-23,146535
2020-03-24,146535
2020-03-25,146535
2020-03-26,146535
2020-03-27,146535
2020-03-28,146535
2020-03-29,146535
2020-03-30,146535
2020-03-31,146535
2020-04-01,146535
2020-04-02,146535
2020-04-03,146535
2020-04-04,146535
2020-04-05,146535
2020-04-06,146535
2020-04-07,146535
2020-04-08,146535
2020-04-09,146535
2020-04-10,146535
2020-04-11,146535
2020-04-12,146535
2020-04-13,153249
2020-04-14,153249
2020-04-15,153249
2020-04-16,153249
2020-04-17,153249
2020-04-18,153249
2020-04-19,153249
2020-04-20,153249
2020-04-21,153249
2020-04-22,153249
2020-04-23,153249
2020-04-24,153249
2020-04-25,153249
2020-04-26,153249
2020-04-27,153249
2020-04-28,153249
2020-04-29,153249
2020-04-30,153249
2020-05-01,153249
2020-05-02,153249
2020-05-03,153249
2020-05-04,153249
2020-05-05,153249
2020-05-06,159885
2020-05-07,159885
2020-05-08,159885
2020-05-09,159885
2020-05-10,159885
2020-05-11,159885
2020-05-12,159885
2020-05-13,159885
