date_obj,Green%20dark%20bow%20paint price
2015-03-26,210000
2015-03-27,210000
2015-03-28,210000
2015-03-29,210000
2015-03-30,210000
2015-03-31,204637
2015-04-01,204637
2015-04-02,204637
2015-04-03,204637
2015-04-04,204637
2015-04-05,204637
2015-04-06,204637
2015-04-07,204637
2015-04-08,204637
2015-04-09,204637
2015-04-10,204637
2015-04-11,204637
2015-04-12,204637
2015-04-13,204637
2015-04-14,204637
2015-04-15,204637
2015-04-16,204637
2015-04-17,204637
2015-04-18,204637
2015-04-19,204637
2015-04-20,204637
2015-04-21,204637
2015-04-22,204637
2015-04-23,204637
2015-04-24,204637
2015-04-25,204637
2015-04-26,204637
2015-04-27,204637
2015-04-28,204637
2015-04-29,204637
2015-04-30,204637
2015-05-01,204637
2015-05-02,198071
2015-05-03,198071
2015-05-04,198071
2015-05-05,198071
2015-05-06,198071
2015-05-07,198071
2015-05-08,198071
2015-05-09,198071
2015-05-10,198071
2015-05-11,198071
2015-05-12,198071
2015-05-13,198071
2015-05-14,198071
2015-05-15,198071
2015-05-16,198071
2015-05-17,198071
2015-05-18,198071
2015-05-19,198071
2015-05-20,198071
2015-05-21,198071
2015-05-22,198071
2015-05-23,198071
2015-05-24,198071
2015-05-25,198071
2015-05-26,198071
2015-05-27,198071
2015-05-28,190863
2015-05-29,190863
2015-05-30,190863
2015-05-31,190863
2015-06-01,190863
2015-06-02,190863
2015-06-03,190863
2015-06-04,190863
2015-06-05,190863
2015-06-06,190863
2015-06-07,190863
2015-06-08,190863
2015-06-09,190863
2015-06-10,190863
2015-06-11,190863
2015-06-12,190863
2015-06-13,190863
2015-06-14,190863
2015-06-15,183928
2015-06-16,183928
2015-06-17,183928
2015-06-18,183928
2015-06-19,183928
2015-06-20,183928
2015-06-21,183928
2015-06-22,183928
2015-06-23,183928
2015-06-24,183928
2015-06-25,183928
2015-06-26,183928
2015-06-27,183928
2015-06-28,183928
2015-06-29,183928
2015-06-30,183928
2015-07-01,175616
2015-07-02,175616
2015-07-03,175616
2015-07-04,175616
2015-07-05,175616
