date_obj,Ranarr%20weed price
2015-03-26,5504
2015-03-27,5549
2015-03-28,5476
2015-03-29,5353
2015-03-30,5341
2015-03-31,5476
2015-04-01,5525
2015-04-02,5569
2015-04-03,5596
2015-04-04,5599
2015-04-05,5573
2015-04-06,5541
2015-04-07,5551
2015-04-08,5548
2015-04-09,5576
2015-04-10,5589
2015-04-11,5640
2015-04-12,5660
2015-04-13,5705
2015-04-14,5759
2015-04-15,5815
2015-04-16,5812
2015-04-17,5782
2015-04-18,5764
2015-04-19,5718
2015-04-20,5703
2015-04-21,5618
2015-04-22,5617
2015-04-23,5587
2015-04-24,5636
2015-04-25,5635
2015-04-26,5664
2015-04-27,5735
2015-04-28,5753
2015-04-29,5793
2015-04-30,5778
2015-05-01,5773
2015-05-02,5758
2015-05-03,5720
2015-05-04,5717
2015-05-05,5642
2015-05-06,5623
2015-05-07,5574
2015-05-08,5566
2015-05-09,5576
2015-05-10,5499
2015-05-11,5439
2015-05-12,5387
2015-05-13,5341
2015-05-14,5382
2015-05-15,5459
2015-05-16,5444
2015-05-17,5444
2015-05-18,5456
2015-05-19,5448
2015-05-20,5387
2015-05-21,5391
2015-05-22,5400
2015-05-23,5334
2015-05-24,5297
2015-05-25,5259
2015-05-26,5224
2015-05-27,5226
2015-05-28,5271
2015-05-29,5359
2015-05-30,5381
2015-05-31,5381
2015-06-01,5434
2015-06-02,5471
2015-06-03,5459
2015-06-04,5573
2015-06-05,5612
2015-06-06,5655
2015-06-07,5720
2015-06-08,5764
2015-06-09,5783
2015-06-10,5872
2015-06-11,5974
2015-06-12,6002
2015-06-13,6104
2015-06-14,6175
2015-06-15,6187
2015-06-16,6227
2015-06-17,6253
2015-06-18,6270
2015-06-19,6342
2015-06-20,6386
2015-06-21,6379
2015-06-22,6357
2015-06-23,6277
2015-06-24,6218
2015-06-25,6067
2015-06-26,5935
2015-06-27,5747
2015-06-28,5631
2015-06-29,5602
2015-06-30,5580
2015-07-01,5550
2015-07-02,5729
2015-07-03,5790
2015-07-04,5915
2015-07-05,5889
2015-07-06,5895
2015-07-07,5853
2015-07-08,5939
2015-07-09,5984
2015-07-10,5995
2015-07-11,5988
2015-07-12,6014
2015-07-13,5963
2015-07-14,5879
2015-07-15,5853
2015-07-16,5831
2015-07-17,5821
2015-07-18,5781
2015-07-19,5817
2015-07-20,5839
2015-07-21,5930
2015-07-22,5962
2015-07-23,5970
2015-07-24,6019
2015-07-25,6064
2015-07-26,6100
2015-07-27,6064
2015-07-28,6070
2015-07-29,6105
2015-07-30,6153
2015-07-31,6171
2015-08-01,6177
2015-08-02,6142
2015-08-03,6078
2015-08-04,6155
2015-08-05,6142
2015-08-06,6240
2015-08-07,6286
2015-08-08,6263
2015-08-09,6237
2015-08-10,6255
2015-08-11,6250
2015-08-12,6238
2015-08-13,6225
2015-08-14,6219
2015-08-15,6242
2015-08-16,6318
2015-08-17,6342
2015-08-18,6532
2015-08-19,6698
2015-08-20,6836
2015-08-21,6876
2015-08-22,6867
2015-08-23,6916
2015-08-24,6909
2015-08-25,6945
2015-08-26,6915
2015-08-27,6918
2015-08-28,6974
2015-08-29,7265
2015-08-30,7394
2015-08-31,7420
2015-09-01,7429
2015-09-02,7494
2015-09-03,7683
2015-09-04,7736
2015-09-05,7583
2015-09-06,7523
2015-09-07,7420
2015-09-08,7373
2015-09-09,7277
2015-09-10,7295
2015-09-11,7214
2015-09-12,7177
2015-09-13,7083
2015-09-14,7029
2015-09-15,6971
2015-09-16,6932
2015-09-17,6855
2015-09-18,6839
2015-09-19,6884
2015-09-20,6917
2015-09-21,6860
2015-09-22,6873
2015-09-23,6887
2015-09-24,6972
2015-09-25,6978
2015-09-27,7140
2015-09-28,7114
2015-09-29,7265
2015-09-30,7490
2015-10-05,7334
2015-10-06,7344
2015-10-07,7393
2015-10-08,7484
2015-10-09,7482
2015-10-10,7482
2015-10-11,7492
2015-10-12,7483
2015-10-13,7502
2015-10-14,7519
2015-10-15,7587
2015-10-16,7599
2015-10-17,7658
2015-10-18,7627
2015-10-19,7681
2015-10-20,7727
