date_obj,Wyvern%20visage price
2017-09-07,16948666
2017-09-08,16948666
2017-09-09,16948666
2017-09-10,16948666
2017-09-11,16948666
2017-09-12,16948666
2017-09-13,17641874
2017-09-14,17641874
2017-09-15,17641874
2017-09-16,17641874
2017-09-17,17641874
2017-09-18,17641874
2017-09-19,17641874
2017-09-20,17641874
2017-09-21,17641874
2017-09-22,17641874
2017-09-23,17641874
2017-09-24,17641874
2017-09-25,17641874
2017-09-26,17641874
2017-09-27,17641874
2017-09-28,17641874
2017-09-29,17641874
2017-09-30,17641874
2017-10-01,17641874
2017-10-02,17641874
2017-10-03,17641874
2017-10-04,17641874
2017-10-05,17641874
2017-10-06,17641874
2017-10-07,18413491
2017-10-08,18413491
2017-10-09,18413491
2017-10-10,18413491
2017-10-11,18413491
2017-10-12,18413491
2017-10-13,18413491
2017-10-14,18413491
2017-10-15,18413491
2017-10-16,18413491
2017-10-17,18413491
2017-10-18,18413491
2017-10-19,18413491
2017-10-20,18413491
2017-10-21,18413491
2017-10-22,18413491
2017-10-23,18413491
2017-10-24,18413491
2017-10-25,18413491
2017-10-26,18413491
2017-10-27,18413491
2017-10-28,18413491
2017-10-29,18413491
2017-10-30,18413491
2017-10-31,18413491
2017-11-01,18413491
2017-11-02,18413491
2017-11-03,18413491
2017-11-04,18413491
2017-11-05,18413491
2017-11-06,18413491
2017-11-07,18413491
2017-11-08,18413491
2017-11-09,18413491
2017-11-10,18413491
2017-11-11,18413491
2017-11-12,18413491
2017-11-13,18413491
2017-11-14,18413491
2017-11-15,18413491
2017-11-16,18413491
2017-11-17,18413491
2017-11-18,18413491
2017-11-19,18413491
2017-11-20,18413491
2017-11-21,18413491
2017-11-22,18413491
2017-11-23,18413491
2017-11-24,18413491
2017-11-25,18413491
2017-11-26,18413491
2017-11-27,18413491
2017-11-28,18413491
2017-11-29,18413491
2017-11-30,18413491
2017-12-01,19219205
2017-12-02,19219205
2017-12-03,19219205
2017-12-04,19219205
2017-12-05,19219205
2017-12-06,19219205
2017-12-07,19219205
2017-12-08,19219205
2017-12-09,19219205
2017-12-10,19219205
2017-12-11,19219205
2017-12-12,19219205
2017-12-13,19219205
2017-12-14,19219205
2017-12-15,19219205
2017-12-16,19219205
2017-12-17,19219205
2017-12-18,19219205
2017-12-19,19219205
2017-12-20,19219205
2017-12-21,19219205
2017-12-22,19219205
2017-12-23,19219205
2017-12-24,19219205
2017-12-25,19219205
2017-12-26,19219205
2017-12-27,19219205
2017-12-28,19219205
2017-12-29,19219205
2017-12-30,19219205
2017-12-31,19219205
2018-01-01,20082367
2018-01-02,20082367
2018-01-03,20082367
2018-01-04,20082367
2018-01-05,20082367
2018-01-06,20082367
2018-01-07,20082367
2018-01-08,20082367
2018-01-09,20082367
2018-01-10,20082367
2018-01-11,20082367
2018-01-12,20082367
2018-01-13,20082367
2018-01-14,20082367
2018-01-15,20082367
2018-01-16,20082367
2018-01-17,20082367
2018-01-18,20082367
2018-01-19,20082367
2018-01-20,20082367
2018-01-21,20082367
2018-01-22,20082367
2018-01-23,20082367
