date_obj,Ring%20of%20suffering price
2016-05-05,28023361
2016-05-06,28023361
2016-05-07,28023361
2016-05-08,28023361
2016-05-09,28023361
2016-05-10,28023361
2016-05-11,28023361
2016-05-12,28023361
2016-05-13,28023361
2016-05-14,28023361
2016-05-15,28023361
2016-05-16,28023361
2016-05-17,28023361
2016-05-18,28023361
2016-05-19,26735110
2016-05-22,26735110
2016-05-23,26735110
2016-05-24,26735110
2016-05-25,26735110
2016-05-26,26735110
2016-05-27,26735110
2016-05-28,26735110
2016-05-29,26735110
2016-05-30,26735110
2016-05-31,26735110
2016-06-01,26735110
2016-06-02,26735110
2016-06-03,25398354
2016-06-04,25398354
2016-06-05,25398354
2016-06-06,25398354
2016-06-07,25398354
2016-06-08,25398354
2016-06-09,25398354
2016-06-10,25398354
2016-06-11,25398354
2016-06-12,25398354
2016-06-13,25398354
2016-06-14,25398354
2016-06-15,25398354
2016-06-16,24135922
2016-06-17,24135922
2016-06-18,24135922
2016-06-19,24135922
2016-06-20,22929125
2016-06-21,22929125
2016-06-22,22929125
2016-06-23,22929125
2016-06-24,22929125
2016-06-25,21789888
2016-06-26,21789888
2016-06-27,21789888
2016-06-28,21789888
2016-06-29,21789888
2016-06-30,20700393
2016-07-01,20700393
2016-07-02,20700393
2016-07-03,20700393
2016-07-04,19665373
2016-07-05,19665373
2016-07-06,19665373
2016-07-07,19665373
2016-07-08,19665373
2016-07-09,19665373
2016-07-10,18690970
2016-07-11,18690970
2016-07-12,18690970
2016-07-13,18690970
2016-07-14,18690970
2016-07-15,18690970
2016-07-16,18690970
2016-07-17,18079667
2016-07-18,18079667
2016-07-23,18079667
2016-07-24,18159003
2016-07-25,18159003
2016-07-26,18159003
2016-07-27,18159003
2016-07-28,18159003
2016-07-29,18159003
2016-07-30,18565525
2016-07-31,18565525
2016-08-01,18565525
2016-08-02,18565525
2016-08-03,18565525
2016-08-04,19246344
2016-08-05,19246344
2016-08-06,19246344
2016-08-07,19246344
2016-08-08,19246344
2016-08-09,18751789
2016-08-10,18751789
2016-08-11,19194066
2016-08-12,19194066
2016-08-13,19194066
2016-08-14,19276212
2016-08-15,19276212
2016-08-16,18864811
2016-08-17,18864811
2016-08-18,18864811
2016-08-19,18219953
2016-08-20,18219953
2016-08-21,18219953
2016-08-22,17480314
2016-08-23,17480314
2016-08-24,17325092
2016-08-25,17939643
2016-08-26,17939643
2016-08-28,18269030
2016-08-31,18392345
2016-09-01,18573381
2016-09-02,18573381
2016-09-03,18651831
2016-09-04,18960772
2016-09-05,18458936
2016-09-06,18458936
2016-09-07,18517817
2016-09-08,18517817
2016-09-09,18057165
2016-09-10,17523886
2016-09-11,17523886
2016-09-12,16790888
2016-09-13,16063682
2016-09-14,16063682
2016-09-15,15798797
2016-09-16,15798797
2016-09-17,16325729
2016-09-18,16325729
2016-09-19,16797337
2016-09-20,16797337
2016-09-21,16771216
2016-09-22,16701697
2016-09-23,16701697
2016-09-24,16690042
2016-09-25,16690042
2016-09-26,16726341
2016-09-27,16726341
2016-09-28,16426168
2016-09-29,16426168
2016-09-30,15956806
2016-10-01,15956806
2016-10-02,16102328
2016-10-03,16102328
2016-10-04,15766383
2016-10-05,15766383
2016-10-06,15388243
2016-10-07,15388243
2016-10-08,15399589
2016-10-09,15399589
2016-10-10,15610169
2016-10-11,15610169
2016-10-12,15624221
2016-10-13,15624221
2016-10-14,15807078
2016-10-15,15807078
2016-10-16,15871443
2016-10-17,15896648
2016-10-18,15896648
2016-10-19,15924649
2016-10-20,15924649
2016-10-21,16201813
2016-10-22,16201813
2016-10-23,16316494
2016-10-24,16236470
2016-10-25,16236470
2016-10-26,16368575
2016-10-27,16368575
2016-10-28,16257800
2016-10-29,16174231
2016-10-30,16174231
2016-10-31,15717968
2016-11-01,15717968
2016-11-02,15408464
2016-11-03,15408464
2016-11-04,15721147
2016-11-05,15721147
2016-11-06,15914979
2016-11-07,15914979
2016-11-08,15620433
2016-11-09,15359244
2016-11-10,14985391
2016-11-11,14985391
2016-11-12,14642970
2016-11-13,14642970
2016-11-14,14711857
2016-12-08,15128463
2016-12-09,14700787
