date_obj,Magic%20pyre%20logs price
2015-03-26,11700
2015-03-27,11700
2015-03-28,11700
2015-03-29,11700
2015-03-30,11700
2015-03-31,11700
2015-04-01,11700
2015-04-02,11700
2015-04-03,11700
2015-04-04,11700
2015-04-05,11700
2015-04-06,11700
2015-04-07,11700
2015-04-08,11700
2015-04-09,11700
2015-04-10,11700
2015-04-11,11700
2015-04-12,11700
2015-04-13,11122
2015-04-14,11122
2015-04-15,11122
2015-04-16,11122
2015-04-17,11122
2015-04-18,11122
2015-04-19,11122
2015-04-20,11122
2015-04-21,11122
2015-04-22,11122
2015-04-23,11122
2015-04-24,11122
2015-04-25,11122
2015-04-26,11122
2015-04-27,11122
2015-04-28,10567
2015-04-29,10567
2015-04-30,10567
2015-05-01,10567
2015-05-02,10567
2015-05-03,10567
2015-05-04,10567
2015-05-05,10567
2015-05-06,10567
2015-05-07,10567
2015-05-08,10567
2015-05-09,10567
2015-05-10,10567
2015-05-11,10567
2015-05-12,10567
2015-05-13,10567
2015-05-14,10567
2015-05-15,10567
2015-05-16,10567
2015-05-17,10567
2015-05-18,10567
2015-05-19,10567
2015-05-20,10567
2015-05-21,10567
2015-05-22,10567
2015-05-23,10567
2015-05-24,10567
2015-05-25,10567
2015-05-26,10567
2015-05-27,10045
2015-05-28,10045
2015-05-29,10045
2015-05-30,10045
2015-05-31,10045
2015-06-01,10045
2015-06-02,10045
2015-06-03,10045
2015-06-04,10045
2015-06-05,10045
2015-06-06,10045
2015-06-07,10045
2015-06-08,10045
2015-06-09,10045
2015-06-10,10045
2015-06-11,10045
2015-06-12,10045
2015-06-13,10045
2015-06-14,10045
2015-06-15,10045
2015-06-16,10045
2015-06-17,10045
2015-06-18,9545
2015-06-19,9545
2015-06-20,9545
2015-06-21,9545
2015-06-22,9545
2015-06-23,9545
2015-06-24,9545
2015-06-25,9545
2015-06-26,9545
2015-06-27,9545
2015-06-28,9545
2015-06-29,9545
2015-06-30,9545
2015-07-01,9545
2015-07-02,9545
2015-07-03,9545
2015-07-04,9545
2015-07-05,9545
2015-07-06,9545
2015-07-07,9545
2015-07-08,9545
2015-07-09,9545
2015-07-10,9545
2015-07-11,9545
2015-07-12,9070
2015-07-13,9070
2015-07-14,9070
2015-07-15,9070
2015-07-16,9070
2015-07-17,9070
2015-07-18,9070
2015-07-19,9070
2015-07-20,9070
2015-07-21,9070
2015-07-22,9070
2015-07-23,9070
2015-07-24,9070
2015-07-25,9070
2015-07-26,9070
2015-07-27,9070
2015-07-28,9070
2015-07-29,9070
2015-07-30,9070
2015-07-31,8624
2015-08-01,8624
2015-08-02,8624
2015-08-03,8624
2015-08-04,8624
2015-08-05,8624
2015-08-06,8624
2015-08-07,8624
