date_obj,Lantadyme price
2015-03-26,905
2015-03-27,905
2015-03-28,929
2015-03-29,929
2015-03-30,929
2015-03-31,952
2015-04-01,952
2015-04-02,952
2015-04-03,1000
2015-04-04,1000
2015-04-05,1000
2015-04-06,1007
2015-04-07,1007
2015-04-08,1007
2015-04-09,1007
2015-04-10,1020
2015-04-11,1020
2015-04-12,1020
2015-04-13,1027
2015-04-14,1027
2015-04-15,1027
2015-04-16,1027
2015-04-17,988
2015-04-18,988
2015-04-19,988
2015-04-20,988
2015-04-21,949
2015-04-22,949
2015-04-23,949
2015-04-24,949
2015-04-25,953
2015-04-26,953
2015-04-27,953
2015-04-28,953
2015-04-29,938
2015-04-30,938
2015-05-01,938
2015-05-02,938
2015-05-03,925
2015-05-04,925
2015-05-05,925
2015-05-06,925
2015-05-07,912
2015-05-08,912
2015-05-09,912
2015-05-10,912
2015-05-11,912
2015-05-12,939
2015-05-13,939
2015-05-14,939
2015-05-15,939
2015-05-16,939
2015-05-17,915
2015-05-18,915
2015-05-19,915
2015-05-20,915
2015-05-21,915
2015-05-22,918
2015-05-23,918
2015-05-24,918
2015-05-25,918
2015-05-26,943
2015-05-27,943
2015-05-28,943
2015-05-29,943
2015-05-30,991
2015-05-31,991
2015-06-01,991
2015-06-02,991
2015-06-03,1002
2015-06-04,1002
2015-06-05,1002
2015-06-06,1002
2015-06-07,988
2015-06-08,988
2015-06-09,988
2015-06-10,988
2015-06-11,1026
2015-06-12,1026
2015-06-13,1026
2015-06-14,1026
2015-06-15,1023
2015-06-16,1023
2015-06-17,1023
2015-06-18,1023
2015-06-19,1028
2015-06-20,1028
2015-06-21,1028
2015-06-22,1028
2015-06-23,1034
2015-06-24,1034
2015-06-25,1034
2015-06-26,1034
2015-06-27,1070
2015-06-28,1070
2015-06-29,1070
2015-06-30,1070
2015-07-01,1119
2015-07-02,1119
2015-07-03,1119
2015-07-04,1119
2015-07-05,1159
2015-07-06,1159
2015-07-07,1159
2015-07-08,1159
2015-07-09,1159
2015-07-10,1170
2015-07-11,1170
2015-07-12,1170
2015-07-13,1170
2015-07-14,1170
2015-07-15,1149
2015-07-16,1149
2015-07-17,1149
2015-07-18,1149
2015-07-19,1149
2015-07-20,1143
2015-07-21,1143
2015-07-22,1143
2015-07-23,1143
2015-07-24,1126
2015-07-25,1126
2015-07-26,1126
2015-07-27,1126
2015-07-28,1108
2015-07-29,1108
2015-07-30,1108
2015-07-31,1108
2015-08-01,1137
2015-08-02,1137
2015-08-03,1137
2015-08-04,1137
2015-08-05,1174
2015-08-06,1174
2015-08-07,1174
2015-08-08,1174
2015-08-09,1159
2015-08-10,1159
2015-08-11,1159
2015-08-12,1159
2015-08-13,1159
2015-08-14,1159
2015-08-15,1176
2015-08-16,1176
2015-08-17,1176
2015-08-18,1176
2015-08-19,1176
2015-08-20,1176
2015-08-21,1197
2015-08-22,1197
2015-08-23,1197
2015-08-24,1197
2015-08-25,1197
2015-08-26,1197
2015-08-27,1200
2015-08-28,1200
2015-08-29,1200
2015-08-30,1200
2015-08-31,1200
2015-09-01,1200
2015-09-02,1200
2015-09-03,1245
2015-09-04,1245
2015-09-05,1245
2015-09-06,1245
2015-09-07,1245
2015-09-08,1245
2015-09-09,1264
2015-09-10,1264
2015-09-11,1264
2015-09-12,1264
2015-09-13,1264
2015-09-14,1264
2015-09-15,1241
2015-09-16,1241
2015-09-17,1241
2015-09-18,1241
2015-09-19,1241
2015-09-20,1241
2015-09-21,1241
2015-09-22,1186
2015-09-23,1186
2015-09-24,1186
2015-09-25,1186
2015-09-27,1186
2015-09-28,1186
2015-09-29,1151
2015-09-30,1151
2015-10-05,1151
2015-10-06,1205
2015-10-07,1205
2015-10-08,1205
2015-10-09,1205
2015-10-10,1205
2015-10-11,1205
2015-10-12,1245
2015-10-13,1245
2015-10-14,1245
2015-10-15,1245
2015-10-16,1245
2015-10-17,1245
2015-10-18,1245
2015-10-19,1300
2015-10-20,1300
2015-10-22,1300
2015-10-23,1300
2015-10-24,1300
2015-10-25,1365
2015-10-26,1365
2015-10-27,1365
2015-10-29,1365
2015-10-30,1365
2015-10-31,1365
2015-11-01,1428
2015-11-02,1428
2015-11-03,1428
2015-11-04,1428
2015-11-05,1428
2015-11-06,1428
2015-11-07,1498
2015-11-08,1498
2015-11-09,1498
2015-11-10,1498
2015-11-11,1498
2015-11-12,1498
2015-11-13,1498
2015-11-14,1498
2015-11-15,1572
2015-11-16,1572
2015-11-17,1572
2015-11-18,1572
2015-11-19,1572
2015-11-20,1572
2015-11-21,1572
2015-11-22,1651
2015-11-23,1651
2015-11-24,1651
2015-11-25,1651
2015-11-26,1651
2015-11-27,1651
2015-11-28,1651
2015-11-29,1732
2015-11-30,1732
2015-12-01,1732
2015-12-02,1732
2015-12-03,1732
2015-12-04,1732
2015-12-05,1732
2015-12-06,1815
2015-12-07,1815
2015-12-08,1815
2015-12-09,1815
2015-12-10,1815
2015-12-11,1815
2015-12-12,1851
2015-12-13,1851
2015-12-14,1851
2015-12-15,1851
2015-12-16,1851
2015-12-17,1851
2015-12-18,1917
2015-12-19,1917
2015-12-20,1917
2015-12-21,1917
2015-12-22,1917
2015-12-23,1917
2015-12-24,1963
2015-12-25,1963
2015-12-26,1963
2015-12-27,1963
