date_obj,Nature%20rune price
2015-03-26,284
2015-03-27,282
2015-03-28,281
2015-03-29,278
2015-03-30,274
2015-03-31,272
2015-04-01,265
2015-04-02,265
2015-04-03,269
2015-04-04,270
2015-04-05,271
2015-04-06,272
2015-04-07,274
2015-04-08,275
2015-04-09,274
2015-04-10,273
2015-04-11,271
2015-04-12,270
2015-04-13,271
2015-04-14,274
2015-04-15,276
2015-04-16,276
2015-04-17,275
2015-04-18,276
2015-04-19,275
2015-04-20,275
2015-04-21,274
2015-04-22,275
2015-04-23,275
2015-04-24,273
2015-04-25,271
2015-04-26,268
2015-04-27,267
2015-04-28,269
2015-04-29,271
2015-04-30,271
2015-05-01,270
2015-05-02,269
2015-05-03,270
2015-05-04,271
2015-05-05,274
2015-05-06,275
2015-05-07,276
2015-05-08,275
2015-05-09,272
2015-05-10,270
2015-05-11,271
2015-05-12,272
2015-05-13,272
2015-05-14,271
2015-05-15,270
2015-05-16,270
2015-05-17,269
2015-05-18,271
2015-05-19,271
2015-05-20,270
2015-05-21,269
2015-05-22,269
2015-05-23,269
2015-05-24,269
2015-05-25,270
2015-05-26,270
2015-05-27,269
2015-05-28,268
2015-05-29,267
2015-05-30,264
2015-05-31,262
2015-06-01,259
2015-06-02,259
2015-06-03,257
2015-06-04,254
2015-06-05,256
2015-06-06,255
2015-06-07,254
2015-06-08,253
2015-06-09,252
2015-06-10,248
2015-06-11,246
2015-06-12,240
2015-06-13,237
2015-06-14,235
2015-06-15,240
2015-06-16,247
2015-06-17,249
2015-06-18,250
2015-06-19,247
2015-06-20,247
2015-06-21,246
2015-06-22,247
2015-06-23,250
2015-06-24,251
2015-06-25,252
2015-06-26,252
2015-06-27,250
2015-06-28,249
2015-06-29,249
2015-06-30,250
2015-07-01,251
2015-07-02,251
2015-07-03,249
2015-07-04,246
2015-07-05,244
2015-07-06,244
2015-07-07,246
2015-07-08,249
2015-07-09,252
2015-07-10,252
2015-07-11,253
2015-07-12,252
2015-07-13,251
2015-07-14,253
2015-07-15,252
2015-07-16,253
2015-07-17,253
2015-07-18,252
2015-07-19,249
2015-07-20,249
2015-07-21,251
2015-07-22,251
2015-07-23,252
2015-07-24,251
2015-07-25,249
2015-07-26,247
2015-07-27,247
2015-07-28,248
2015-07-29,252
2015-07-30,253
2015-07-31,252
2015-08-01,249
2015-08-02,246
2015-08-03,243
2015-08-04,246
2015-08-05,248
2015-08-06,249
2015-08-07,249
2015-08-08,250
2015-08-09,249
2015-08-10,251
2015-08-11,252
2015-08-12,253
2015-08-13,252
2015-08-14,251
2015-08-15,248
2015-08-16,247
2015-08-17,248
2015-08-18,249
2015-08-19,250
2015-08-20,249
2015-08-21,248
2015-08-22,248
2015-08-23,248
2015-08-24,248
2015-08-25,248
2015-08-26,248
2015-08-27,247
2015-08-28,246
2015-08-29,243
2015-08-30,240
2015-08-31,240
2015-09-01,244
2015-09-02,243
2015-09-03,243
2015-09-04,242
2015-09-05,238
2015-09-06,234
2015-09-07,230
2015-09-08,230
2015-09-09,234
2015-09-10,244
2015-09-11,249
2015-09-12,247
2015-09-13,243
2015-09-14,241
2015-09-15,239
2015-09-16,238
2015-09-17,236
2015-09-18,236
2015-09-19,236
2015-09-20,236
2015-09-21,240
2015-09-22,241
2015-09-23,240
2015-09-24,241
2015-09-25,240
2015-09-27,232
2015-09-28,236
2015-09-29,237
2015-09-30,239
2015-10-05,241
2015-10-06,241
2015-10-07,241
2015-10-08,240
2015-10-09,238
2015-10-10,237
