date_obj,Guthix%20page%203 price
2015-03-26,19310
2015-03-27,19310
2015-03-28,19418
2015-03-29,19687
2015-03-30,19687
2015-03-31,19857
2015-04-01,19857
2015-04-02,20094
2015-04-03,20094
2015-04-04,20683
2015-04-05,20683
2015-04-06,21670
2015-04-07,21670
2015-04-08,22752
2015-04-09,22752
2015-04-10,23849
2015-04-11,23849
2015-04-12,24861
2015-04-13,24861
2015-04-14,26105
2015-04-15,26105
2015-04-16,27237
2015-04-17,27237
2015-04-18,28125
2015-04-19,28125
2015-04-20,29297
2015-04-21,29297
2015-04-22,30356
2015-04-23,30356
2015-04-24,30218
2015-04-25,30218
2015-04-26,29793
2015-04-27,29793
2015-04-28,30675
2015-04-29,30675
2015-04-30,31433
2015-05-01,31433
2015-05-02,31625
2015-05-03,31625
2015-05-04,31719
2015-05-05,31719
2015-05-06,30704
2015-05-07,30704
2015-05-08,29748
2015-05-09,29748
2015-05-10,28564
2015-05-11,28564
2015-05-12,27369
2015-05-13,27369
2015-05-14,26179
2015-05-15,26179
2015-05-16,24956
2015-05-17,24366
2015-05-18,24366
2015-05-19,23641
2015-05-20,23641
2015-05-21,23641
2015-05-22,22824
2015-05-23,22824
2015-05-24,22918
2015-05-25,22918
2015-05-26,23612
2015-05-27,23612
2015-05-28,23142
2015-05-29,23058
2015-05-30,22819
2015-05-31,22819
2015-06-01,22655
2015-06-02,22655
2015-06-03,22793
2015-06-04,22793
2015-06-05,23222
2015-06-06,23764
2015-06-07,23764
2015-06-08,24123
2015-06-09,24221
2015-06-10,24238
2015-06-11,24238
2015-06-12,25273
2015-06-13,26004
2015-06-14,26004
2015-06-15,26359
2015-06-16,27423
2015-06-17,27423
2015-06-18,28646
2015-06-19,28646
2015-06-20,29679
2015-06-21,29679
2015-06-22,30752
2015-06-23,30752
2015-06-24,31967
2015-06-25,31967
2015-06-26,33148
2015-06-27,33148
2015-06-28,34641
2015-06-29,34641
2015-06-30,36358
2015-07-01,37960
2015-07-02,37960
2015-07-03,39724
2015-07-04,39724
2015-07-05,41359
2015-07-06,41359
2015-07-07,43375
2015-07-08,45388
2015-07-09,45388
2015-07-10,47607
2015-07-11,47607
2015-07-12,49811
2015-07-13,51852
2015-07-14,51852
2015-07-15,53003
2015-07-16,53003
2015-07-17,54013
2015-07-18,54013
2015-07-19,53911
2015-07-20,53690
2015-07-21,53690
2015-07-22,53085
2015-07-23,53085
2015-07-24,54240
2015-07-25,54240
2015-07-26,54665
2015-07-27,54665
2015-07-28,54009
2015-07-29,53622
2015-07-30,53622
2015-07-31,53012
2015-08-01,53012
2015-08-02,54139
2015-08-03,54139
2015-08-04,54423
2015-08-05,53936
2015-08-06,53936
2015-08-07,53750
2015-08-08,53750
2015-08-09,52548
2015-08-10,52548
2015-08-11,51475
2015-08-12,51475
2015-08-13,51756
2015-08-14,53393
2015-08-15,53393
2015-08-16,55364
2015-08-17,56889
2015-08-18,56889
2015-08-19,58744
2015-08-20,58744
2015-08-21,58847
2015-08-22,58847
2015-08-23,58622
2015-08-24,58009
2015-08-25,58009
2015-08-26,58899
2015-08-27,60083
2015-08-28,60083
2015-08-29,59260
2015-08-30,59260
2015-08-31,58183
2015-09-01,58183
2015-09-02,58012
2015-09-03,58012
2015-09-04,56776
2015-09-05,56776
2015-09-06,54734
2015-09-07,54734
2015-09-08,52633
2015-09-09,52633
2015-09-10,51090
2015-09-11,51090
2015-09-12,49228
2015-09-13,49228
2015-09-14,47115
2015-09-15,47115
2015-09-16,45337
2015-09-17,45337
2015-09-18,43322
2015-09-19,43322
2015-09-20,41228
2015-09-21,41228
2015-09-22,39181
2015-09-23,37479
2015-09-24,37479
2015-09-25,37479
2015-09-27,35654
2015-09-28,33871
2015-09-29,33871
2015-09-30,32248
2015-10-05,30215
2015-10-06,29683
2015-10-07,29683
2015-10-08,29202
2015-10-09,28521
2015-10-10,28521
2015-10-11,29214
2015-10-12,29214
2015-10-13,30563
2015-10-14,30563
2015-10-15,32076
2015-10-16,32076
2015-10-17,33680
2015-10-18,33680
2015-10-19,35283
2015-10-20,35283
2015-10-22,37048
2015-10-23,38861
2015-10-24,38861
2015-10-25,40805
2015-10-26,40805
2015-10-27,42557
2015-10-29,44623
2015-10-30,44623
2015-10-31,46513
2015-11-01,46513
2015-11-02,48541
2015-11-03,48541
2015-11-04,50778
2015-11-05,50778
2015-11-06,53222
2015-11-07,53222
2015-11-08,55884
2015-11-09,55884
2015-11-10,58679
2015-11-11,58679
2015-11-12,61613
2015-11-13,61613
2015-11-14,61613
