date_obj,3rd%20age%20range%20coif price
2015-03-26,5107775
2015-03-27,4960484
2015-03-28,4960484
2015-03-29,4960484
2015-03-30,4960484
2015-03-31,4960484
2015-04-01,4960484
2015-04-02,4960484
2015-04-03,4960484
2015-04-04,4960484
2015-04-05,4960484
2015-04-06,4960484
2015-04-07,5143865
2015-04-08,5143865
2015-04-09,5143865
2015-04-10,5143865
2015-04-11,5143865
2015-04-12,5143865
2015-04-13,5143865
2015-04-14,5143865
2015-04-15,5143865
2015-04-16,5143865
2015-04-17,5143865
2015-04-18,5349884
2015-04-19,5349884
2015-04-20,5349884
2015-04-21,5349884
2015-04-22,5349884
2015-04-23,5349884
2015-04-24,5349884
2015-04-25,5349884
2015-04-26,5349884
2015-04-27,5349884
2015-04-28,5349884
2015-04-29,5349884
2015-04-30,5496599
2015-05-01,5496599
2015-05-02,5496599
2015-05-03,5496599
2015-05-04,5496599
2015-05-05,5496599
2015-05-06,5496599
2015-05-07,5496599
2015-05-08,5496599
2015-05-09,5496599
2015-05-10,5673594
2015-05-11,5673594
2015-05-12,5673594
2015-05-13,5673594
2015-05-14,5673594
2015-05-15,5673594
2015-05-16,5673594
2015-05-17,5673594
2015-05-18,5673594
2015-05-19,5577496
2015-05-20,5577496
2015-05-21,5577496
2015-05-22,5577496
2015-05-23,5577496
2015-05-24,5577496
2015-05-25,5577496
2015-05-26,5577496
2015-05-27,5577496
2015-05-28,5588320
2015-05-29,5588320
2015-05-30,5588320
2015-05-31,5588320
2015-06-01,5588320
2015-06-02,5588320
2015-06-03,5588320
2015-06-04,5588320
2015-06-05,5565706
2015-06-06,5565706
2015-06-07,5565706
2015-06-08,5565706
2015-06-09,5565706
2015-06-10,5565706
2015-06-11,5565706
2015-06-12,5565706
2015-06-13,5565706
2015-06-14,5632402
2015-06-15,5632402
2015-06-16,5632402
2015-06-17,5632402
2015-06-18,5632402
2015-06-19,5632402
2015-06-20,5632402
2015-06-21,5632402
2015-06-22,5632402
2015-06-23,5850243
2015-06-24,5850243
2015-06-25,5850243
2015-06-26,5850243
2015-06-27,5850243
2015-06-28,5850243
2015-06-29,5850243
2015-06-30,5850243
2015-07-01,5850243
2015-07-02,6083553
2015-07-03,6083553
2015-07-04,6083553
2015-07-05,6083553
2015-07-06,6083553
2015-07-07,6083553
2015-07-08,6083553
2015-07-09,6083553
2015-07-10,6083553
2015-07-11,6083553
2015-07-12,6033603
2015-07-13,6033603
2015-07-14,6033603
2015-07-15,6033603
2015-07-16,6033603
2015-07-17,6033603
2015-07-18,6033603
2015-07-19,6033603
2015-07-20,6033603
2015-07-21,6238591
2015-07-22,6238591
2015-07-23,6238591
2015-07-24,6238591
2015-07-25,6238591
2015-07-26,6238591
2015-07-27,6238591
2015-07-28,6238591
2015-07-29,6424059
2015-07-30,6424059
2015-07-31,6424059
2015-08-01,6424059
2015-08-02,6424059
2015-08-03,6424059
2015-08-04,6424059
2015-08-05,6424059
2015-08-06,6576754
2015-08-07,6576754
2015-08-08,6576754
2015-08-09,6576754
2015-08-10,6576754
2015-08-11,6576754
2015-08-12,6765139
2015-08-13,6765139
2015-08-14,6765139
2015-08-15,6765139
2015-08-16,6765139
2015-08-17,6765139
2015-08-18,6765139
2015-08-19,6765139
2015-08-20,6750069
2015-08-21,6750069
2015-08-22,6750069
2015-08-23,6750069
2015-08-24,6750069
2015-08-25,6750069
2015-08-26,6750069
2015-08-27,6750069
2015-08-28,6750069
2015-08-29,6893579
2015-08-30,6893579
2015-08-31,6893579
2015-09-01,6893579
2015-09-02,6893579
2015-09-03,6893579
2015-09-04,6893579
2015-09-05,6893579
2015-09-06,6893579
2015-09-07,6836614
2015-09-08,6836614
2015-09-09,6836614
2015-09-10,6836614
2015-09-11,6836614
2015-09-12,6836614
2015-09-13,6836614
2015-09-14,6836614
2015-09-15,6836614
2015-09-16,6719192
2015-09-17,6719192
2015-09-18,6719192
2015-09-19,6719192
2015-09-20,6719192
2015-09-21,6719192
2015-09-22,6719192
2015-09-23,6594296
2015-09-24,6594296
2015-09-25,6594296
2015-09-27,6594296
2015-09-28,6594296
2015-09-29,6594296
2015-09-30,6594296
2015-10-05,6450648
2015-10-06,6450648
2015-10-07,6450648
2015-10-08,6450648
2015-10-09,6450648
2015-10-10,6450648
2015-10-11,6667983
2015-10-12,6667983
