date_obj,Incomplete%20heavy%20ballista price
2016-05-05,55000000
2016-05-06,55000000
2016-05-07,55000000
2016-05-08,55000000
2016-05-09,55000000
2016-05-10,55000000
2016-05-11,55000000
2016-05-12,55000000
2016-05-13,55000000
2016-05-14,55000000
2016-05-15,55000000
2016-05-16,55000000
2016-05-17,55000000
2016-05-18,11500000
2016-05-19,11500000
2016-05-22,11500000
2016-05-23,11500000
2016-05-24,11500000
2016-05-25,11500000
2016-05-26,11500000
2016-05-27,11500000
2016-05-28,11500000
2016-05-29,11500000
2016-05-30,11500000
2016-05-31,11500000
2016-06-01,11500000
2016-06-02,11500000
2016-06-03,11500000
2016-06-04,11500000
2016-06-05,11500000
2016-06-06,11500000
2016-06-07,11500000
2016-06-08,11500000
2016-06-09,11500000
2016-06-10,11500000
2016-06-11,11500000
2016-06-12,11500000
2016-06-13,11500000
2016-06-14,11500000
2016-06-15,11500000
2016-06-16,11500000
2016-06-17,11500000
2016-06-18,11500000
2016-06-19,11500000
2016-06-20,11500000
2016-06-21,11500000
2016-06-22,11500000
2016-06-23,11500000
2016-06-24,11500000
2016-06-25,11500000
2016-06-26,11500000
2016-06-27,11500000
2016-06-28,11500000
2016-06-29,11500000
2016-06-30,11500000
2016-07-01,11500000
2016-07-02,11500000
2016-07-03,11500000
2016-07-04,11500000
2016-07-05,11500000
2016-07-06,11500000
2016-07-07,11500000
2016-07-08,11500000
2016-07-09,11500000
2016-07-10,11500000
2016-07-11,11500000
2016-07-12,11500000
2016-07-13,11500000
2016-07-14,11500000
2016-07-15,11500000
2016-07-16,11500000
2016-07-17,11500000
2016-07-18,11500000
2016-07-23,11500000
2016-07-24,11500000
2016-07-25,11500000
2016-07-26,11500000
2016-07-27,11500000
2016-07-28,11500000
2016-07-29,11500000
2016-07-30,11500000
2016-07-31,11500000
2016-08-01,11500000
2016-08-02,11500000
2016-08-03,11500000
2016-08-04,11500000
2016-08-05,11500000
2016-08-06,11500000
2016-08-07,11500000
2016-08-08,11500000
2016-08-09,11500000
2016-08-10,11500000
2016-08-11,11500000
2016-08-12,11500000
2016-08-13,11500000
2016-08-14,11500000
2016-08-15,11500000
2016-08-16,11500000
2016-08-17,11500000
2016-08-18,11500000
2016-08-19,11500000
2016-08-20,11500000
2016-08-21,11500000
2016-08-22,11500000
2016-08-23,11500000
2016-08-24,11500000
2016-08-25,11500000
2016-08-26,11500000
2016-08-28,11500000
2016-08-31,11500000
2016-09-01,11500000
2016-09-02,11500000
2016-09-03,11500000
2016-09-04,11500000
2016-09-05,11500000
2016-09-06,11500000
2016-09-07,11500000
2016-09-08,11500000
2016-09-09,11500000
2016-09-10,11500000
2016-09-11,11500000
2016-09-12,11500000
2016-09-13,11500000
2016-09-14,11500000
2016-09-15,11500000
2016-09-16,11500000
2016-09-17,11500000
2016-09-18,11500000
2016-09-19,11500000
2016-09-20,11500000
2016-09-21,11500000
2016-09-22,11500000
2016-09-23,11500000
2016-09-24,11500000
2016-09-25,11500000
2016-09-26,11500000
2016-09-27,11500000
2016-09-28,11500000
2016-09-29,11500000
2016-09-30,11500000
