date_obj,Goblin%20mail price
2015-03-26,557
2015-03-27,557
2015-03-28,529
2015-03-29,506
2015-03-30,495
2015-03-31,475
2015-04-01,475
2015-04-02,463
2015-04-03,451
2015-04-04,435
2015-04-05,414
2015-04-06,403
2015-04-07,393
2015-04-08,393
2015-04-09,382
2015-04-10,377
2015-04-11,369
2015-04-12,368
2015-04-13,375
2015-04-14,375
2015-04-15,382
2015-04-16,375
2015-04-17,359
2015-04-18,343
2015-04-19,333
2015-04-20,333
2015-04-21,318
2015-04-22,305
2015-04-23,289
2015-04-24,278
2015-04-25,265
2015-04-26,251
2015-04-27,242
2015-04-28,235
2015-04-29,235
2015-04-30,229
2015-05-01,224
2015-05-02,220
2015-05-03,220
2015-05-04,216
2015-05-05,215
2015-05-06,216
2015-05-07,214
2015-05-08,216
2015-05-09,215
2015-05-10,217
2015-05-11,217
2015-05-12,217
2015-05-13,217
2015-05-14,221
2015-05-15,221
2015-05-16,225
2015-05-17,225
2015-05-18,217
2015-05-19,216
2015-05-20,216
2015-05-21,217
2015-05-22,222
2015-05-23,222
2015-05-24,218
2015-05-25,218
2015-05-26,219
2015-05-27,219
2015-05-28,216
2015-05-29,216
2015-05-30,217
2015-05-31,221
2015-06-01,222
2015-06-02,222
2015-06-03,226
2015-06-04,229
2015-06-05,228
2015-06-06,227
2015-06-07,227
2015-06-08,224
2015-06-09,221
2015-06-10,218
2015-06-11,212
2015-06-12,217
2015-06-13,220
2015-06-14,221
2015-06-15,225
2015-06-16,227
2015-06-17,230
2015-06-18,228
2015-06-19,232
2015-06-20,236
2015-06-21,237
2015-06-22,238
2015-06-23,239
2015-06-24,236
2015-06-25,236
2015-06-26,232
2015-06-27,232
2015-06-28,229
2015-06-29,227
2015-06-30,229
2015-07-01,232
2015-07-02,232
2015-07-03,234
2015-07-04,234
2015-07-05,231
2015-07-06,223
2015-07-07,221
2015-07-08,219
2015-07-09,219
2015-07-10,217
2015-07-11,217
2015-07-12,216
2015-07-13,215
2015-07-14,210
2015-07-15,206
2015-07-16,205
2015-07-17,198
2015-07-18,193
2015-07-19,191
2015-07-20,189
2015-07-21,184
2015-07-22,183
2015-07-23,183
2015-07-24,184
2015-07-25,184
2015-07-26,183
2015-07-27,177
2015-07-28,178
2015-07-29,181
2015-07-30,183
2015-07-31,185
2015-08-01,189
2015-08-02,193
2015-08-03,195
2015-08-04,195
2015-08-05,192
2015-08-06,194
2015-08-07,197
2015-08-08,197
2015-08-09,195
2015-08-10,195
2015-08-11,195
2015-08-12,195
2015-08-13,195
2015-08-14,197
2015-08-15,199
2015-08-16,198
2015-08-17,198
2015-08-18,197
2015-08-19,197
2015-08-20,193
2015-08-21,196
2015-08-22,196
2015-08-23,195
2015-08-24,196
2015-08-25,196
2015-08-26,197
2015-08-27,198
2015-08-28,199
2015-08-29,199
2015-08-30,201
2015-08-31,202
2015-09-01,204
2015-09-02,204
2015-09-03,202
2015-09-04,199
2015-09-05,199
2015-09-06,198
2015-09-07,199
2015-09-08,200
2015-09-09,199
2015-09-10,200
2015-09-11,202
2015-09-12,201
2015-09-13,201
2015-09-14,200
2015-09-15,203
2015-09-16,203
2015-09-17,204
2015-09-18,205
2015-09-19,203
2015-09-20,205
2015-09-21,207
2015-09-22,209
2015-09-23,210
2015-09-24,210
2015-09-25,209
2015-09-27,212
2015-09-28,214
2015-09-29,215
2015-09-30,212
2015-10-05,205
2015-10-06,204
2015-10-07,202
2015-10-08,202
2015-10-09,202
2015-10-10,202
2015-10-11,201
2015-10-12,201
2015-10-13,201
2015-10-14,201
2015-10-15,199
2015-10-16,202
2015-10-17,202
2015-10-18,199
2015-10-19,198
2015-10-20,199
2015-10-22,194
2015-10-23,193
2015-10-24,188
2015-10-25,187
2015-10-26,184
2015-10-27,184
2015-10-29,182
2015-10-30,184
2015-10-31,185
2015-11-01,185
2015-11-02,184
2015-11-03,181
2015-11-04,179
2015-11-05,173
2015-11-06,170
2015-11-07,173
2015-11-08,173
2015-11-09,175
2015-11-10,176
2015-11-11,179
2015-11-12,180
2015-11-13,185
2015-11-14,190
2015-11-15,193
2015-11-16,192
2015-11-17,197
2015-11-18,204
2015-11-19,210
2015-11-20,213
2015-11-21,213
2015-11-22,215
2015-11-23,215
2015-11-24,215
2015-11-25,220
2015-11-26,220
2015-11-27,222
2015-11-28,220
2015-11-29,224
2015-11-30,228
2015-12-01,220
2015-12-02,222
2015-12-03,222
2015-12-04,222
2015-12-05,223
2015-12-06,214
2015-12-07,215
2015-12-08,217
2015-12-09,220
2015-12-10,221
2015-12-11,222
2015-12-12,225
2015-12-13,228
2015-12-14,228
2015-12-15,232
2015-12-16,236
2015-12-17,242
2015-12-18,247
2015-12-19,240
2015-12-20,240
2015-12-21,240
2015-12-22,241
2015-12-23,244
2015-12-24,248
2015-12-25,255
2015-12-26,253
2015-12-27,260
2015-12-28,262
2015-12-29,266
2015-12-30,267
2015-12-31,276
2016-01-01,281
2016-01-02,286
2016-01-03,293
2016-01-04,293
2016-01-05,296
2016-01-06,298
2016-01-07,299
2016-01-08,297
2016-01-09,298
2016-01-10,295
2016-01-11,292
2016-01-12,286
2016-01-13,272
2016-01-14,266
2016-01-15,266
2016-01-16,262
2016-01-17,263
2016-01-18,264
2016-01-19,253
2016-01-20,247
2016-01-21,248
2016-01-22,251
2016-01-23,251
2016-01-24,245
2016-01-25,241
2016-01-26,237
2016-01-27,232
2016-01-28,232
2016-01-29,226
2016-01-30,226
2016-01-31,220
2016-02-01,218
2016-02-02,214
2016-02-03,214
2016-02-04,209
2016-02-05,205
2016-02-06,204
2016-02-07,200
2016-02-08,196
2016-02-09,196
2016-02-10,193
2016-02-11,195
2016-02-12,194
2016-02-13,192
2016-02-14,192
2016-02-15,190
2016-02-16,187
2016-02-17,187
2016-02-18,186
2016-02-19,185
2016-02-20,185
2016-02-21,183
2016-02-22,183
2016-02-23,181
2016-02-24,181
2016-02-25,184
2016-02-26,184
2016-02-27,186
2016-02-28,186
2016-02-29,188
2016-03-01,191
2016-03-02,191
2016-03-03,194
2016-03-04,197
2016-03-05,196
2016-03-06,196
2016-03-07,196
2016-03-08,193
2016-03-09,196
2016-03-10,198
2016-03-11,197
2016-03-12,199
2016-03-13,199
2016-03-14,200
2016-03-15,201
2016-03-16,200
2016-03-17,199
2016-03-18,197
2016-03-19,200
