date_obj,Admiral%20pie price
2015-03-26,3802
2015-03-27,3802
2015-03-28,3611
2015-03-29,3433
2015-03-30,3265
2015-03-31,3265
2015-04-01,3101
2015-04-02,3101
2015-04-03,2945
2015-04-04,2797
2015-04-05,2797
2015-04-06,2657
2015-04-07,2657
2015-04-08,2524
2015-04-09,2524
2015-04-10,2424
2015-04-11,2424
2015-04-12,2355
2015-04-13,2355
2015-04-14,2246
2015-04-15,2141
2015-04-16,2141
2015-04-17,2033
2015-04-18,2033
2015-04-19,1932
2015-04-20,1932
2015-04-21,1842
2015-04-22,1842
2015-04-23,1829
2015-04-24,1829
2015-04-25,1773
2015-04-26,1773
2015-04-27,1693
2015-04-28,1693
2015-04-29,1645
2015-04-30,1631
2015-05-01,1659
2015-05-02,1726
2015-05-03,1726
2015-05-04,1799
2015-05-05,1799
2015-05-06,1889
2015-05-07,1942
2015-05-08,1942
2015-05-09,1948
2015-05-10,2012
2015-05-11,2012
2015-05-12,2113
2015-05-13,2113
2015-05-14,2039
2015-05-15,2039
2015-05-16,2010
2015-05-17,1910
2015-05-18,1910
2015-05-19,1814
2015-05-20,1814
2015-05-21,1814
2015-05-22,1723
2015-05-23,1723
2015-05-24,1636
2015-05-25,1554
2015-05-26,1554
2015-05-27,1527
2015-05-28,1491
2015-05-29,1419
2015-05-30,1382
2015-05-31,1382
2015-06-01,1344
2015-06-02,1344
2015-06-03,1363
2015-06-04,1363
2015-06-05,1413
2015-06-06,1449
2015-06-07,1496
2015-06-08,1496
2015-06-09,1540
2015-06-10,1579
2015-06-11,1579
2015-06-12,1633
2015-06-13,1709
2015-06-14,1736
2015-06-15,1736
2015-06-16,1747
2015-06-17,1747
2015-06-18,1774
2015-06-19,1774
2015-06-20,1746
2015-06-21,1746
2015-06-22,1755
2015-06-23,1755
2015-06-24,1729
2015-06-25,1729
2015-06-26,1778
2015-06-27,1778
2015-06-28,1751
2015-06-29,1751
2015-06-30,1725
2015-07-01,1753
2015-07-02,1753
2015-07-03,1779
2015-07-04,1856
2015-07-05,1856
2015-07-06,1930
2015-07-07,1958
2015-07-08,1907
2015-07-09,1907
2015-07-10,1960
2015-07-11,1960
2015-07-12,2013
2015-07-13,2013
2015-07-14,2013
2015-07-15,2022
2015-07-16,2022
2015-07-17,1973
2015-07-18,1973
2015-07-19,1914
2015-07-20,1884
2015-07-21,1884
2015-07-22,1843
2015-07-23,1843
2015-07-24,1759
2015-07-25,1759
2015-07-26,1752
2015-07-27,1761
2015-07-28,1677
2015-07-29,1596
2015-07-30,1596
2015-07-31,1577
2015-08-01,1577
2015-08-02,1584
2015-08-03,1584
2015-08-04,1595
2015-08-05,1519
2015-08-06,1519
2015-08-07,1453
2015-08-08,1393
2015-08-09,1375
2015-08-10,1389
2015-08-11,1378
2015-08-12,1378
2015-08-13,1358
2015-08-14,1351
2015-08-15,1351
2015-08-16,1387
2015-08-17,1380
2015-08-18,1380
2015-08-19,1436
2015-08-20,1436
2015-08-21,1441
2015-08-22,1481
2015-08-23,1481
2015-08-24,1466
2015-08-25,1466
2015-08-26,1505
2015-08-27,1530
2015-08-28,1530
2015-08-29,1573
2015-08-30,1573
2015-08-31,1637
2015-09-01,1713
2015-09-02,1713
2015-09-03,1719
2015-09-04,1718
2015-09-05,1718
2015-09-06,1693
2015-09-07,1623
2015-09-08,1576
