date_obj,Fremennik%20cyan%20cloak price
2015-03-04,10000
2015-03-05,10000
2015-03-06,10000
2015-03-07,10000
2015-03-08,9543
2015-03-09,9543
2015-03-10,9543
2015-03-11,9543
2015-03-12,9543
2015-03-13,9543
2015-03-14,9543
2015-03-15,9543
2015-03-16,9543
2015-03-17,9543
2015-03-18,9543
2015-03-19,9543
2015-03-20,9066
2015-03-21,9066
2015-03-22,9066
2015-03-23,9066
2015-03-24,9066
2015-03-25,9066
2015-03-26,9066
2015-03-27,9066
2015-03-28,9066
2015-03-29,9066
2015-03-30,8619
2015-03-31,8619
2015-04-01,8619
2015-04-02,8619
2015-04-03,8619
2015-04-04,8619
2015-04-05,8619
2015-04-06,8619
2015-04-07,8619
2015-04-08,8619
2015-04-09,8216
2015-04-10,8216
2015-04-11,8216
2015-04-12,8216
2015-04-13,8216
2015-04-14,8216
2015-04-15,8216
2015-04-16,8216
2015-04-17,8216
2015-04-18,8216
2015-04-19,7844
2015-04-20,7844
2015-04-21,7844
2015-04-22,7844
2015-04-23,7844
2015-04-24,7844
2015-04-25,7844
2015-04-26,7844
2015-04-27,7844
2015-04-28,7844
2015-04-29,7844
2015-04-30,7844
2015-05-01,7458
2015-05-02,7458
2015-05-03,7458
2015-05-04,7458
2015-05-05,7458
2015-05-06,7458
2015-05-07,7458
2015-05-08,7458
2015-05-09,7458
2015-05-10,7458
2015-05-11,7458
2015-05-12,7458
2015-05-13,7458
2015-05-14,7123
2015-05-15,7123
2015-05-16,7123
2015-05-17,7123
2015-05-18,7123
2015-05-19,7123
2015-05-20,7123
2015-05-21,7123
2015-05-22,7123
2015-05-23,7123
2015-05-24,7123
2015-05-25,7123
2015-05-26,6769
2015-05-27,6769
2015-05-28,6769
2015-05-29,6769
2015-05-30,6769
2015-05-31,6769
2015-06-01,6443
2015-06-02,6443
2015-06-03,6443
2015-06-04,6443
2015-06-05,6443
2015-06-06,6443
2015-06-07,6128
2015-06-08,6128
2015-06-09,6128
2015-06-10,6128
2015-06-11,6128
2015-06-12,6128
2015-06-13,6128
2015-06-14,6006
2015-06-15,6006
2015-06-16,6006
2015-06-17,6006
2015-06-18,6006
2015-06-19,6006
2015-06-20,5708
2015-06-21,5708
2015-06-22,5708
2015-06-23,5708
2015-06-24,5708
2015-06-25,5708
2015-06-26,5708
2015-06-27,5432
2015-06-28,5432
2015-06-29,5432
2015-06-30,5432
2015-07-01,5432
2015-07-02,5432
2015-07-03,5432
2015-07-04,5394
2015-07-05,5394
2015-07-06,5394
2015-07-07,5394
2015-07-08,5394
2015-07-09,5394
2015-07-10,5394
2015-07-11,5394
2015-07-12,5132
2015-07-13,5132
2015-07-14,5132
2015-07-15,5132
2015-07-16,5132
2015-07-17,5132
2015-07-18,4904
2015-07-19,4904
2015-07-20,4904
2015-07-21,4904
2015-07-22,4904
2015-07-23,4904
2015-07-24,4667
2015-07-25,4667
2015-07-26,4667
2015-07-27,4667
2015-07-28,4667
2015-07-29,4467
2015-07-30,4467
2015-07-31,4467
2015-08-01,4467
2015-08-02,4467
2015-08-03,4467
2015-08-04,4279
2015-08-05,4279
2015-08-06,4279
2015-08-07,4279
2015-08-08,4279
2015-08-09,4279
2015-08-10,4067
2015-08-11,4067
2015-08-12,4067
2015-08-13,4067
2015-08-14,4067
2015-08-15,4067
2015-08-16,3869
2015-08-17,3869
2015-08-18,3869
2015-08-19,3869
2015-08-20,3869
2015-08-21,3678
2015-08-22,3678
2015-08-23,3678
2015-08-24,3678
2015-08-25,3678
2015-08-26,3678
2015-08-27,3678
2015-08-28,3496
2015-08-29,3496
2015-08-30,3496
2015-08-31,3496
2015-09-02,3496
2015-09-07,3381
2015-09-08,3381
2015-09-10,3212
2015-09-14,3212
2015-09-16,3054
2015-09-22,2947
2015-09-23,2947
2015-09-24,2947
2015-09-25,2947
2015-09-27,2947
2015-09-28,2947
2015-09-29,2947
2015-09-30,2799
2015-10-05,2799
2015-10-06,2799
2015-10-07,2799
2015-10-08,2668
2015-10-09,2668
2015-10-10,2668
2015-10-11,2668
2015-10-12,2668
2015-10-13,2668
2015-10-14,2668
2015-10-15,2668
2015-10-16,2536
2015-10-17,2536
2015-10-18,2536
2015-10-19,2536
2015-10-20,2536
2015-10-22,2536
2015-10-23,2428
2015-10-24,2428
2015-10-25,2428
2015-10-26,2428
2015-10-27,2428
2015-10-29,2428
2015-10-30,2428
2015-10-31,2333
2015-11-01,2333
2015-11-02,2333
2015-11-03,2333
2015-11-04,2333
2015-11-05,2333
2015-11-06,2333
2015-11-07,2333
2015-11-08,2274
