date_obj,Opal%20dragon%20bolts%20(e) price
2018-01-03,880
2018-01-04,880
2018-01-05,924
2018-01-06,971
2018-01-07,971
2018-01-08,1001
2018-01-09,1008
2018-01-10,1008
2018-01-11,978
2018-01-12,978
2018-01-13,933
2018-01-14,933
2018-01-15,903
2018-01-16,903
2018-01-17,928
2018-01-18,928
2018-01-19,884
2018-01-20,884
2018-01-21,869
2018-01-22,869
2018-01-23,907
2018-01-24,919
2018-01-25,875
2018-01-26,831
2018-01-27,796
2018-01-28,809
2018-01-29,822
2018-01-31,821
2018-02-01,853
2018-02-02,860
2018-02-03,845
2018-02-04,863
2018-02-05,877
2018-02-06,889
2018-02-07,880
2018-02-08,917
2018-02-09,924
2018-02-10,951
2018-02-11,942
2018-02-12,916
2018-02-13,924
2018-02-14,908
2018-02-15,901
2018-02-16,946
2018-02-17,981
2018-02-18,1031
2018-02-19,1083
2018-02-20,1138
2018-02-21,1195
2018-02-22,1255
2018-02-23,1318
2018-02-24,1384
2018-02-25,1444
2018-02-26,1507
2018-02-27,1581
2018-03-01,1745
2018-03-02,1833
2018-03-03,1925
2018-03-04,1925
2018-03-05,2021
2018-03-06,2123
2018-03-07,2225
2018-03-08,2215
2018-03-09,2125
2018-03-10,2048
2018-03-11,1978
2018-03-12,1922
2018-03-13,1825
2018-03-14,1733
2018-03-15,1646
2018-03-16,1563
2018-03-17,1484
2018-03-18,1457
2018-03-19,1513
2018-03-20,1583
2018-03-21,1659
2018-03-23,1799
2018-03-24,1845
2018-03-26,1863
2018-03-27,1925
2018-03-28,1913
2018-03-29,1857
2018-03-30,1886
2018-03-31,1977
2018-04-01,2002
2018-04-02,2043
2018-04-03,2029
2018-04-04,2070
2018-04-05,2137
2018-04-06,2200
2018-04-08,2197
2018-04-09,2171
2018-04-10,2182
2018-04-11,2254
2018-04-12,2268
2018-04-13,2169
2018-04-14,2086
2018-04-15,2089
2018-04-16,2043
2018-04-17,2016
2018-04-18,2038
2018-04-19,2065
2018-04-20,2137
2018-04-21,2116
2018-04-22,2047
2018-04-23,2059
2018-04-24,2129
2018-04-25,2148
2018-04-26,2179
2018-04-27,2161
2018-04-28,2174
2018-04-29,2103
2018-04-30,2095
2018-05-01,2157
2018-05-02,2210
2018-05-04,2174
2018-05-05,2184
2018-05-06,2182
2018-05-07,2267
2018-05-08,2289
2018-05-09,2274
2018-05-10,2204
2018-05-11,2233
2018-05-12,2242
2018-05-13,2320
2018-05-14,2337
2018-05-15,2253
2018-05-16,2227
2018-05-17,2249
2018-05-18,2274
2018-05-19,2285
2018-05-20,2257
2018-05-21,2210
2018-05-22,2183
2018-05-23,2210
2018-05-24,2260
2018-05-25,2327
2018-05-26,2291
2018-05-27,2211
2018-05-28,2194
