date_obj,Irit%20leaf price
2015-03-26,835
2015-03-27,835
2015-03-28,802
2015-03-29,774
2015-03-30,779
2015-03-31,817
2015-04-01,817
2015-04-02,857
2015-04-03,891
2015-04-04,909
2015-04-05,909
2015-04-06,911
2015-04-07,870
2015-04-08,870
2015-04-09,832
2015-04-10,816
2015-04-11,837
2015-04-12,842
2015-04-13,862
2015-04-14,862
2015-04-15,855
2015-04-16,855
2015-04-17,877
2015-04-18,843
2015-04-19,845
2015-04-20,845
2015-04-21,843
2015-04-22,843
2015-04-23,866
2015-04-24,866
2015-04-25,877
2015-04-26,877
2015-04-27,853
2015-04-28,848
2015-04-29,848
2015-04-30,866
2015-05-01,896
2015-05-02,905
2015-05-03,905
2015-05-04,937
2015-05-05,937
2015-05-06,935
2015-05-07,965
2015-05-08,965
2015-05-09,955
2015-05-10,917
2015-05-11,917
2015-05-12,883
2015-05-13,883
2015-05-14,848
2015-05-15,848
2015-05-16,846
2015-05-17,864
2015-05-18,877
2015-05-19,877
2015-05-20,859
2015-05-21,859
2015-05-22,861
2015-05-23,861
2015-05-24,885
2015-05-25,886
2015-05-26,886
2015-05-27,929
2015-05-28,962
2015-05-29,1007
2015-05-30,1034
2015-05-31,1034
2015-06-01,984
2015-06-02,984
2015-06-03,952
2015-06-04,952
2015-06-05,952
2015-06-06,960
2015-06-07,950
2015-06-08,950
2015-06-09,948
2015-06-10,983
2015-06-11,983
2015-06-12,1010
2015-06-13,1013
2015-06-14,1006
2015-06-15,981
2015-06-16,970
2015-06-17,960
2015-06-18,930
2015-06-19,930
2015-06-20,899
2015-06-21,899
2015-06-22,916
2015-06-23,916
2015-06-24,898
2015-06-25,898
2015-06-26,881
2015-06-27,881
2015-06-28,859
2015-06-29,859
2015-06-30,823
2015-07-01,817
2015-07-02,817
2015-07-03,823
2015-07-04,809
2015-07-05,809
2015-07-06,787
2015-07-07,813
2015-07-08,835
2015-07-09,835
2015-07-10,834
2015-07-11,834
2015-07-12,835
2015-07-13,851
2015-07-14,866
2015-07-15,875
2015-07-16,875
2015-07-17,867
2015-07-18,867
2015-07-19,866
2015-07-20,851
2015-07-21,851
2015-07-22,875
2015-07-23,875
2015-07-24,875
2015-07-25,875
2015-07-26,896
2015-07-27,907
2015-07-28,932
2015-07-29,942
2015-07-30,942
2015-07-31,963
2015-08-01,963
2015-08-02,957
2015-08-03,957
2015-08-04,913
2015-08-05,912
2015-08-06,912
2015-08-07,929
2015-08-08,949
2015-08-09,936
2015-08-10,928
2015-08-11,937
2015-08-12,937
2015-08-13,954
2015-08-14,961
2015-08-15,961
2015-08-16,948
2015-08-17,948
2015-08-18,953
2015-08-19,953
2015-08-20,993
2015-08-21,993
2015-08-22,1016
2015-08-23,1016
2015-08-24,1001
2015-08-25,1001
2015-08-26,1001
2015-08-27,1010
2015-08-28,1010
2015-08-29,1009
2015-08-30,1009
2015-08-31,1047
2015-09-01,1047
2015-09-02,1043
2015-09-03,1043
2015-09-04,1066
2015-09-05,1066
2015-09-06,1044
2015-09-07,1044
2015-09-08,1020
2015-09-09,1020
2015-09-10,1007
2015-09-11,1007
2015-09-12,1003
2015-09-13,1003
2015-09-14,952
2015-09-15,952
2015-09-16,920
2015-09-17,920
2015-09-18,927
2015-09-19,927
2015-09-20,896
2015-09-21,896
2015-09-22,888
2015-09-23,888
2015-09-24,912
2015-09-25,912
2015-09-27,919
2015-09-28,918
2015-09-29,918
2015-09-30,961
2015-10-05,954
2015-10-06,954
2015-10-07,974
2015-10-08,974
2015-10-09,1008
2015-10-10,1008
2015-10-11,967
2015-10-12,967
2015-10-13,965
2015-10-14,965
2015-10-15,969
2015-10-16,969
2015-10-17,969
2015-10-18,1009
2015-10-19,1009
2015-10-20,1026
2015-10-22,1050
2015-10-23,1050
2015-10-24,1077
2015-10-25,1077
2015-10-26,1079
2015-10-27,1079
2015-10-29,1084
2015-10-30,1084
2015-10-31,1111
2015-11-01,1111
2015-11-02,1123
2015-11-03,1123
2015-11-04,1123
2015-11-05,1163
2015-11-06,1163
2015-11-07,1222
2015-11-08,1222
2015-11-09,1222
2015-11-10,1284
2015-11-11,1284
2015-11-12,1349
2015-11-13,1349
2015-11-14,1349
2015-11-15,1371
2015-11-16,1371
2015-11-17,1364
2015-11-18,1364
2015-11-19,1401
2015-11-20,1401
2015-11-21,1401
2015-11-22,1446
2015-11-23,1446
2015-11-24,1446
2015-11-25,1518
2015-11-26,1518
2015-11-27,1584
2015-11-28,1584
2015-11-29,1588
2015-11-30,1588
2015-12-01,1624
2015-12-02,1624
2015-12-03,1632
2015-12-04,1632
2015-12-05,1607
2015-12-06,1607
2015-12-07,1613
2015-12-08,1613
2015-12-09,1665
2015-12-10,1665
2015-12-11,1739
2015-12-12,1739
2015-12-13,1708
2015-12-14,1708
2015-12-15,1677
2015-12-16,1677
2015-12-17,1646
2015-12-18,1646
2015-12-19,1634
2015-12-20,1607
2015-12-21,1607
2015-12-22,1631
2015-12-23,1631
2015-12-24,1652
2015-12-25,1652
2015-12-26,1630
2015-12-27,1606
2015-12-28,1606
2015-12-29,1527
2015-12-30,1527
2015-12-31,1503
2016-01-01,1503
2016-01-02,1440
2016-01-03,1371
2016-01-04,1306
2016-01-05,1306
2016-01-06,1355
2016-01-07,1355
2016-01-08,1421
2016-01-09,1421
2016-01-10,1416
2016-01-11,1416
2016-01-12,1376
2016-01-13,1376
2016-01-14,1445
2016-01-15,1445
2016-01-16,1490
2016-01-17,1490
2016-01-18,1539
2016-01-19,1539
2016-01-20,1511
2016-01-21,1511
2016-01-22,1497
2016-01-23,1497
2016-01-24,1447
2016-01-25,1377
2016-01-26,1377
2016-01-27,1403
