date_obj,Beanie price
2015-03-26,59598
2015-03-27,59598
2015-03-28,59598
2015-03-29,56820
2015-03-30,56820
2015-03-31,54136
2015-04-01,54136
2015-04-02,51623
2015-04-03,51623
2015-04-04,49041
2015-04-05,49041
2015-04-06,46752
2015-04-07,46752
2015-04-08,46752
2015-04-09,44520
2015-04-10,44520
2015-04-11,42451
2015-04-12,42451
2015-04-13,40444
2015-04-14,40444
2015-04-15,38672
2015-04-16,38672
2015-04-17,36859
2015-04-18,36859
2015-04-19,35290
2015-04-20,35290
2015-04-21,35290
2015-04-22,33918
2015-04-23,33918
2015-04-24,33918
2015-04-25,32303
2015-04-26,32303
2015-04-27,30839
2015-04-28,30839
2015-04-29,30839
2015-04-30,29374
2015-05-01,29374
2015-05-02,28163
2015-05-03,28163
2015-05-04,28163
2015-05-05,26859
2015-05-06,26859
2015-05-07,25606
2015-05-08,25606
2015-05-09,25606
2015-05-10,24381
2015-05-11,24381
2015-05-12,24381
2015-05-13,23286
2015-05-14,23286
2015-05-15,22270
2015-05-16,22270
2015-05-17,22237
2015-05-18,22237
2015-05-19,22237
2015-05-20,22199
2015-05-21,22199
2015-05-22,22199
2015-05-23,21801
2015-05-24,21801
2015-05-25,21172
2015-05-26,21172
2015-05-27,21172
2015-05-28,20181
2015-05-29,20181
2015-05-30,20181
2015-05-31,19501
2015-06-01,19501
2015-06-02,19501
2015-06-03,19501
2015-06-04,18619
2015-06-05,18619
2015-06-06,18619
2015-06-07,18114
2015-06-08,18114
2015-06-09,18114
2015-06-10,18114
2015-06-11,17856
2015-06-12,17856
2015-06-13,17856
2015-06-14,17856
2015-06-15,18177
2015-06-16,18177
2015-06-17,18177
2015-06-18,18177
2015-06-19,18218
2015-06-20,18218
2015-06-21,18218
2015-06-22,18218
2015-06-23,18759
2015-06-24,18759
2015-06-25,18759
2015-06-26,18759
2015-06-27,18946
2015-06-28,18946
2015-06-29,18946
2015-06-30,18946
2015-07-01,18268
2015-07-02,18268
2015-07-03,18268
2015-07-04,18279
2015-07-05,18279
2015-07-06,18279
2015-07-07,18279
2015-07-08,17917
2015-07-09,17917
2015-07-10,17917
2015-07-11,17917
2015-07-12,17917
2015-07-13,18113
2015-07-14,18113
2015-07-15,18113
2015-07-16,18113
