date_obj,Charge%20dragonstone%20jewellery%20scroll price
2016-07-06,9507
2016-07-07,9069
2016-07-08,8655
2016-07-09,8239
2016-07-10,7827
2016-07-11,7435
2016-07-12,7070
2016-07-13,6782
2016-07-14,6442
2016-07-15,6128
2016-07-16,5865
2016-07-17,5865
2016-07-18,5571
2016-07-23,5033
2016-07-24,4781
2016-07-25,4546
2016-07-26,4546
2016-07-27,4318
2016-07-28,4318
2016-07-29,4102
2016-07-30,3899
2016-07-31,3899
2016-08-01,3727
2016-08-02,3581
2016-08-03,3401
2016-08-04,3401
2016-08-05,3230
2016-08-06,3071
2016-08-07,2926
2016-08-08,2926
2016-08-09,2779
2016-08-10,2803
2016-08-11,2803
2016-08-12,2709
2016-08-13,2709
2016-08-14,2573
2016-08-15,2573
2016-08-16,2444
2016-08-17,2444
2016-08-18,2321
2016-08-19,2321
2016-08-20,2204
2016-08-21,2204
2016-08-22,2093
2016-08-23,1993
2016-08-24,1993
2016-08-25,1893
2016-08-26,1893
2016-08-28,1798
2016-08-31,1634
2016-09-01,1634
2016-09-02,1568
2016-09-03,1568
2016-09-04,1491
2016-09-05,1491
2016-09-06,1430
2016-09-07,1430
2016-09-08,1430
2016-09-09,1371
2016-09-10,1371
2016-09-11,1331
2016-09-12,1331
2016-09-13,1318
2016-09-14,1318
2016-09-15,1308
2016-09-16,1308
2016-09-17,1291
2016-09-18,1291
2016-09-19,1250
2016-09-20,1250
2016-09-21,1250
2016-09-22,1234
2016-09-23,1234
2016-09-24,1234
2016-09-25,1199
2016-09-26,1199
2016-09-27,1199
2016-09-28,1155
2016-09-29,1155
2016-09-30,1106
2016-10-01,1106
2016-10-02,1106
2016-10-03,1050
2016-10-04,1050
2016-10-05,1013
2016-10-06,1013
2016-10-07,1013
2016-10-08,963
2016-10-09,963
2016-10-10,963
2016-10-11,914
2016-10-12,914
2016-10-13,897
2016-10-14,897
2016-10-15,863
2016-10-16,863
2016-10-17,841
2016-10-18,841
2016-10-19,841
2016-10-20,829
2016-10-21,829
2016-10-22,829
2016-10-23,829
2016-10-24,842
2016-10-25,842
2016-10-26,836
2016-10-27,836
2016-10-28,836
2016-10-29,821
2016-10-30,821
2016-10-31,814
2016-11-01,814
2016-11-02,812
2016-11-03,812
2016-11-04,813
2016-11-05,813
2016-11-06,794
2016-11-07,794
2016-11-08,826
2016-11-09,826
2016-11-10,868
2016-11-11,868
2016-11-12,908
2016-11-13,908
2016-11-14,922
2016-11-15,922
2016-12-07,779
2016-12-08,818
2016-12-09,818
2016-12-10,816
2016-12-11,816
2016-12-12,849
2016-12-13,849
2016-12-14,891
2016-12-15,891
2016-12-16,936
2016-12-17,983
2016-12-18,983
2016-12-19,1033
2016-12-20,1072
2016-12-21,1072
2016-12-22,1126
2016-12-23,1183
2016-12-24,1183
2016-12-25,1243
2016-12-26,1243
2016-12-27,1306
2016-12-28,1306
2016-12-29,1371
2016-12-30,1371
2016-12-31,1440
2017-01-01,1440
2017-01-02,1512
2017-01-03,1512
2017-01-04,1588
2017-01-05,1588
2017-01-06,1668
2017-01-07,1752
2017-01-08,1752
2017-01-09,1840
2017-01-10,1840
2017-01-11,1932
2017-01-12,2029
2017-01-13,2029
2017-01-14,2131
2017-01-15,2238
2017-01-16,2238
2017-01-17,2326
2017-01-18,2326
2017-01-19,2302
2017-01-20,2302
2017-01-21,2404
2017-01-22,2404
2017-01-23,2309
2017-01-27,2046
2017-01-28,1943
2017-01-29,1864
2017-01-30,1864
2017-01-31,1770
2017-02-01,1691
2017-02-02,1691
2017-02-03,1606
2017-02-04,1528
2017-02-05,1528
2017-02-06,1451
2017-02-07,1451
2017-02-08,1378
2017-02-09,1378
2017-02-10,1320
2017-02-11,1255
2017-02-12,1255
2017-02-13,1192
2017-02-14,1134
2017-02-15,1134
2017-02-16,1100
2017-02-18,1045
2017-02-19,992
2017-02-20,992
2017-02-21,942
2017-02-22,942
2017-02-23,915
2017-02-24,915
2017-02-25,900
2017-02-26,900
2017-02-27,869
2017-02-28,839
2017-03-01,839
2017-03-02,801
2017-03-03,801
2017-03-04,760
2017-03-05,760
2017-03-06,727
2017-03-07,727
2017-03-08,733
2017-03-09,733
2017-03-10,729
2017-03-11,716
2017-03-12,716
2017-03-13,732
2017-03-14,757
2017-03-15,757
2017-03-16,744
2017-03-17,744
2017-03-18,729
2017-03-19,698
2017-03-20,693
2017-03-21,693
2017-03-22,699
2017-03-23,699
2017-03-24,672
2017-03-25,672
2017-03-26,669
2017-03-27,669
2017-03-28,659
2017-03-29,634
2017-03-30,634
2017-03-31,650
2017-04-01,650
2017-04-02,652
2017-04-03,636
2017-04-04,636
2017-04-12,622
2017-04-13,623
2017-04-14,623
2017-04-15,627
2017-04-16,646
2017-04-17,646
2017-04-18,645
2017-04-19,645
2017-04-20,642
2017-04-21,642
2017-04-22,643
2017-04-23,643
2017-04-24,634
2017-04-25,616
2017-04-26,616
2017-04-27,592
2017-04-28,592
2017-04-29,581
2017-04-30,581
2017-05-01,571
2017-05-02,571
2017-05-03,587
2017-05-04,608
2017-05-05,608
2017-05-06,619
2017-05-07,619
2017-05-08,622
2017-05-09,622
2017-05-10,622
2017-05-11,604
2017-05-12,610
2017-05-13,601
2017-05-14,601
2017-05-15,616
2017-05-16,616
2017-05-17,634
2017-05-18,634
2017-05-19,644
2017-05-20,639
2017-05-21,639
2017-05-22,627
2017-05-23,627
2017-05-24,650
2017-05-25,650
2017-05-26,668
2017-05-27,668
2017-05-28,691
2017-05-29,691
2017-05-30,708
2017-05-31,708
2017-06-01,689
2017-06-02,689
2017-06-03,670
2017-06-04,669
2017-06-05,669
2017-06-06,688
2017-06-07,688
2017-06-08,703
2017-06-09,703
2017-06-10,700
2017-06-11,700
2017-06-12,700
2017-06-13,700
2017-06-14,698
2017-06-15,698
2017-06-16,699
2017-06-17,699
2017-06-18,698
2017-06-19,698
2017-06-20,694
2017-06-21,694
2017-06-22,676
2017-06-23,676
2017-06-24,661
2017-06-25,661
2017-06-26,660
2017-06-27,660
2017-06-28,671
2017-06-29,671
2017-06-30,665
2017-07-01,665
2017-07-02,665
2017-07-03,662
2017-07-04,662
2017-07-05,665
2017-07-06,665
2017-07-07,657
2017-07-08,657
2017-07-13,652
2017-07-14,665
2017-07-15,665
2017-07-16,663
2017-07-17,663
2017-07-18,662
2017-07-19,662
2017-07-20,664
2017-07-21,664
2017-07-22,675
2017-07-23,675
2017-07-24,689
2017-07-25,689
2017-07-26,688
2017-07-27,688
2017-07-28,692
2017-07-29,692
2017-07-30,687
2017-07-31,687
2017-08-01,684
2017-08-02,680
2017-08-03,680
2017-08-04,676
2017-08-05,661
2017-08-06,661
2017-08-09,667
2017-08-10,667
2017-08-11,659
2017-08-12,659
2017-08-13,654
2017-08-14,654
2017-08-15,629
2017-08-16,629
2017-08-17,597
2017-08-18,597
2017-08-19,568
2017-08-20,540
2017-08-21,540
2017-08-22,513
2017-08-23,513
2017-08-24,513
2017-08-25,513
2017-08-26,521
2017-08-27,521
2017-08-28,506
2017-08-29,506
2017-08-30,496
2017-08-31,496
2017-09-01,496
2017-09-02,492
2017-09-03,492
2017-09-04,492
2017-09-05,491
