date_obj,Maple%20shortbow price
2015-03-26,165
2015-03-27,156
2015-03-28,155
2015-03-29,150
2015-03-30,145
2015-03-31,147
2015-04-01,139
2015-04-02,133
2015-04-03,130
2015-04-04,128
2015-04-05,125
2015-04-06,119
2015-04-07,113
2015-04-08,108
2015-04-09,105
2015-04-10,106
2015-04-11,106
2015-04-12,105
2015-04-13,102
2015-04-14,104
2015-04-15,105
2015-04-16,108
2015-04-17,105
2015-04-18,106
2015-04-19,110
2015-04-20,114
2015-04-21,111
2015-04-22,113
2015-04-23,117
2015-04-24,123
2015-04-25,120
2015-04-26,117
2015-04-27,119
2015-04-28,118
2015-04-29,113
2015-04-30,116
2015-05-01,122
2015-05-02,129
2015-05-03,136
2015-05-04,135
2015-05-05,135
2015-05-06,136
2015-05-07,137
2015-05-08,134
2015-05-09,139
2015-05-10,138
2015-05-11,137
2015-05-12,139
2015-05-13,142
2015-05-14,144
2015-05-15,145
2015-05-16,152
2015-05-17,158
2015-05-18,161
2015-05-19,166
2015-05-20,167
2015-05-21,168
2015-05-22,166
2015-05-23,167
2015-05-24,167
2015-05-25,164
2015-05-26,164
2015-05-27,168
2015-05-28,172
2015-05-29,178
2015-05-30,179
2015-05-31,180
2015-06-01,174
2015-06-02,166
2015-06-03,169
2015-06-04,171
2015-06-05,175
2015-06-06,181
2015-06-07,187
2015-06-08,195
2015-06-09,195
2015-06-10,199
2015-06-11,204
2015-06-12,210
2015-06-13,206
2015-06-14,206
2015-06-15,210
2015-06-16,209
2015-06-17,208
2015-06-18,211
2015-06-19,204
2015-06-20,199
2015-06-21,191
2015-06-22,189
2015-06-23,184
2015-06-24,181
2015-06-25,191
2015-06-26,191
2015-06-27,196
2015-06-28,193
2015-06-29,185
2015-06-30,185
2015-07-01,184
2015-07-02,182
2015-07-03,188
2015-07-04,187
2015-07-05,184
2015-07-06,177
2015-07-07,172
2015-07-08,165
2015-07-09,162
2015-07-10,161
2015-07-11,166
2015-07-12,170
2015-07-13,172
2015-07-14,170
2015-07-15,166
2015-07-16,165
2015-07-17,163
2015-07-18,162
2015-07-19,158
2015-07-20,154
2015-07-21,156
2015-07-22,160
2015-07-23,161
2015-07-24,166
2015-07-25,171
2015-07-26,175
2015-07-27,177
2015-07-28,182
2015-07-29,188
2015-07-30,192
2015-07-31,193
2015-08-01,197
2015-08-02,190
2015-08-03,180
2015-08-04,178
2015-08-05,172
2015-08-06,179
2015-08-07,187
2015-08-08,194
2015-08-09,190
2015-08-10,192
2015-08-11,200
2015-08-12,203
2015-08-13,204
2015-08-14,208
2015-08-15,206
2015-08-16,196
2015-08-17,193
2015-08-18,192
2015-08-19,194
2015-08-20,194
2015-08-21,196
2015-08-22,192
2015-08-23,188
2015-08-24,189
2015-08-25,190
2015-08-26,191
2015-08-27,193
2015-08-28,191
2015-08-29,187
2015-08-30,182
2015-08-31,178
2015-09-01,177
2015-09-02,180
2015-09-03,180
2015-09-04,178
2015-09-05,184
2015-09-06,181
2015-09-07,180
2015-09-08,183
2015-09-09,181
2015-09-10,184
2015-09-11,185
2015-09-12,189
2015-09-13,187
2015-09-14,195
2015-09-15,200
2015-09-16,204
2015-09-17,196
2015-09-18,195
2015-09-19,192
2015-09-20,186
2015-09-21,186
2015-09-22,191
2015-09-23,190
2015-09-24,184
2015-09-25,187
2015-09-27,205
2015-09-28,207
2015-09-29,208
2015-09-30,210
2015-10-05,210
2015-10-06,210
2015-10-07,212
2015-10-08,221
2015-10-09,222
2015-10-10,218
2015-10-11,218
2015-10-12,211
2015-10-13,209
2015-10-14,213
2015-10-15,221
2015-10-16,231
2015-10-17,231
2015-10-18,228
2015-10-19,223
2015-10-20,221
2015-10-22,223
2015-10-23,234
2015-10-24,231
2015-10-25,223
2015-10-26,222
2015-10-27,224
2015-10-29,209
2015-10-30,202
2015-10-31,205
2015-11-01,213
2015-11-02,215
2015-11-03,224
2015-11-04,236
2015-11-05,247
2015-11-06,253
2015-11-07,257
2015-11-08,269
2015-11-09,268
2015-11-10,277
2015-11-11,272
2015-11-12,266
2015-11-13,261
2015-11-14,259
2015-11-15,262
2015-11-16,254
2015-11-17,248
2015-11-18,255
2015-11-19,246
2015-11-20,245
2015-11-21,235
2015-11-22,228
2015-11-23,228
2015-11-24,234
2015-11-25,232
2015-11-26,227
2015-11-27,225
2015-11-28,230
2015-11-29,233
2015-11-30,238
2015-12-01,231
2015-12-02,240
2015-12-03,244
2015-12-04,252
2015-12-05,255
2015-12-06,257
2015-12-07,257
2015-12-08,244
2015-12-09,247
2015-12-10,249
2015-12-11,252
2015-12-12,250
2015-12-13,239
2015-12-14,228
2015-12-15,235
2015-12-16,239
2015-12-17,233
2015-12-18,245
2015-12-19,258
2015-12-20,258
2015-12-21,248
2015-12-22,239
2015-12-23,240
2015-12-24,231
2015-12-25,225
2015-12-26,217
2015-12-27,210
2015-12-28,200
2015-12-29,199
2015-12-30,205
2015-12-31,207
2016-01-01,202
2016-01-02,197
2016-01-03,201
2016-01-04,204
2016-01-05,201
2016-01-06,206
2016-01-07,217
2016-01-08,217
2016-01-09,224
2016-01-10,228
2016-01-11,226
2016-01-12,233
2016-01-13,242
2016-01-14,236
2016-01-15,229
2016-01-16,228
2016-01-17,222
2016-01-18,216
2016-01-19,214
2016-01-20,213
2016-01-21,215
2016-01-22,223
2016-01-23,231
2016-01-24,228
2016-01-25,221
2016-01-26,223
2016-01-27,225
2016-01-28,227
2016-01-29,232
2016-01-30,226
2016-01-31,224
2016-02-01,224
2016-02-02,225
2016-02-03,228
2016-02-04,229
2016-02-05,232
2016-02-06,228
2016-02-07,225
2016-02-08,230
2016-02-09,229
2016-02-10,223
2016-02-11,224
2016-02-12,219
2016-02-13,215
2016-02-14,212
2016-02-15,216
2016-02-16,212
2016-02-17,212
2016-02-18,218
2016-02-19,221
2016-02-20,222
2016-02-21,221
2016-02-22,217
2016-02-23,219
2016-02-24,221
2016-02-25,220
2016-02-26,216
2016-02-27,212
2016-02-28,207
2016-02-29,199
2016-03-01,194
2016-03-02,196
2016-03-03,197
2016-03-04,202
2016-03-05,201
2016-03-06,200
2016-03-07,193
2016-03-08,184
2016-03-09,190
2016-03-10,197
2016-03-11,207
2016-03-12,205
2016-03-13,203
2016-03-14,193
2016-03-15,189
2016-03-16,188
2016-03-17,189
2016-03-18,187
2016-03-19,181
2016-03-20,184
2016-03-21,189
2016-03-22,192
2016-03-23,196
2016-03-24,193
2016-03-25,191
2016-03-26,185
2016-03-27,183
2016-03-28,179
2016-03-29,178
2016-03-30,182
2016-03-31,184
2016-04-01,193
2016-04-02,191
2016-04-03,187
2016-04-04,191
2016-04-05,199
2016-04-06,200
2016-04-07,197
2016-04-08,204
2016-04-09,202
2016-04-10,207
2016-04-11,206
2016-04-12,213
2016-04-13,223
2016-04-14,229
2016-04-15,229
2016-04-16,238
2016-04-17,240
2016-04-18,238
2016-04-19,231
2016-04-20,231
2016-04-21,224
2016-04-22,216
2016-04-23,213
2016-04-24,209
2016-04-25,211
2016-04-26,216
2016-04-27,216
2016-04-28,217
2016-04-29,220
2016-04-30,226
2016-05-01,222
2016-05-02,220
2016-05-03,220
2016-05-04,218
2016-05-05,221
2016-05-06,223
2016-05-07,221
2016-05-08,226
2016-05-09,218
2016-05-10,219
2016-05-11,213
2016-05-12,204
2016-05-13,200
2016-05-14,195
2016-05-15,192
2016-05-16,194
2016-05-17,195
2016-05-18,190
2016-05-19,188
2016-05-22,185
2016-05-23,187
2016-05-24,192
2016-05-25,196
2016-05-26,196
2016-05-27,201
2016-05-28,204
2016-05-29,201
2016-05-30,197
2016-05-31,195
2016-06-01,195
2016-06-02,194
2016-06-03,195
2016-06-04,193
2016-06-05,196
2016-06-06,197
2016-06-07,198
2016-06-08,203
2016-06-09,209
2016-06-10,206
2016-06-11,209
2016-06-12,215
2016-06-13,204
2016-06-14,194
2016-06-15,191
2016-06-16,197
2016-06-17,196
2016-06-18,197
2016-06-19,199
2016-06-20,204
2016-06-21,205
2016-06-22,213
2016-06-23,224
2016-06-24,233
2016-06-25,226
2016-06-26,215
2016-06-27,204
2016-06-28,201
2016-06-29,201
2016-06-30,205
2016-07-01,205
2016-07-02,202
2016-07-03,199
2016-07-04,195
2016-07-05,199
2016-07-06,201
2016-07-07,204
2016-07-08,209
2016-07-09,218
2016-07-10,228
2016-07-11,225
2016-07-12,230
2016-07-13,223
2016-07-14,214
2016-07-15,207
2016-07-16,212
2016-07-17,218
2016-07-18,220
2016-07-23,239
2016-07-24,233
2016-07-25,230
2016-07-26,221
2016-07-27,218
2016-07-28,213
2016-07-29,211
2016-07-30,215
2016-07-31,220
2016-08-01,212
2016-08-02,214
2016-08-03,216
2016-08-04,220
2016-08-05,219
2016-08-06,225
2016-08-07,227
2016-08-08,215
2016-08-09,210
2016-08-10,209
2016-08-11,204
2016-08-12,202
2016-08-13,207
2016-08-14,205
2016-08-15,206
2016-08-16,205
2016-08-17,209
2016-08-18,218
2016-08-19,221
2016-08-20,226
2016-08-21,228
2016-08-22,227
2016-08-23,223
2016-08-24,222
2016-08-25,220
2016-08-26,227
2016-08-28,241
2016-08-31,244
2016-09-01,238
2016-09-02,232
2016-09-03,226
2016-09-04,224
2016-09-05,221
2016-09-06,222
2016-09-07,225
2016-09-08,226
2016-09-09,226
2016-09-10,233
2016-09-11,230
2016-09-12,237
2016-09-13,243
2016-09-14,246
2016-09-15,247
2016-09-16,250
2016-09-17,250
2016-09-18,244
2016-09-19,239
2016-09-20,232
2016-09-21,234
2016-09-22,233
2016-09-23,237
2016-09-24,234
2016-09-25,229
2016-09-26,225
2016-09-27,220
2016-09-28,214
2016-09-29,212
2016-09-30,216
2016-10-01,216
2016-10-02,208
2016-10-03,206
2016-10-04,207
2016-10-05,205
2016-10-06,209
2016-10-07,210
2016-10-08,210
2016-10-09,212
2016-10-10,214
2016-10-11,217
2016-10-12,210
2016-10-13,209
2016-10-14,215
2016-10-15,216
2016-10-16,210
2016-10-17,213
2016-10-18,215
2016-10-19,215
2016-10-20,213
2016-10-21,211
2016-10-22,213
2016-10-23,218
2016-10-24,216
2016-10-25,216
2016-10-26,215
2016-10-27,214
2016-10-28,217
2016-10-29,217
2016-10-30,215
2016-10-31,212
2016-11-01,211
2016-11-02,208
2016-11-03,207
2016-11-04,208
2016-11-05,207
2016-11-06,200
2016-11-07,196
2016-11-08,201
2016-11-09,204
2016-11-10,206
2016-11-11,205
2016-11-12,209
2016-11-13,209
2016-11-14,216
2016-12-07,220
2016-12-08,229
2016-12-09,237
2016-12-10,236
2016-12-11,241
2016-12-12,239
2016-12-13,227
2016-12-14,226
2016-12-15,214
2016-12-16,217
2016-12-17,216
2016-12-18,209
2016-12-19,213
2016-12-20,216
2016-12-21,221
2016-12-22,224
2016-12-23,220
2016-12-24,215
2016-12-25,220
2016-12-26,218
2016-12-27,217
2016-12-28,209
2016-12-29,214
2016-12-30,214
2016-12-31,208
2017-01-01,208
2017-01-02,211
2017-01-03,210
2017-01-04,204
2017-01-05,198
2017-01-06,199
2017-01-07,195
2017-01-08,192
2017-01-09,188
2017-01-10,195
2017-01-11,198
2017-01-12,201
2017-01-13,211
2017-01-14,211
2017-01-15,213
2017-01-16,212
2017-01-17,217
2017-01-18,221
2017-01-19,228
2017-01-20,234
2017-01-21,241
2017-01-22,248
2017-01-27,218
2017-01-28,213
2017-01-29,206
2017-01-30,204
2017-01-31,208
2017-02-01,210
2017-02-02,206
2017-02-03,200
2017-02-04,201
2017-02-05,195
2017-02-06,197
2017-02-07,203
2017-02-08,196
2017-02-09,186
2017-02-10,179
2017-02-11,181
2017-02-12,173
2017-02-13,164
2017-02-14,160
2017-02-15,165
2017-02-16,162
2017-02-18,165
2017-02-19,167
2017-02-20,167
2017-02-21,163
2017-02-22,164
2017-02-23,163
2017-02-24,161
2017-02-25,167
2017-02-26,166
2017-02-27,166
2017-02-28,170
2017-03-01,172
2017-03-02,173
2017-03-03,172
2017-03-04,170
2017-03-05,168
2017-03-06,174
2017-03-07,178
2017-03-08,181
2017-03-09,184
2017-03-10,187
2017-03-11,185
2017-03-12,183
2017-03-13,186
2017-03-14,188
2017-03-15,188
2017-03-16,192
2017-03-17,192
2017-03-18,199
2017-03-19,197
2017-03-20,190
2017-03-21,186
2017-03-22,186
2017-03-23,183
2017-03-24,185
2017-03-25,179
