date_obj,Bandos%20d'hide%20shield price
2019-04-11,20000
2019-04-11,20884
2019-04-12,21805
2019-04-13,22868
2019-04-14,23966
2019-04-15,750000
2019-04-16,750000
2019-04-17,750000
2019-04-18,750000
2019-04-19,748593
2019-04-20,748593
2019-04-21,748593
2019-04-22,734951
2019-04-23,734951
2019-04-24,737274
2019-04-25,737274
2019-04-26,716127
2019-04-27,716127
2019-04-28,716127
2019-04-29,723724
2019-04-30,723724
2019-05-01,723724
2019-05-02,738484
2019-05-03,738484
2019-05-04,763378
2019-05-05,763378
2019-05-06,763378
2019-05-07,756886
2019-05-08,756886
2019-05-09,756886
2019-05-10,725250
2019-05-11,725250
2019-05-12,701983
2019-05-13,701983
2019-05-14,691513
2019-05-15,691513
2019-05-16,691513
2019-05-17,718434
2019-05-18,718434
2019-05-19,718434
2019-05-20,700544
2019-05-21,700544
2019-05-22,700544
2019-05-23,694610
2019-05-24,694610
2019-05-25,694610
2019-05-26,688563
2019-05-27,688563
2019-05-28,688563
2019-05-29,677253
2019-05-30,677253
2019-05-31,677253
2019-06-01,663054
2019-06-02,663054
2019-06-03,663054
2019-06-04,639598
2019-06-05,639598
2019-06-06,639598
2019-06-07,629570
2019-06-08,629570
2019-06-09,620956
2019-06-10,620956
2019-06-11,620956
2019-06-12,614397
2019-06-13,614397
2019-06-14,614397
2019-06-15,601080
2019-06-16,601080
2019-06-17,585667
2019-06-18,585667
2019-06-19,585667
2019-06-20,579883
2019-06-21,579883
2019-06-22,579883
2019-06-23,589505
2019-06-24,589505
2019-06-25,589505
2019-06-26,589505
2019-06-27,580638
2019-06-28,580638
2019-06-29,580638
2019-06-30,580595
2019-07-01,580595
2019-07-02,580595
2019-07-03,582732
2019-07-04,582732
2019-07-05,582732
2019-07-06,601628
2019-07-07,601628
2019-07-08,601628
2019-07-09,587545
2019-07-10,587545
2019-07-11,587545
2019-07-12,568409
2019-07-13,568409
2019-07-14,568409
2019-07-15,555142
2019-07-16,555142
2019-07-17,555142
2019-07-18,559900
2019-07-19,559900
2019-07-20,559900
2019-07-21,572871
2019-07-22,572871
2019-07-23,572871
2019-07-24,565092
2019-07-25,565092
2019-07-26,565092
2019-07-27,568526
2019-07-28,568526
2019-07-29,568526
2019-07-30,564539
2019-07-31,564539
2019-08-01,564539
2019-08-02,564539
2019-08-03,549134
2019-08-04,549134
2019-08-05,549134
2019-08-06,538250
2019-08-07,538250
2019-08-08,538250
2019-08-09,538250
2019-08-10,540017
2019-08-11,540017
2019-08-12,540017
2019-08-13,540017
2019-08-14,540653
2019-08-15,540653
2019-08-16,540653
2019-08-17,544965
2019-08-18,544965
2019-08-19,544965
2019-08-20,547737
2019-08-21,547737
2019-08-22,547737
2019-08-23,545436
2019-08-24,545436
2019-08-24,545436
2019-08-25,545436
2019-08-25,545436
2019-08-26,545384
2019-08-26,545384
2019-08-27,545384
2019-08-27,545384
2019-08-28,545384
2019-08-29,545384
2019-08-30,548623
2019-08-31,548623
2019-09-01,548623
2019-09-02,548623
2019-09-03,548653
2019-09-04,548653
2019-09-05,548653
2019-09-06,549020
2019-09-07,549020
2019-09-08,552020
2019-09-09,552020
2019-09-10,552020
2019-09-11,565330
2019-09-12,565330
2019-09-13,565330
2019-09-14,582052
2019-09-15,582052
2019-09-16,582052
2019-09-17,586763
2019-09-18,586763
2019-09-19,586763
2019-09-20,586763
2019-09-21,575887
2019-09-22,575887
2019-09-23,575887
2019-09-24,557912
2019-09-25,557912
2019-09-26,557912
2019-09-27,551583
2019-09-28,551583
2019-09-29,551583
2019-09-30,537878
2019-10-01,537878
2019-10-02,537878
2019-10-03,531709
2019-10-04,531709
2019-10-05,531709
2019-10-06,535140
2019-10-07,535140
2019-10-08,535140
2019-10-09,535140
2019-10-10,540858
2019-10-11,540858
2019-10-12,540858
2019-10-13,536360
2019-10-14,536360
2019-10-15,536360
2019-10-16,536360
2019-10-17,532168
2019-10-18,532168
2019-10-19,532168
2019-10-20,535640
2019-10-21,535640
2019-10-22,535640
2019-10-23,535640
2019-10-24,520826
2019-10-25,520826
2019-10-26,520826
2019-10-27,498990
2019-10-28,498990
2019-10-29,498990
2019-10-30,498990
2019-10-31,477203
2019-11-01,477203
2019-11-02,477203
2019-11-03,462214
2019-11-04,462214
2019-11-05,462214
2019-11-06,462214
2019-11-07,445723
2019-11-08,445723
2019-11-09,445723
2019-11-10,439835
2019-11-11,439835
2019-11-12,439835
2019-11-13,439835
2019-11-14,424517
2019-11-15,424517
2019-11-16,424517
2019-11-17,424517
