date_obj,Saradomin%20sword price
2015-03-26,2748640
2015-03-27,2748640
2015-03-28,2737339
2015-03-29,2713806
2015-03-30,2738480
2015-03-31,2779980
2015-04-01,2796186
2015-04-02,2819191
2015-04-03,2833740
2015-04-04,2853435
2015-04-05,2907890
2015-04-06,2937984
2015-04-07,2949242
2015-04-08,2944853
2015-04-09,2936544
2015-04-10,2927472
2015-04-11,2889921
2015-04-12,2868258
2015-04-13,2851700
2015-04-14,2835194
2015-04-15,2837618
2015-04-16,2863024
2015-04-17,2889353
2015-04-18,2913925
2015-04-19,2917697
2015-04-20,2917617
2015-04-21,2914333
2015-04-22,2937812
2015-04-23,2960173
2015-04-24,2961071
2015-04-25,2971873
2015-04-26,2960921
2015-04-27,2933380
2015-04-28,2914378
2015-04-29,2889251
2015-04-30,2816160
2015-05-01,2812090
2015-05-02,2779232
2015-05-03,2744270
2015-05-04,2684466
2015-05-05,2651350
2015-05-06,2609453
2015-05-07,2598628
2015-05-08,2591269
2015-05-09,2609412
2015-05-10,2634782
2015-05-11,2639405
2015-05-12,2689516
2015-05-13,2655757
2015-05-14,2638763
2015-05-15,2631203
2015-05-16,2648664
2015-05-17,2660236
2015-05-18,2668595
2015-05-19,2681957
2015-05-20,2693731
2015-05-21,2740996
2015-05-22,2766692
2015-05-23,2795034
2015-05-24,2820234
2015-05-25,2736209
2015-05-26,2680873
2015-05-27,2630586
2015-05-28,2593161
2015-05-29,2537512
2015-05-30,2502458
2015-05-31,2486912
2015-06-01,2437243
2015-06-02,2369140
2015-06-03,2342424
2015-06-04,2320376
2015-06-05,2328132
2015-06-06,2338534
2015-06-07,2367126
2015-06-08,2392476
2015-06-09,2359507
2015-06-10,2324058
2015-06-11,2290938
2015-06-12,2239778
2015-06-13,2199047
2015-06-14,2181762
2015-06-15,2209101
2015-06-16,2162371
2015-06-17,2167155
2015-06-18,2139798
2015-06-19,2131181
2015-06-20,2135249
2015-06-21,2096900
2015-06-22,2042305
2015-06-23,2040897
2015-06-24,2010356
2015-06-25,1989393
2015-06-26,1951812
2015-06-27,1884487
2015-06-28,1815441
2015-06-29,1779131
2015-06-30,1730696
2015-07-01,1718029
2015-07-02,1756756
2015-07-03,1802268
2015-07-04,1778062
2015-07-05,1756856
2015-07-06,1744332
2015-07-07,1740445
2015-07-08,1749182
2015-07-09,1762383
2015-07-10,1765561
2015-07-11,1772444
2015-07-12,1773630
2015-07-13,1776763
2015-07-14,1789510
2015-07-15,1792112
2015-07-16,1780918
2015-07-17,1793295
2015-07-18,1868715
2015-07-19,1911285
2015-07-20,1950097
2015-07-21,1974120
2015-07-22,1970162
2015-07-23,2013490
2015-07-24,2036987
2015-07-25,2063665
2015-07-26,2073652
2015-07-27,2091464
2015-07-28,2094157
2015-07-29,2105696
2015-07-30,2041489
2015-07-31,2005502
2015-08-01,1947654
2015-08-02,1902992
2015-08-03,1882152
2015-08-04,1865579
2015-08-05,1851736
2015-08-06,1842033
2015-08-07,1849567
2015-08-08,1826379
2015-08-09,1823595
2015-08-10,1835702
2015-08-11,1848829
2015-08-12,1876980
2015-08-13,1898675
2015-08-14,1887448
2015-08-15,1865031
2015-08-16,1856701
2015-08-17,1839221
2015-08-18,1814497
2015-08-19,1794403
2015-08-20,1819309
2015-08-21,1828874
2015-08-22,1815301
2015-08-23,1799707
2015-08-24,1785509
2015-08-25,1775561
2015-08-26,1770861
2015-08-27,1766046
2015-08-28,1755408
2015-08-29,1751116
2015-08-30,1736858
2015-08-31,1719678
2015-09-01,1707759
2015-09-02,1692145
2015-09-03,1674071
2015-09-04,1680217
2015-09-05,1674802
2015-09-06,1698976
2015-09-07,1694792
2015-09-08,1692011
2015-09-09,1646952
2015-09-10,1613017
2015-09-11,1590535
2015-09-12,1576222
2015-09-13,1568400
2015-09-14,1590917
2015-09-15,1646134
2015-09-16,1728441
2015-09-17,1715948
2015-09-18,1714386
2015-09-19,1699998
2015-09-20,1683682
2015-09-21,1673307
2015-09-22,1655459
2015-09-23,1654278
2015-09-24,1651628
2015-09-25,1643088
2015-09-27,1644450
2015-09-28,1649829
2015-09-29,1640301
2015-09-30,1616636
2015-10-05,1617146
2015-10-06,1644048
2015-10-07,1634272
2015-10-08,1667593
2015-10-09,1667306
2015-10-10,1683692
2015-10-11,1671574
2015-10-12,1653971
2015-10-13,1666727
2015-10-14,1659853
2015-10-15,1671014
2015-10-16,1660858
2015-10-17,1701771
2015-10-18,1694944
2015-10-19,1688850
2015-10-20,1693674
2015-10-22,1717969
2015-10-23,1714243
2015-10-24,1688091
2015-10-25,1687360
2015-10-26,1675603
2015-10-27,1673996
2015-10-29,1704245
2015-10-30,1699594
2015-10-31,1699069
2015-11-01,1719564
2015-11-02,1707689
