date_obj,Green%20d'hide%20chaps price
2015-03-26,2132
2015-03-27,2117
2015-03-28,2114
2015-03-29,2128
2015-03-30,2105
2015-03-31,2101
2015-04-01,2084
2015-04-02,2115
2015-04-03,2155
2015-04-04,2183
2015-04-05,2138
2015-04-06,2154
2015-04-07,2158
2015-04-08,2169
2015-04-09,2113
2015-04-10,2140
2015-04-11,2108
2015-04-12,2163
2015-04-13,2133
2015-04-14,2107
2015-04-15,2110
2015-04-16,2147
2015-04-17,2149
2015-04-18,2160
2015-04-19,2154
2015-04-20,2128
2015-04-21,2106
2015-04-22,2119
2015-04-23,2140
2015-04-24,2139
2015-04-25,2143
2015-04-26,2132
2015-04-27,2118
2015-04-28,2123
2015-04-29,2127
2015-04-30,2158
2015-05-01,2144
2015-05-02,2147
2015-05-03,2129
2015-05-04,2124
2015-05-05,2133
2015-05-06,2120
2015-05-07,2119
2015-05-08,2100
2015-05-09,2105
2015-05-10,2093
2015-05-11,2104
2015-05-12,2115
2015-05-13,2106
2015-05-14,2135
2015-05-15,2175
2015-05-16,2160
2015-05-17,2130
2015-05-18,2127
2015-05-19,2125
2015-05-20,2138
2015-05-21,2126
2015-05-22,2146
2015-05-23,2151
2015-05-24,2134
2015-05-25,2118
2015-05-26,2112
2015-05-27,2138
2015-05-28,2150
2015-05-29,2167
2015-05-30,2159
2015-05-31,2175
2015-06-01,2149
2015-06-02,2140
2015-06-03,2140
2015-06-04,2121
2015-06-05,2124
2015-06-06,2169
2015-06-07,2180
2015-06-08,2156
2015-06-09,2173
2015-06-10,2156
2015-06-11,2155
2015-06-12,2166
2015-06-13,2177
2015-06-14,2189
2015-06-15,2183
2015-06-16,2213
2015-06-17,2209
2015-06-18,2170
2015-06-19,2173
2015-06-20,2149
2015-06-21,2161
2015-06-22,2167
2015-06-23,2209
2015-06-24,2157
2015-06-25,2161
2015-06-26,2170
2015-06-27,2176
2015-06-28,2158
2015-06-29,2154
2015-06-30,2159
2015-07-01,2164
2015-07-02,2196
2015-07-03,2177
2015-07-04,2151
2015-07-05,2169
2015-07-06,2139
2015-07-07,2137
2015-07-08,2167
2015-07-09,2167
2015-07-10,2152
2015-07-11,2137
2015-07-12,2148
2015-07-13,2158
2015-07-14,2173
2015-07-15,2205
2015-07-16,2217
2015-07-17,2165
2015-07-18,2146
2015-07-19,2133
2015-07-20,2130
2015-07-21,2142
2015-07-22,2161
2015-07-23,2146
2015-07-24,2147
2015-07-25,2155
2015-07-26,2137
2015-07-27,2151
2015-07-28,2149
2015-07-29,2170
2015-07-30,2177
2015-07-31,2192
2015-08-01,2150
2015-08-02,2161
2015-08-03,2186
2015-08-04,2190
2015-08-05,2203
2015-08-06,2183
2015-08-07,2193
2015-08-08,2204
2015-08-09,2188
2015-08-10,2150
2015-08-11,2159
2015-08-12,2157
2015-08-13,2168
2015-08-14,2164
2015-08-15,2186
2015-08-16,2172
2015-08-17,2212
2015-08-18,2169
2015-08-19,2153
2015-08-20,2113
2015-08-21,2145
2015-08-22,2164
2015-08-23,2165
2015-08-24,2171
2015-08-25,2196
2015-08-26,2179
2015-08-27,2171
2015-08-28,2162
2015-08-29,2156
2015-08-30,2143
2015-08-31,2154
2015-09-01,2181
2015-09-02,2202
2015-09-03,2214
2015-09-04,2214
2015-09-05,2216
2015-09-06,2187
2015-09-07,2143
2015-09-08,2150
2015-09-09,2151
2015-09-10,2123
2015-09-11,2150
2015-09-12,2166
2015-09-13,2159
2015-09-14,2146
2015-09-15,2161
2015-09-16,2158
2015-09-17,2180
2015-09-18,2201
2015-09-19,2196
2015-09-20,2198
2015-09-21,2192
2015-09-22,2197
2015-09-23,2215
2015-09-24,2218
2015-09-25,2231
2015-09-27,2186
2015-09-28,2214
2015-09-29,2190
2015-09-30,2197
2015-10-05,2206
2015-10-06,2169
2015-10-07,2166
2015-10-08,2200
2015-10-09,2201
2015-10-10,2248
2015-10-11,2242
2015-10-12,2216
2015-10-13,2207
2015-10-14,2192
2015-10-15,2196
2015-10-16,2175
2015-10-17,2167
2015-10-18,2150
2015-10-19,2183
2015-10-20,2188
2015-10-22,2196
2015-10-23,2208
2015-10-24,2235
2015-10-25,2227
2015-10-26,2201
2015-10-27,2209
2015-10-29,2210
2015-10-30,2205
2015-10-31,2186
2015-11-01,2214
2015-11-02,2182
2015-11-03,2203
2015-11-04,2216
2015-11-05,2225
2015-11-06,2245
2015-11-07,2225
2015-11-08,2186
2015-11-09,2181
2015-11-10,2204
2015-11-11,2227
2015-11-12,2210
2015-11-13,2256
2015-11-14,2276
2015-11-15,2258
2015-11-16,2248
2015-11-17,2237
2015-11-18,2249
2015-11-19,2255
2015-11-20,2234
2015-11-21,2256
2015-11-22,2248
2015-11-23,2288
2015-11-24,2283
2015-11-25,2276
2015-11-26,2229
2015-11-27,2246
2015-11-28,2202
2015-11-29,2220
2015-11-30,2197
2015-12-01,2198
2015-12-02,2183
2015-12-03,2220
2015-12-04,2240
2015-12-05,2231
2015-12-06,2243
2015-12-07,2207
2015-12-08,2204
2015-12-09,2217
2015-12-10,2223
2015-12-11,2254
2015-12-12,2279
2015-12-13,2238
2015-12-14,2210
2015-12-15,2212
2015-12-16,2218
2015-12-17,2207
2015-12-18,2239
2015-12-19,2236
2015-12-20,2206
2015-12-21,2192
2015-12-22,2217
2015-12-23,2237
2015-12-24,2227
2015-12-25,2250
2015-12-26,2245
2015-12-27,2215
2015-12-28,2211
2015-12-29,2220
2015-12-30,2224
2015-12-31,2198
2016-01-01,2150
2016-01-02,2174
2016-01-03,2185
2016-01-04,2211
2016-01-05,2217
2016-01-06,2192
2016-01-07,2184
2016-01-08,2213
2016-01-09,2225
2016-01-10,2211
2016-01-11,2206
2016-01-12,2226
2016-01-13,2204
2016-01-14,2227
2016-01-15,2235
2016-01-16,2227
2016-01-17,2208
2016-01-18,2214
2016-01-19,2203
2016-01-20,2231
2016-01-21,2229
2016-01-22,2198
2016-01-23,2216
2016-01-24,2202
2016-01-25,2197
2016-01-26,2208
2016-01-27,2203
2016-01-28,2194
2016-01-29,2228
2016-01-30,2262
2016-01-31,2274
2016-02-01,2227
2016-02-02,2165
2016-02-03,2191
2016-02-04,2210
2016-02-05,2205
2016-02-06,2187
2016-02-07,2187
2016-02-08,2183
2016-02-09,2187
2016-02-10,2190
2016-02-11,2154
2016-02-12,2153
2016-02-13,2193
2016-02-14,2212
2016-02-15,2242
2016-02-16,2210
2016-02-17,2195
2016-02-18,2205
2016-02-19,2223
2016-02-20,2193
2016-02-21,2184
2016-02-22,2140
2016-02-23,2174
2016-02-24,2194
2016-02-25,2172
2016-02-26,2185
2016-02-27,2170
2016-02-28,2176
2016-02-29,2178
2016-03-01,2171
2016-03-02,2194
2016-03-03,2198
2016-03-04,2200
2016-03-05,2222
2016-03-06,2202
2016-03-07,2201
2016-03-08,2199
2016-03-09,2197
2016-03-10,2211
2016-03-11,2188
2016-03-12,2194
2016-03-13,2149
2016-03-14,2160
2016-03-15,2197
2016-03-16,2193
2016-03-17,2202
2016-03-18,2188
2016-03-19,2204
2016-03-20,2193
2016-03-21,2179
2016-03-22,2170
2016-03-23,2168
2016-03-24,2229
2016-03-25,2246
2016-03-26,2221
2016-03-27,2184
2016-03-28,2184
2016-03-29,2189
2016-03-30,2180
2016-03-31,2184
2016-04-01,2203
2016-04-02,2199
2016-04-03,2193
2016-04-04,2170
2016-04-05,2167
2016-04-06,2171
2016-04-07,2185
2016-04-08,2207
2016-04-09,2196
2016-04-10,2209
2016-04-11,2190
2016-04-12,2213
2016-04-13,2201
2016-04-14,2190
2016-04-15,2234
2016-04-16,2274
2016-04-17,2258
2016-04-18,2212
2016-04-19,2174
2016-04-20,2144
2016-04-21,2139
2016-04-22,2138
2016-04-23,2160
2016-04-24,2170
2016-04-25,2170
2016-04-26,2184
2016-04-27,2150
2016-04-28,2190
2016-04-29,2196
2016-04-30,2158
2016-05-01,2180
2016-05-02,2197
2016-05-03,2153
2016-05-04,2146
2016-05-05,2121
2016-05-06,2092
2016-05-07,2082
2016-05-08,2081
2016-05-09,2119
2016-05-10,2106
2016-05-11,2128
2016-05-12,2141
2016-05-13,2164
2016-05-14,2186
2016-05-15,2175
2016-05-16,2183
2016-05-17,2164
2016-05-18,2160
2016-05-19,2175
2016-05-22,2148
2016-05-23,2158
2016-05-24,2164
2016-05-25,2128
2016-05-26,2145
2016-05-27,2170
2016-05-28,2186
2016-05-29,2187
2016-05-30,2168
2016-05-31,2170
2016-06-01,2174
2016-06-02,2168
2016-06-03,2192
2016-06-04,2192
2016-06-05,2193
2016-06-06,2190
2016-06-07,2213
2016-06-08,2188
2016-06-09,2161
2016-06-10,2153
2016-06-11,2154
2016-06-12,2172
2016-06-13,2165
2016-06-14,2179
2016-06-15,2181
2016-06-16,2183
2016-06-17,2182
2016-06-18,2152
2016-06-19,2173
2016-06-20,2148
2016-06-21,2117
2016-06-22,2181
2016-06-23,2200
2016-06-24,2205
2016-06-25,2188
2016-06-26,2193
2016-06-27,2183
2016-06-28,2195
2016-06-29,2205
2016-06-30,2191
2016-07-01,2193
2016-07-02,2196
2016-07-03,2228
2016-07-04,2206
2016-07-05,2184
2016-07-06,2208
2016-07-07,2217
2016-07-08,2199
2016-07-09,2195
2016-07-10,2210
2016-07-11,2205
2016-07-12,2206
2016-07-13,2204
2016-07-14,2197
2016-07-15,2190
2016-07-16,2191
2016-07-17,2195
2016-07-18,2186
2016-07-23,2199
2016-07-24,2206
2016-07-25,2188
2016-07-26,2203
2016-07-27,2226
2016-07-28,2216
2016-07-29,2224
2016-07-30,2217
2016-07-31,2189
2016-08-01,2218
2016-08-02,2193
2016-08-03,2175
2016-08-04,2181
2016-08-05,2207
2016-08-06,2222
2016-08-07,2228
2016-08-08,2219
2016-08-09,2221
2016-08-10,2179
2016-08-11,2214
2016-08-12,2221
2016-08-13,2160
2016-08-14,2177
2016-08-15,2167
2016-08-16,2211
2016-08-17,2202
2016-08-18,2201
2016-08-19,2228
2016-08-20,2226
2016-08-21,2190
2016-08-22,2204
2016-08-23,2176
2016-08-24,2167
2016-08-25,2186
2016-08-26,2195
2016-08-28,2159
2016-08-31,2210
2016-09-01,2186
2016-09-02,2184
2016-09-03,2178
2016-09-04,2172
2016-09-05,2181
2016-09-06,2175
2016-09-07,2168
2016-09-08,2178
2016-09-09,2168
2016-09-10,2153
2016-09-11,2132
2016-09-12,2164
2016-09-13,2159
2016-09-14,2190
2016-09-15,2197
2016-09-16,2196
2016-09-17,2171
2016-09-18,2170
2016-09-19,2177
2016-09-20,2207
2016-09-21,2179
2016-09-22,2180
2016-09-23,2168
2016-09-24,2176
2016-09-25,2181
2016-09-26,2200
2016-09-27,2202
2016-09-28,2190
2016-09-29,2196
2016-09-30,2205
2016-10-01,2188
2016-10-02,2188
2016-10-03,2193
2016-10-04,2238
2016-10-05,2258
2016-10-06,2235
2016-10-07,2186
2016-10-08,2175
2016-10-09,2199
2016-10-10,2172
